stage_b_order	accession	source_state	canonical_state	terminal_state	reason	row_sha256
1	GCF_000005845.2	COMPLETE	COMPLETE	VALIDATED	.	a3722b720b26b4a0b49bf1ca3ffaec4f5b7b5f1ffe156079e2671ac3fc7a29e3
2	GCF_000812325.1	COMPLETE	COMPLETE	VALIDATED	.	927521ecf162d9ecbdc9086978723e793c6283361d154d09ef5c1f9ec59c37a5
3	GCF_002302315.1	COMPLETE	COMPLETE	VALIDATED	.	ca21ccca706c844d6e77384b500b7acc10b8053f99a52566b92abbff790693e8
4	GCF_004664255.1	COMPLETE	COMPLETE	VALIDATED	.	974bf20fcb5d44c9e36939014d583f3bae9b5858a53ce75d8846830224340734
5	GCF_015644385.1	COMPLETE	COMPLETE	VALIDATED	.	4a50e939f199366a772634d3e0d37ee505ddc4aad042166b18a1c1b1b6697759
6	GCF_020829045.1	COMPLETE	COMPLETE	VALIDATED	.	668268538a8c50f609b8074dfecfe5b1a4080a1bf220683455187b1ae8c533cd
7	GCF_921380995.1	COMPLETE	COMPLETE	VALIDATED	.	5466d634fff48ecfb5212a94c4e3d5fcce241e35c5cb3dd7b786eb4c913439e1
8	GCF_000167895.3	COMPLETE	COMPLETE	VALIDATED	.	ed13a0fe8c46bc54a39d4a435fcee1a54c5f1d58c1b6d5fd45c5a7a5100e38b4
9	GCF_001881595.4	COMPLETE	COMPLETE	VALIDATED	.	790d810f949f6bcdd4bddc2d092a643a83e7965a115cd392bc380a2086e9c64b
10	GCF_000498835.2	COMPLETE	COMPLETE	VALIDATED	.	9c66e3f9f167caf59920043a3d36eed2ddcbfc52dbd657771c0effe7ab967a4b
