stage	wall_seconds	exit_status	argv
install-pinned-host-tools	7.041114	0	/home/erikg/.local/bin/micromamba create -y -p /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env -f /home/erikg/phind/.wg-worktrees/agent-81/workflow/compatibility/environment-linux-64.explicit.lock
mash-sketch-k21_s1000_seed42	8.757211	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 1000 -S 42 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s1000_seed42/hosts
mash-triangle-k21_s1000_seed42	0.555185	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s1000_seed42/hosts.msh
rapidnj-k21_s1000_seed42	0.172616	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s1000_seed42/full.phylip -i pd -o t
mash-sketch-k21_s10000_seed42	9.547544	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 10000 -S 42 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed42/hosts
mash-triangle-k21_s10000_seed42	4.669441	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed42/hosts.msh
rapidnj-k21_s10000_seed42	0.179065	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s10000_seed42/full.phylip -i pd -o t
mash-sketch-k21_s50000_seed42	13.104533	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 21 -s 50000 -S 42 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s50000_seed42/hosts
mash-triangle-k21_s50000_seed42	22.720478	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash triangle -p 16 /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s50000_seed42/hosts.msh
rapidnj-k21_s50000_seed42	0.162613	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/rapidnj /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k21_s50000_seed42/full.phylip -i pd -o t
mash-sketch-k31_s10000_seed42	10.826705	0	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/tool-env/bin/mash sketch -p 16 -k 31 -s 10000 -S 42 -l /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/assemblies.list -o /mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/output/mash/k31_s10000_seed42/hosts
