scope	dimension	category	count	denominator	fraction	unit	denominator_label	notes
all	transposable_exact	0.0	124709	132404	0.9418824205	records	all source records	exact source string
all	transposable_exact	1.0	7695	132404	0.05811757953	records	all source records	exact source string
all	taxonomy_exact	Myoviridae	49342	132404	0.3726624573	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Siphoviridae	36897	132404	0.2786698287	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Podoviridae	20420	132404	0.1542249479	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Unknown	16962	132404	0.1281079121	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Siphoviridae / Podoviridae	4314	132404	0.03258209722	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Podoviridae	2395	132404	0.01808857738	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae	1025	132404	0.007741457962	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae	844	132404	0.006374429776	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Siphoviridae / Podoviridae / Bicaudaviridae	150	132404	0.001132896287	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae / Bicaudaviridae	15	132404	0.0001132896287	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae / Fuselloviridae	13	132404	9.818434488e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Siphoviridae / Bicaudaviridae	7	132404	5.28684934e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Microviridae	5	132404	3.776320957e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Siphoviridae / Microviridae	4	132404	3.021056766e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Bicaudaviridae	3	132404	2.265792574e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Inoviridae	2	132404	1.510528383e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Bicaudaviridae	2	132404	1.510528383e-05	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Microviridae	1	132404	7.552641914e-06	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae / Microviridae	1	132404	7.552641914e-06	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Myoviridae / Siphoviridae / Podoviridae / Bicaudaviridae	1	132404	7.552641914e-06	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_exact	Podoviridae / Bicaudaviridae	1	132404	7.552641914e-06	records	all source records	exact source string; source semantics otherwise unknown
all	taxonomy_assignment	assigned	115442	132404	0.8718920879	records	all source records	Unknown is treated as unassigned only for the competing subset
all	taxonomy_assignment	Unknown/missing	16962	132404	0.1281079121	records	all source records	Unknown is treated as unassigned only for the competing subset
all	scaffold_accession_prefix	NZ_	131957	132404	0.9966239691	records	all source records	identifier prefix only; not a chromosome/plasmid classification
all	scaffold_accession_prefix	NC_	447	132404	0.003376030936	records	all source records	identifier prefix only; not a chromosome/plasmid classification
