scope	metric	value	unit	denominator	denominator_label	fraction	notes
input	csv_sha256_before	6c8e3df4fce6bfa1119a594f83b758bd4ce097a22d9ee25289fdf2fbcb362996					taken before parsing
input	csv_sha256_after_scan	6c8e3df4fce6bfa1119a594f83b758bd4ce097a22d9ee25289fdf2fbcb362996					taken after full input scan; reproduce.sh also verifies after all writes
input	csv_sha256_before_after_equal	1	boolean				
input	accession_sha256_before	1570cbe51da509445ba1536da0a8552202d6a87566db67305903ffcced15e8c5					taken before parsing
input	accession_sha256_after_scan	1570cbe51da509445ba1536da0a8552202d6a87566db67305903ffcced15e8c5					taken after full input scan; reproduce.sh also verifies after all writes
input	accession_sha256_before_after_equal	1	boolean				
input	csv_bytes	12393209	bytes				
input	accession_bytes	417239	bytes				
input	csv_has_final_newline	1	boolean				
input	accession_has_final_newline	1	boolean				
reconciliation	csv_physical_lines	132405	lines				
reconciliation	csv_records_including_header	132405	CSV records				
reconciliation	csv_header_records	1	CSV records	132405	CSV records including header	7.552584872e-06	
reconciliation	csv_source_data_records	132404	records	132404	source data records	1	
reconciliation	csv_field_count_parse_failures	0	records	132404	source data records	0	
reconciliation	normalization_failures	0	records	132404	source data records	0	
reconciliation	normalized_records	132404	records	132404	source data records	1	seven fields; integer-like begin/end; binary integer-like transposable; nonmissing genome/scaffold/prophage_id
reconciliation	source_row_balance_difference	0	records	132404	source data records		must equal zero: source - parse failures - normalization failures - normalized
reconciliation	valid_coordinate_records	132404	records	132404	normalized records	1	
reconciliation	invalid_coordinate_records	0	records	132404	normalized records	0	
reconciliation	unique_loci	132404	loci	132404	normalized records	1	dedup key=(genome exact, scaffold exact, begin integer, end integer)
reconciliation	duplicate_locus_groups	0	groups	132404	unique locus keys	0	
reconciliation	duplicate_locus_extra_records	0	records	132404	normalized records	0	
reconciliation	exact_duplicate_record_groups	0	groups	132404	unique exact record tuples	0	
reconciliation	duplicate_prophage_id_groups	0	groups	132404	unique prophage_id values	0	
denominator	accession_physical_lines	26078	lines				
denominator	accession_nonblank_lines	26078	lines	26078	physical lines	1	
denominator	accession_unique_exact_tokens	26078	tokens	26078	nonblank lines	1	
denominator	accession_duplicate_extra_lines	0	lines	26078	nonblank lines	0	
denominator	accession_valid_assembly_lines	26077	lines	26078	nonblank lines	0.9999616535	
denominator	accession_invalid_tokens	1	tokens	26078	nonblank lines	3.834649896e-05	invalid tokens listed in report; excluded from normalized genome denominator
denominator	normalized_unique_genomes	26077	genomes	26078	nonblank accession lines	0.9999616535	unique tokens matching ^GC[AF]_[0-9]+\.[0-9]+$
denominator	version_stripped_collision_groups	0	base accessions	26077	version-stripped denominator keys	0	
denominator	version_stripped_collapsed_accessions	0	accessions	26077	normalized unique genomes	0	
join	csv_unique_genome_keys	26077	genome keys				
join	exact_join_failure_genome_keys	0	genome keys	26077	CSV unique genome keys	0	
join	exact_join_failure_records	0	records	132404	normalized records	0	
join	versionless_join_failure_genome_keys	0	genome keys	26077	CSV unique genome keys	0	
join	versionless_join_failure_records	0	records	132404	normalized records	0	
join	version_only_match_genome_keys	0	genome keys	26077	CSV unique genome keys	0	exact join failed but version-stripped join succeeded; diagnostics only, never merged
join	version_only_match_records	0	records	132404	normalized records	0	
