stage_b_order	accession	artifact_role	relative_path	bytes	sha256	row_sha256
1	GCF_000005845.2	source_package	source_objects/GCF_000005845.2/package.zip	1790946	2d954ab625b463aefa20a10fda081d1661b08504747eeb6c29b8b1db9b22a3ca	d1924c1ac2f9cb1feb802b6f3939e8f8b384be93cae0d308613eb89743540f32
1	GCF_000005845.2	source_manifest	source_objects/GCF_000005845.2/manifest.json	3827	3e1eb9b9d24fc392039ea17a21bab957535e9bd68c2a208b8afed51208dfb09b	7539b8d6d907b4a77cdc2f410c594fd3495331819cd5595ea13537ad1f9c8f75
1	GCF_000005845.2	canonical_bgzf	canonical_objects/GCF_000005845.2/GCF_000005845.2.pansn.fa.gz	1314927	29caafdd0a8f06088fd2ae1688d304f4dbd4d7e4cca5b544734c8be2d7698ca5	29189965643e5f6bd05b784cf612ef001ff969d1a35ed515eef1a8a98a89031d
1	GCF_000005845.2	fai	canonical_objects/GCF_000005845.2/GCF_000005845.2.pansn.fa.gz.fai	47	d7b2f9fe42b84c3189630e4ed3a8270206eb97cbd0b866c24a8483846c26037c	0c6c8dbf717e26e1fbf5ff6114dce8a747934dee3dab4e53f687f01b4b85064c
1	GCF_000005845.2	gzi	canonical_objects/GCF_000005845.2/GCF_000005845.2.pansn.fa.gz.gzi	1160	5c8a0a9b0cbdabd24e61571dc9d6d20e8d1806ba6ac8cbe8e9d372c149700d00	1576160e51f165e883cf92147bf5645f464306885b848e23e867bf8a93d22a6c
1	GCF_000005845.2	contig_crosswalk	canonical_objects/GCF_000005845.2/contigs.tsv	1168	4c55a83e2684019c9156ec573f75cffe782fed684df1e5ab8bb80f919959aa98	5863311225c1b7e2106866ca503a458e9ae79f1a81f3682104710acf62f7a763
1	GCF_000005845.2	annotation_aliases	canonical_objects/GCF_000005845.2/annotation_aliases.tsv	534	9b35cf74e45ed9b46dafad05999abf0ea12ee04a0ac345fa6f82991dd2de1167	f83b31ff3e3e839ac2e9c0f11ad9a2ccc61923bc1c1fac995b84a40267559091
1	GCF_000005845.2	canonical_manifest	canonical_objects/GCF_000005845.2/manifest.json	2339	eec5886a7febab7b50a2f4e3aca1315e9004097a7a2416628a09c9f2627262ac	40275c49a44a2ef054365fb2d5fb731c89d1d7cef2c62b578ae23450d5637821
2	GCF_000812325.1	source_package	source_objects/GCF_000812325.1/package.zip	2066665	2422d1183b187aa26486b462b1dd77c1f065b36b56f33b1c7549f5853df2b6ec	84a7100c5ca88d9c87bd8cabb1bf779f932d93f87947ffc1bd2da732d5e37c42
2	GCF_000812325.1	source_manifest	source_objects/GCF_000812325.1/manifest.json	3829	7e1ae378763f37319e3c44bc5ac6989f889768ebddf56fafca7c0bacf4054b22	98bc5df11c2ac629c1b35e2252e262ff0f4cdd44ddd93c6818f9e5167c71ed20
2	GCF_000812325.1	canonical_bgzf	canonical_objects/GCF_000812325.1/GCF_000812325.1.pansn.fa.gz	1501230	04bd9d8bb7a275e90faef51d8f95f84d5dd77a9c75124aa34a002a0cf13a636c	c0e7ca37b45aa0ab16eb0891e34c930eeb2ed7bbc07ecde31e4462bbe04cbd4d
2	GCF_000812325.1	fai	canonical_objects/GCF_000812325.1/GCF_000812325.1.pansn.fa.gz.fai	12991	c4db26c2b01c4a5ad2b834a5cf203da599c39aa4924f5eacffdb58541b510568	ee550f40f084d50a2b6f53e89bd67566fe2374c83877126fb2d8308a23ea8bf6
2	GCF_000812325.1	gzi	canonical_objects/GCF_000812325.1/GCF_000812325.1.pansn.fa.gz.gzi	1304	2c7e090b82f553ccc9c5436d9971cf8fda20d61b252c2bee5a13bad25005e4d0	900aad870949b8646610fdc37f3f609b0e16a3325046f1f25aea166e2bd1af6a
2	GCF_000812325.1	contig_crosswalk	canonical_objects/GCF_000812325.1/contigs.tsv	160541	2c6fd3af5eee0a599892e7f069ba0bfd833536ed7ae625f1e75813a7bb0d4c70	96d012f09e8befc394f2cc6df73c544bdc38f7551977698e75b41e825ceb9fe0
2	GCF_000812325.1	annotation_aliases	canonical_objects/GCF_000812325.1/annotation_aliases.tsv	80238	43d2c954a5cab62e7009209170eb7e5a6455a332ab581d5a5e4996d6b0ac2de9	da57d651dc38856434a1926a74b743fa9b3d36d273dd78c407cf164f412abe84
2	GCF_000812325.1	canonical_manifest	canonical_objects/GCF_000812325.1/manifest.json	2349	6a7720f5af40a24a5d852d02409a59cd00a41b0009292c0e560ddfdcd520588d	ec8a89f443961a1abf40e450c724eb4d313b3f33de36ab98c86485db06027088
3	GCF_002302315.1	source_package	source_objects/GCF_002302315.1/package.zip	2085137	8a6d56df3750848468d99d77950dcb6afbcaa23ca3d17e594670cd0420f28630	5151a2e8b5b153a5aeacd5ab06a85c9c4dd1a5f4f316740870ed27279c97205f
3	GCF_002302315.1	source_manifest	source_objects/GCF_002302315.1/manifest.json	3830	d28098762882dc89908e8c96d5e64e36d9f884bf55984d9d5c4327265c9d8f63	6506445897d7d9a1fd6be53997228e860f295828289c1937973e80b94c1fd75b
