stage_b_order	selection_rule	input_line_number	input_occurrence_id	assembly_id	requested_assembly_accession_version	resolved_assembly_accession_version	resolution_status	row_sha256
1	first	1	occ-v1-407a3ae4947fad192710d6e6	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	GCF_000005845.2	EXACT_VERSION_RESOLVED	0a1d476024f0b1131533574c214ce16d165101aa9696141d8ed968e665fb8bb0
2	10th_percentile	2609	occ-v1-1e689503b0ebab065cf5befe	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	GCF_000812325.1	EXACT_VERSION_RESOLVED	dacbbeaba2ad27d3ba5ce8ed55cb0a22d7d364cdef503de6a0a98523f4fc7740
3	25th_percentile	6520	occ-v1-b85a853ae914b114e287ece3	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	GCF_002302315.1	EXACT_VERSION_RESOLVED	cc6f7b0eb608351b281e4c0ce3eae548422f94a6db33d7ed0bf40cd4b2e356b7
4	median	13039	occ-v1-323585934c2f7be78c5a370d	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	GCF_004664255.1	EXACT_VERSION_RESOLVED	c189d7f8d8d71e10f01106416bc15cec582d9cb52e6928e8d7fb1ec1c4c758d0
5	75th_percentile	19558	occ-v1-b7a5d14de386c381198be442	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	GCF_015644385.1	EXACT_VERSION_RESOLVED	fe4f623f304b8c42824662d004f5699e27b58c4b5b9b249c78b4b235599e3ad2
6	90th_percentile	23469	occ-v1-5b60784ab03121fe1814c726	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	GCF_020829045.1	EXACT_VERSION_RESOLVED	d4194327bd37964b3eab3e5eacfbe4beb93c656871d1f6d5bd194821a26e6cb6
7	last_valid	26077	occ-v1-dd3066d7889d096688487ef9	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	GCF_921380995.1	EXACT_VERSION_RESOLVED	5f5d642463830f3a18ef82e964f24ac6dbeac3a8b36795a7ba10ea9c42e713d8
8	first_version_3	80	occ-v1-b391fbe177a99da3a58b5152	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	GCF_000167895.3	EXACT_VERSION_VALID_METADATA_UNAVAILABLE	0a4ab60b9fbf24f70b518522e994867a2a84b91bc848b0ad7a294569f57e827a
9	first_version_4	4531	occ-v1-bf5407c5824cb46f9619b1cb	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	GCF_001881595.4	EXACT_VERSION_RESOLVED	ab3a0a97b9bb90764655072b637ae9084fa3a2b41f06af7fb26261af39399cb4
10	median_version_2	1506	occ-v1-cd6775a87ea5decc4d7ddde8	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	GCF_000498835.2	EXACT_VERSION_RESOLVED	57791ba5cfd723d47673d9a570af824d76f6bc2aabab3db2b8364d2eb5ea8f73
