batch_number	first_cohort_order	last_cohort_order	assemblies	already_complete	completed_this_invocation	wall_seconds	cpu_seconds	stage_bytes_start	stage_bytes_finish	stage_files_finish	row_sha256
1	1	10	10	10	0	0.061787	0.060670	2153619	2155604	16	d3d61e00fee03e06a65f3dedca322ec4bc155b7d4e94e7055f850e8f4c58dc22
2	11	20	10	0	10	29.529314	13.799819	2157542	37484667	158	aef5788c5a967deb5bda07989f9c6c9d70d5703521a3c0dea8fa5125e1f31d5b
3	21	30	10	0	10	26.985110	11.080995	37486605	74283265	308	9b383bff318c467473379d0179aa8c35834531edaf02643abffb270704853de9
4	31	40	10	0	10	31.160562	14.216464	74285203	112365375	458	6940c16477b14c04d86e294906fd6e58f2135859087228a4ee3a98b3fa8ab37b
5	41	50	10	0	10	27.070959	11.851433	112367313	148667239	608	3169430c158a0a37238f9d87f6a21ecb96c4f9929bd7a77c5baa52e90b88f894
6	51	60	10	0	10	31.837165	14.425291	148669177	187191024	758	098f67c5b86ec37ece905088b0f4d357144228aefffc87b08c31e1a826d88e68
7	61	70	10	0	10	27.945788	11.291510	187192962	224159390	908	5cd1e856db300739c6e828ca51c0290ed7172628faf7823d167ecc290463d924
8	71	80	10	0	10	25.966370	10.558700	224161328	259727144	1058	d8a6e6d5c35761bd45156330cfb565cf1f19dce92b110811db694487aca0d968
9	81	90	10	0	10	30.277511	12.384204	259729082	298135483	1208	c7c716f7f914e89d9505039d8612f4e94aa7e55162d365263536c4f621ffe77a
10	91	100	10	0	10	31.947533	14.465434	298137421	335797171	1358	7467001a0cd5a7762d260ff279ac873a393021364cdf801318f3270b313ea086
