batch_number	first_cohort_order	last_cohort_order	assemblies	already_complete	completed_this_invocation	wall_seconds	cpu_seconds	validated_transfer_bytes	canonical_bgzf_bytes	cumulative_transfer_bytes	cumulative_canonical_bgzf_bytes	partial_bytes_observed	download_requests	retry_events	failure_events	restart_events	peak_rss_bytes	stage_bytes_start	stage_bytes_finish	stage_partial_bytes_finish	stage_final_bytes_finish	stage_files_finish	durable_free_bytes	durable_free_inodes	scratch_free_bytes	scratch_free_inodes	row_sha256
1	1	10	10	10	0	0.673705	0.665572	0	0	0	0	0	0	0	0	0	43933696	1988742586	1988745331	0	1988745331	7515	2586451505152	447658270	5505572864000	1492409893	34dc520ac7f634a0efa80c6e456651050469d0c1264c9f031e13a22835818bcb
2	11	20	10	10	0	0.719744	0.711713	0	0	0	0	0	0	0	0	0	44892160	1988749076	1988751831	0	1988751831	7515	2586451472384	447658270	5505572864000	1492409893	38cc5bae0c9dfafb63197883adff347686db2de600629f003e2367f0b674f3e1
3	21	30	10	10	0	0.696275	0.688182	0	0	0	0	0	0	0	0	0	48152576	1988755576	1988758331	0	1988758331	7515	2586450460672	447658270	5505572864000	1492409893	f47c8c30d8f0719fe1c9962a4b27de859f3b3152a800b8f664fe8dff052f7122
4	31	40	10	10	0	0.729292	0.723140	0	0	0	0	0	0	0	0	0	48152576	1988762076	1988764831	0	1988764831	7515	2586449895424	447658270	5505572864000	1492409893	0847e887a4ec5ed82108b5e1af9a2e58643f3c67c05094af7ab296ab96419fda
5	41	50	10	10	0	0.757443	0.749386	0	0	0	0	0	0	0	0	0	49680384	1988768576	1988771331	0	1988771331	7515	2586449043456	447658270	5505572864000	1492409893	58ce98786cab23987a890780efbcbcb437f8801fade7f7c7c7e683647f8c1529
6	51	60	10	10	0	0.714902	0.707384	0	0	0	0	0	0	0	0	0	50778112	1988775076	1988777831	0	1988777831	7515	2586448171008	447658270	5505572864000	1492409893	4ddc0208a151892124f6284d02df2a0a2f19323caa9211a0c4ad6d37424dd496
7	61	70	10	10	0	0.697434	0.690356	0	0	0	0	0	0	0	0	0	50778112	1988781576	1988784331	0	1988784331	7515	2586447273984	447658270	5505572864000	1492409893	7ccb892cab201102e8af982c07aea818cfe5d80206a07e13dc9ba6b97ca3d36d
8	71	80	10	10	0	0.710491	0.703150	0	0	0	0	0	0	0	0	0	51838976	1988788076	1988790831	0	1988790831	7515	2586446290944	447658270	5505572864000	1492409893	3f0ff9a9510f73a04df45ad123f349fc1e6524dc1127af39ba017c4f237e7cba
9	81	90	10	10	0	0.720031	0.711972	0	0	0	0	0	0	0	0	0	51838976	1988794576	1988797331	0	1988797331	7515	2586445336576	447658270	5505572864000	1492409893	d460c236064b123f0cdba2cf00aeffe7aaf54a0290f3c1303615ce142c5bd1b0
10	91	100	10	10	0	0.747995	0.740620	0	0	0	0	0	0	0	0	0	53936128	1988801076	1988803834	0	1988803834	7515	2586444062720	447658270	5505572864000	1492409893	83701eb614ad9e3b7d0f52a480969b2f5a3b30f8cdf998e8addb09a696c43fdd
11	101	110	10	10	0	0.748159	0.741826	0	0	0	0	0	0	0	0	0	53936128	1988807580	1988810348	0	1988810348	7515	2586442797056	447658270	5505572864000	1492409893	08d9e369fa94b9d8ad1c3e9d45a12c5065d8a9d6fd6e55db5e3b0f719e762e69
12	111	120	10	10	0	0.727721	0.717899	0	0	0	0	0	0	0	0	0	53936128	1988814094	1988816862	0	1988816862	7515	2586441441280	447658270	5505572864000	1492409893	7564e1a7a1a3601d34715da965e55d51a13f2cda5475e21373c6303e52c7721e
13	121	130	10	10	0	0.736873	0.728834	0	0	0	0	0	0	0	0	0	53936128	1988820608	1988823376	0	1988823376	7515	2586440056832	447658270	5505572864000	1492409893	8c0c859ccf1bcf34063755d22310e4e1f61cf4149b516cf20c8bedbbe95e7212
14	131	140	10	10	0	0.691440	0.683752	0	0	0	0	0	0	0	0	0	53936128	1988827122	1988829890	0	1988829890	7515	2586439282688	447658270	5505572864000	1492409893	89c660ecddba462ce4acd4d40a329cd25fe6c6cf3da31fbbebe50a8140426448
15	141	150	10	10	0	0.709930	0.703223	0	0	0	0	0	0	0	0	0	53936128	1988833636	1988836404	0	1988836404	7515	2586439274496	447658270	5505572864000	1492409893	3bedb7d0877fb8f48bbcee786ec8a5ed9e0436d3f609f7fd5eb195130aead1fe
16	151	160	10	10	0	0.708494	0.700212	0	0	0	0	0	0	0	0	0	53936128	1988840150	1988842918	0	1988842918	7515	2586439266304	447658270	5505572864000	1492409893	003f9bab30d6d79b56285f549d2c1f5bd91593a03e03a570b63614557640f5d6
17	161	170	10	10	0	0.687965	0.681696	0	0	0	0	0	0	0	0	0	53936128	1988846664	1988849432	0	1988849432	7515	2586439258112	447658270	5505572864000	1492409893	5547c545822cf7bfc998722d8dbf3f1f0c9b46556454f1d34a58ac4df64529d9
18	171	180	10	10	0	0.692149	0.685780	0	0	0	0	0	0	0	0	0	53936128	1988853178	1988855946	0	1988855946	7515	2586438930432	447658270	5505572864000	1492409893	a2e67c49ee414d92698d3a562972ab90636142f51a49b10a1006b274c005fda7
19	181	190	10	10	0	0.715096	0.705851	0	0	0	0	0	0	0	0	0	53936128	1988859692	1988862460	0	1988862460	7515	2586438901760	447658270	5505572864000	1492409893	fb0deb50828379b6b92eb63271b9a4b9e0d5ad69757313bf5ccd415ba2853ba0
