run	scientific_name	queries	library_strategy	platform	bioproject	uids	tier_e1_archetype
DRR021571	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990797	
DRR021572	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990798	
DRR021573	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990799	
DRR021575	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990801	
DRR021576	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990802	
DRR021578	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990804	
DRR021579	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990805	
DRR021581	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990807	
DRR021582	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990808	
DRR021583	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990809	
DRR021585	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990811	
DRR021586	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990812	
DRR021587	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990813	
DRR021588	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990814	
DRR021589	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990815	
DRR021590	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990816	
DRR021591	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990817	
DRR021593	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990819	
DRR021594	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990820	
DRR021595	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990821	
DRR021596	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990822	
DRR021597	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990823	
DRR021598	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990824	
DRR021599	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990825	
DRR021600	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990826	
DRR021601	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990827	
DRR021602	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990828	
DRR021604	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990830	
DRR021605	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990831	
DRR021606	Escherichia coli str. K-12 substr. MDS42	E2	WGS	ILLUMINA	DRP002356	990832	
DRR021607	Escherichia coli str. K-12 substr. MDS42	E2	WGS		DRP002356	990833	
