ecor_strain	assembly_accession	bioproject	wgs_master	asm_submitter	seq_rel_date	assembly_level	strain_label	paper_contamination_flag	note
ECOR-1	GCF_002190105.1	PRJNA224116	LYBJ00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR01; na; ASM219010v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-2	GCF_002190145.1	PRJNA224116	LYBI00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR02; na; ASM219014v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-4	GCF_002190165.1	PRJNA224116	LYBG00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR04; na; ASM219016v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-5	GCF_002190205.1	PRJNA224116	LYBF00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR05; na; ASM219020v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-6	GCF_002190225.1	PRJNA224116	LYBE00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR06; na; ASM219022v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-7	GCF_002190245.1	PRJNA224116	LYBD00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR07; na; ASM219024v1; Escherichia coli	no	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-8	GCF_002190275.1	PRJNA224116	LYBC00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR08; na; ASM219027v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-10	GCF_002190295.1	PRJNA224116	LYBA00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR10; na; ASM219029v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-11	GCF_002190305.1	PRJNA224116	LYAZ00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR11; na; ASM219030v1; Escherichia coli	no	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
ECOR-12	GCF_002190355.1	PRJNA224116	LYAY00000000.1	Max von Pettenkofer-Institute	2017-06-12	Contig	strain=ECOR12; na; ASM219035v1; Escherichia coli	yes	alternate ECOR-labeled assembly in cohort; canonical is the 2018 PRJNA230969 reference
