genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_000005845.2	GCF_000005845	2	1	5	5	5	1	69076	69071	1	1	1	1	17769	17768	3	3	3	1	45931	45928
GCF_000006665.1	GCF_000006665	1	2	14	14	14	1	518615	518601	3	3	3	1	63522	63519	13	13	13	1	508049	508036
GCF_000007445.1	GCF_000007445	1	3	3	3	3	1	189422	189419	1	1	1	1	113456	113455	3	3	3	1	189422	189419
GCF_000008865.2	GCF_000008865	2	4	14	14	14	1	579247	579233	2	2	2	1	102282	102280	13	13	13	1	566911	566898
GCF_000009565.1	GCF_000009565	1	5	5	5	5	1	89937	89932	1	1	1	1	13317	13316	4	4	4	1	84869	84865
GCF_000010245.2	GCF_000010245	2	6	5	5	5	1	68144	68139	1	1	1	1	17769	17768	3	3	3	1	45931	45928
GCF_000010385.1	GCF_000010385	1	7	8	8	8	1	278571	278563	0	0	0	0	0	0	7	7	7	1	270891	270884
GCF_000010485.1	GCF_000010485	1	8	1	1	1	1	48928	48927	0	0	0	0	0	0	1	1	1	1	48928	48927
GCF_000010745.1	GCF_000010745	1	9	12	12	12	1	591878	591866	3	3	3	1	152625	152622	11	11	11	1	587289	587278
GCF_000010765.1	GCF_000010765	1	10	17	17	17	2	647337	647320	2	2	2	1	76577	76575	16	16	16	2	641783	641767
GCF_000013265.1	GCF_000013265	1	11	6	6	6	1	234582	234576	0	0	0	0	0	0	6	6	6	1	234582	234576
GCF_000013305.1	GCF_000013305	1	12	1	1	1	1	47417	47416	0	0	0	0	0	0	1	1	1	1	47417	47416
GCF_000014845.1	GCF_000014845	1	13	10	10	10	1	381104	381094	0	0	0	0	0	0	10	10	10	1	381104	381094
GCF_000017745.1	GCF_000017745	1	14	10	10	10	2	176199	176189	3	3	3	2	53683	53680	8	8	8	1	154530	154522
GCF_000017765.1	GCF_000017765	1	15	4	4	4	1	121428	121424	1	1	1	1	49021	49020	3	3	3	1	104385	104382
GCF_000017985.1	GCF_000017985	1	16	5	5	5	1	96769	96764	1	1	1	1	19049	19048	4	4	4	1	88605	88601
GCF_000019385.1	GCF_000019385	1	17	3	3	3	1	88313	88310	1	1	1	1	9702	9701	3	3	3	1	88313	88310
GCF_000019425.1	GCF_000019425	1	18	6	6	6	1	95980	95974	1	1	1	1	17769	17768	3	3	3	1	70000	69997
GCF_000019645.1	GCF_000019645	1	19	3	3	3	1	81920	81917	0	0	0	0	0	0	3	3	3	1	81920	81917
GCF_000021125.1	GCF_000021125	1	20	18	18	18	1	653593	653575	4	4	4	1	136138	136134	15	15	15	1	631748	631733
GCF_000022225.1	GCF_000022225	1	21	18	18	18	1	609047	609029	3	3	3	1	90687	90684	15	15	15	1	586310	586295
GCF_000022345.1	GCF_000022345	1	22	5	5	5	1	98380	98375	2	2	2	1	61985	61983	3	3	3	1	75235	75232
GCF_000022665.1	GCF_000022665	1	23	5	5	5	1	89937	89932	1	1	1	1	13317	13316	4	4	4	1	84869	84865
GCF_000023365.1	GCF_000023365	1	24	5	5	5	1	61140	61135	2	2	2	1	25198	25196	3	3	3	1	47192	47189
