genome	features	bytes	sha256
ecoli_ml|clade_0_0000_ML	208	55760	7059bf21d422aebdd20ca08673afe04f90fdcd29f92122e5f2d3c09f64ff944f
ecoli_ml|clade_0_0001_ML	312	83830	91e2b36ce9b5768abce476efcb7414d91d609b037225c8d1aea30c8f1c9b2d26
ecoli_ml|clade_0_0002_ML	172	46714	c62e9f1f2a3735c9e9d5019b27cf57bb35670337d3608a86701c44396d00c3ef
ecoli_ml|clade_0_0003_ML	193	51580	36bd0697697e062d0114096d39767bf59fe5cb9fa0ede0f36f4169e8811938f5
ecoli_ml|clade_0_0004_ML	215	57573	9d684da8209d1891ee5a1a92eba4c8af76c2c93142f551fcb542bb21ff474c7b
ecoli_ml|clade_0_0005_ML	186	49637	3d33ed1745701f5a82a9816cf2d7135dbc5a6f9426ee41d7e455915a92f90b1b
ecoli_ml|clade_0_0006_ML	261	70037	34dfdea09e6e0c4db1bf9ee69b45df9df39e77482c889d4a6d2d2760d53ec231
ecoli_ml|clade_0_0007_ML	170	44984	440ca7dd97bfaa8ccd9ef178f1a8667f1479daabcd5b132fe9d87837f168d290
ecoli_ml|clade_0_0008_ML	207	55289	6e9d456282f57c4742f5884614f3ed7bc52db497ed485a3f392ebbbd9694dbac
ecoli_ml|clade_0_0009_ML	164	43544	c97c429476143ec8d48a9f4bc56e0a1e9187d97a0d32c57ceb2636de5f016c5f
ecoli_ml|clade_0_0010_ML	318	84828	b7e72b4b6c15e6534bd68254d9126a12a9176df03db8436b111bf69ee312254d
ecoli_ml|clade_0_0011_ML	211	56474	8625dee49fc9c3414aa06c13cc22f9cf5e1ca09d0fd19e4c835890eb5ed426e6
ecoli_ml|clade_0_0012_ML	198	52965	40dcc084bed320be7b509a209d4356e69bd30eade18cc2d8e1d2408dbed51249
ecoli_ml|clade_0_0013_ML	204	54634	b0422c156b997340d147c5feb7f9579b11928f8fdd425858143cf7033e2698ef
ecoli_ml|clade_0_0014_ML	188	50250	4210e6a14728d9ca061f483db874018f72d0b3d2fcbf4c4f277bed8cbbe31843
ecoli_ml|clade_0_0015_ML	251	67194	5803ab42440710fbfda179628b9f3e786fb8e4ba7445d089fb1802b9992e7bd7
ecoli_ml|clade_0_0016_ML	182	48630	5be99a526aa11b3bcee125233bfdd6b8ebc12f68a9da676020fdcbab67520b8d
ecoli_ml|clade_0_0017_ML	204	54403	708b65b1a1086b93fbc9a6e3fc092b705cd5f7bfcf833ddbf215fd851526a0ee
ecoli_ml|clade_0_0018_ML	183	48949	02e37d9124e916db7ceb8f15745b4e1d06057b2bd357aa1e8136f668ed9dc904
ecoli_ml|clade_0_0019_ML	202	54841	2a20df9930f52e15ac326c6aca6b9d0c1c2b276e2ee0fc23ef5ce9e007e0ca3b
ecoli_ml|clade_0_0020_ML	203	54491	968a1b2acc04ac460039c8f6681a0d22385200821b054a9df3ab7caa19edd538
ecoli_ml|clade_0_0021_ML	160	42655	a0db964f07ed18242376ca37c8d98cdab9345833b995a947bae24be29ba30ce9
ecoli_ml|clade_0_0022_ML	253	68513	dee43a9649e3386c8553be0255504a58e7c165fd3ba1f2e5eb2acca9bd9be026
ecoli_ml|clade_0_0023_ML	218	58541	a3768120cf8885a67e21133e2d38404a592265b328929121e97461c51b6151b4
ecoli_ml|clade_0_0024_ML	153	41014	2c21006507c06f215eff1490a14d7364882b7a9e08d24ece5c72baf44d9fc238
ecoli_ml|clade_0_0025_ML	141	37648	6d9885a2c689375921583287445dbfa6552187006a12696548dea788471decab
ecoli_ml|clade_0_0026_ML	226	60490	f3476119921ae1a9c9566a164278a700cad0220c81ad3045092332126828b143
ecoli_ml|clade_0_0027_ML	165	44790	969e3f06bcbebce38d9bffa7fa723f36a545bdfaaecce27ab0d210c0ec12aedc
ecoli_ml|clade_0_0028_ML	131	35121	49f771fde7048d63a3234669756add89d6218b736702eb1e3957713514f0ac7b
ecoli_ml|clade_0_0029_ML	116	30896	37d2788c40981adefd54050b15cffae0df44b3c2d87297a2da7634ab241233ab
ecoli_ml|clade_0_0030_ML	81	21386	84d1d66ab12f01a65ee9c959035e9f7b084a95ee38666fa9c4c644967cbe323a
ecoli_ml|clade_0_0031_ML	33	9026	7adbb0de03dbfc9e7158cc58d283fa11a90c17f25b7607fc52d2b11d305386c7
ecoli_ml|clade_0_0032_ML	164	43820	1fc904f72aa6b10bd10f5de0b8393477ec5f2e5fea31dfa33018be7ead9051d8
ecoli_ml|clade_0_0033_ML	132	34818	dcda2cd0876b08a6bd5ea3b2ea51b14262aa41139d8cc788587f1015ed3ae33e
ecoli_ml|clade_0_0034_ML	275	73413	4f8873ab6c0fa030de611fc1d04825a52721d4b8fc9b56b676c66ef2b03fdb03
ecoli_ml|clade_0_0035_ML	104	27664	3a7080489f4668e6cb736c40fad97f6065cf03543318ae9b1c0872065d7430ad
ecoli_ml|clade_0_0036_ML	302	80200	4aca2def887f15062d03710f8a736d70003c03dccbbdd790990c356553ee5811
ecoli_ml|clade_0_0037_ML	127	33680	01dd5ca85ee12a940654802946fffa8ae38387a3914c6c505b910d0957a92ade
ecoli_ml|clade_0_0038_ML	147	38885	70ebaeb3a7dd96c86d80cdde16ce13a5db7c0b2da2da2bc6f2798d3251964068
ecoli_ml|clade_0_0039_ML	289	77170	352aa84ad5a424270ea2e3bac50922c508e63969543d21d0dac04a0c75fba840
ecoli_ml|clade_0_0040_ML	270	71583	01b2cf511cb93f8177c4de35941db668bee4dc217cce7e0113acc1dfb536d182
ecoli_ml|clade_0_0041_ML	304	81156	d50d0aae0a19e04a229e0eccd7e0c0607c04a0379ce96a2201170a9bc6d41a8d
ecoli_ml|clade_0_0042_ML	35	9553	a74f934130a43a69cda9dd1f69b29769d18a77a0603403f1c9685949cd9105ac
ecoli_ml|clade_0_0043_ML	162	43725	b06168d8e926950d035289209833ffc59f1b4944ccc318f455fd019751ef2f99
ecoli_ml|clade_0_0044_ML	295	78272	bad9dd2003ade223939925a5447b214b33ac5e16627a2320eea6b10120856761
ecoli_ml|clade_0_0045_ML	122	32152	3ece963699c8122ec44b0ba7e1e056dcd37f05ac96a0c067949cc686acb6b8e5
ecoli_ml|clade_0_0046_ML	118	31404	381e3a00d02a5ff7c96d6ba3eb85d3eb8a9f018568f4c79ceed5552128a7838c
ecoli_ml|clade_0_0047_ML	55	14406	3aa99b1120d3885bc062a90a9584f6e037b6e56dfa2b6339c8b56279703286d6
ecoli_ml|clade_0_0048_ML	44	11730	f81f6fcb32e18a7ab31f7e4f9e52d40bb14af596ada084368546987509a81b2e
ecoli_ml|clade_0_0049_ML	150	40050	60d20f8bb96e8f3fca400ee6f493311a3ac864cee6a0291514b0ffb596298b7e
ecoli_ml|clade_0_0050_ML	20	5426	efa596285f3202a90aed788b8b72c557d7928fb3a87ed27f5660272f551e1b51
ecoli_ml|clade_0_0051_ML	142	37964	8ea9c287067fdbbe66efd830dc420ba33424252bba0452e09d04fbec881bbb36
ecoli_ml|clade_0_0052_ML	133	35045	1f5f4cf6792ff67797c759587545c4d2ead0d58cbde78ba41cb41fed93d9a0ce
ecoli_ml|clade_0_0053_ML	139	37170	49440d27e459ab10ca2319c1a07b2b0cdb4a5688bdbf1708ea356ed0abcb2680
ecoli_ml|clade_0_0054_ML	112	29495	c0ed7957f9b3c9c4e700b2f9fb167dad6c0d517cd039f187880ca5b15f911e0b
ecoli_ml|clade_0_0055_ML	16	4291	f6c95403ad1333c16bf923fd4a3c9124454c4c95c04cb04ae24bd8f23b24f1ab
ecoli_ml|clade_0_0056_ML	31	8175	e0fa68213f23770edc3f2ca5433430929106cd3245b7c1f57ae676f4c6d6a3e6
ecoli_ml|clade_0_0057_ML	74	19673	4abf30ef20cdd4b664cd1835c79e80bcd871f023d5ec0cda570e8a46b8f2a05e
ecoli_ml|clade_0_0058_ML	56	15279	0983b76c9838be042da150128337c82be5bac7024474d96927df86186afca164
ecoli_ml|clade_0_0059_ML	64	16599	59858f5a433e91512b380e22420f216b074406959938b984a7d2afd880c7afc5
ecoli_ml|clade_0_0060_ML	10	2767	0355661b0a6981b03c155ecbe1bf0a15c65b08cbc8bba0852df545c6947345f8
ecoli_ml|clade_0_0061_ML	35	9330	d1c8829909dd1c69cf7d0966295ec898afa978c18017105caee155a0343bcd7c
ecoli_ml|clade_0_0062_ML	7	1920	a46000f9c2f9d05671c43d28270ff3191206077affb499322dd4fbdc0f80e971
ecoli_ml|clade_0_0063_ML	30	7997	ead2f8265447c05b542568b569b2367d7c2bbca5b801a63b08d326ff47c0805c
ecoli_ml|clade_0_0064_ML	18	4830	16e7a1c52998a8340838b719b4a11d56b777e5aea08027e117ed12fabf86a6eb
ecoli_ml|clade_0_0065_ML	45	11936	43b811bdcc97d66eb20ed521f7c3af3a77801ab63e288dad735b144884b62f63
ecoli_ml|clade_0_0066_ML	11	2878	19f3abb408192c82bba05bdab4085c77b4fd75bd89be408ad595bb5751b9cc9d
ecoli_ml|clade_0_0067_ML	86	22965	7060b67af89631ab6094d3325c78bd38f60f8f4d1b00120489c909144385153b
ecoli_ml|clade_0_0068_ML	90	23936	7a8a74a320faa19051bfd0402b293147ed171412391eb96696dce2394c7e47af
ecoli_ml|clade_0_0069_ML	8	2159	7bb39c11b7ec31eaf5d14b6488ca70eef44e298d3bdd96e3025b11c9e9776504
ecoli_ml|clade_0_0070_ML	3	806	f93137032cfd2feb10b84cae93cc9747a0d19bcc89acf5c18d7402249140bd1a
ecoli_ml|clade_0_0071_ML	53	13891	2f28cccc5ba4de3d09e5d8d4ff62cc64410657c9aebf8cfa3cddcfdcc5e63e0b
ecoli_ml|clade_0_0072_ML	14	3702	19f1ce9eae5d75b97d7a0c468b650b581f77408d14b08a800cc0542289ccd7ec
ecoli_ml|clade_0_0073_ML	10	2799	99ae5517c89e6d8ff71f186933862f8174544df9537f5169673c00c2ccb0f0c5
ecoli_ml|clade_0_0074_ML	8	2213	2eec94f5fe9b01a13ef7492ad18e421eef9ced3a3e94e1a0bbedac2bcac7ffc4
ecoli_ml|clade_0_0075_ML	169	45658	28b6ba972e986c6dbcf8dd1475701b48fa3b5171a55f149720ab83198fc80739
ecoli_ml|clade_0_0076_ML	206	55776	694e6cb400131896c22403ee47ee791ff2e614dbdbf2a1dff318265aa7c33bcf
ecoli_ml|clade_0_0077_ML	173	46590	69182abdfde9a2d12d64b2adade85800b5304c078458ebfeeda2074132af4265
ecoli_ml|clade_0_0078_ML	84	22411	be648db6bb196bb701f00be3c000dae0db0167b355a9cab259999df10fe6ce07
ecoli_ml|clade_0_0079_ML	47	12409	624ac214531b5ab3423abab85753a9209cf7d82bb5c50e189c84b8f0fc394293
ecoli_ml|clade_0_0080_ML	49	13276	843b0f406c9bafaaceea57b31e74b44f0882b955045a7f145759fe4f5a86f5ec
ecoli_ml|clade_0_0081_ML	112	29764	a1ed5ce22c745907bf4504afdad3c808c593cd34049f7b296a58bfdd1abee020
ecoli_ml|clade_0_0082_ML	155	41576	c62ad302b79e30c8b754679c121ff1c605ef0324c12bf893ad8c5a18f36f1ee6
ecoli_ml|clade_0_0083_ML	11	2936	c6e1670f9e6ec9f81e295a73e8b8bd6307e246dcc15f77f63ffed3b1bd477602
ecoli_ml|clade_0_0084_ML	168	44772	6be5c72015304dfec56adddd507dd31e6fb49740af31e7c7a18bf410b99755a1
ecoli_ml|clade_0_0085_ML	109	29145	f7ae8d3adaa272492b386b57c99a5a8317e47e0fb5a215f4ee32bf8a194a2793
ecoli_ml|clade_0_0086_ML	163	43226	f74b082f3674def38bb885af566deb765df57a0bbc9cf9f3d7eae333adb65b72
ecoli_ml|clade_0_0087_ML	47	12414	71df35b58cc6d523866c0ff53bb9ff63f7acc50708b2ed649555f01f631adb91
ecoli_ml|clade_0_0088_ML	10	2723	ecad0ce610c7c9bb5d923b30486266e526a708467411c0f32732c8fdb2109381
ecoli_ml|clade_0_0089_ML	30	7994	3fad4b31677892d4b6cc0c2e49901402f2a1d80f16d2fa0276df963e27176e6e
ecoli_ml|clade_0_0090_ML	161	42563	151f51eb09b5aa3c1362a6f69aa06e792c48ab656a205d3edcaac0ad410ee8ef
ecoli_ml|clade_0_0091_ML	96	25620	feb9fd8a6f10d685f1057cad6f8c5c16ed5f0ef897927c092d32a0808b51626a
ecoli_ml|clade_0_0092_ML	110	29247	1f5e691554ce36d0a6638c265a588ba82659fe344f62c1ccfc7c667083175192
ecoli_ml|clade_0_0093_ML	47	12397	23798a20124ff233f12230092483b8fc8e033515addb67db6ce32773ab3f95f9
ecoli_ml|clade_0_0094_ML	60	15965	6eeebea244970db6e80110e279797ae2e00173baf7b0eb02b948865fa1981506
ecoli_ml|clade_0_0095_ML	34	9200	f4620f2ed1de1232a0a2edfe7d4cc3ad78f9a217a71a920eb6a8fc43c70ffa93
ecoli_ml|clade_0_0096_ML	183	48870	5e8cf10b4fcf772e4878e0aafb6dcd0951a01e090f0ea59b0ddecd933c53ba7f
ecoli_ml|clade_0_0097_ML	12	3214	9f61dfaf6e6efacfd74e38ea14b483a9f9ef4c3d4615ca582e83077c8b35df98
ecoli_ml|clade_0_0098_ML	87	22930	2fb3df38504a1b0409b6e488e9d7f8ef587c58f15a05c5a30606d02a8c48daa0
ecoli_ml|clade_0_0099_ML	392	104987	cb9408c149fd4f724d8905478f386bd0ae8997bcca85eece5abd06bbcc7c727a
ecoli_ml|clade_0_0100_ML	96	25527	67f5e783222b7f461aa2632bc2a8684aa991b8642ceaa9010827ac55493f710c
ecoli_ml|clade_0_0101_ML	73	19735	4b316032ee02ceb775e578140da27f8bfa9ec3fec5fed316c99720d5b5380561
ecoli_ml|clade_10_0000_ML	223	59575	570d44b7d828e4bce13ba5a299bbd24c0347b7b4807eeb4f2afc2651ad67a83d
ecoli_ml|clade_10_0001_ML	268	71768	449395ad6690175ef43e4b29904fa9b8f5510dc9b0764874ff175a1772e4eaf5
ecoli_ml|clade_10_0002_ML	273	72957	b2f68a5d2204dfc302ea0823593bd1d1a4f23eb8214af43ab3717adbc931893b
ecoli_ml|clade_10_0003_ML	430	115265	6f7c57aa41db2ba4afb9b4e7286d731cdcc216865c6196bc9fdd1c20fbb3feb5
