prophage_id	host_accession
GCF_003334405.1_prophage_2	GCF_003334405.1
GCF_003334405.1_prophage_3	GCF_003334405.1
GCF_003334405.1_prophage_1	GCF_003334405.1
GCF_003334385.1_prophage_1	GCF_003334385.1
GCF_003334385.1_prophage_2	GCF_003334385.1
GCF_003334385.1_prophage_3	GCF_003334385.1
GCF_003334385.1_prophage_4	GCF_003334385.1
GCF_003334385.1_prophage_5	GCF_003334385.1
GCF_003334385.1_prophage_6	GCF_003334385.1
GCF_003334385.1_prophage_7	GCF_003334385.1
GCF_003334385.1_prophage_8	GCF_003334385.1
GCF_003334385.1_prophage_9	GCF_003334385.1
GCF_003334815.1_prophage_1	GCF_003334815.1
GCF_003334815.1_prophage_2	GCF_003334815.1
GCF_003334815.1_prophage_3	GCF_003334815.1
GCF_003334355.1_prophage_2	GCF_003334355.1
GCF_003334355.1_prophage_1	GCF_003334355.1
GCF_003334335.1_prophage_2	GCF_003334335.1
GCF_003334335.1_prophage_1	GCF_003334335.1
GCF_003334335.1_prophage_3	GCF_003334335.1
GCF_003334335.1_prophage_4	GCF_003334335.1
GCF_003334335.1_prophage_5	GCF_003334335.1
GCF_003334315.1_prophage_1	GCF_003334315.1
GCF_003334315.1_prophage_2	GCF_003334315.1
GCF_003334305.1_prophage_1	GCF_003334305.1
GCF_003334305.1_prophage_2	GCF_003334305.1
GCF_003334305.1_prophage_3	GCF_003334305.1
GCF_003334765.1_prophage_3	GCF_003334765.1
GCF_003334765.1_prophage_1	GCF_003334765.1
GCF_003334765.1_prophage_2	GCF_003334765.1
GCF_003334765.1_prophage_4	GCF_003334765.1
GCF_003334765.1_prophage_5	GCF_003334765.1
GCF_003334255.1_prophage_1	GCF_003334255.1
GCF_003334255.1_prophage_2	GCF_003334255.1
GCF_003334255.1_prophage_3	GCF_003334255.1
GCF_003334785.1_prophage_2	GCF_003334785.1
GCF_003334785.1_prophage_3	GCF_003334785.1
GCF_003334785.1_prophage_1	GCF_003334785.1
GCF_003334245.1_prophage_4	GCF_003334245.1
GCF_003334245.1_prophage_5	GCF_003334245.1
GCF_003334245.1_prophage_1	GCF_003334245.1
GCF_003334245.1_prophage_2	GCF_003334245.1
GCF_003334245.1_prophage_3	GCF_003334245.1
GCF_003334775.1_prophage_5	GCF_003334775.1
GCF_003334775.1_prophage_1	GCF_003334775.1
GCF_003334775.1_prophage_2	GCF_003334775.1
GCF_003334775.1_prophage_3	GCF_003334775.1
GCF_003334775.1_prophage_4	GCF_003334775.1
GCF_003334775.1_prophage_6	GCF_003334775.1
GCF_003334775.1_prophage_7	GCF_003334775.1
GCF_003334235.1_prophage_2	GCF_003334235.1
GCF_003334235.1_prophage_1	GCF_003334235.1
GCF_003334235.1_prophage_3	GCF_003334235.1
GCF_003334705.1_prophage_1	GCF_003334705.1
GCF_003334705.1_prophage_3	GCF_003334705.1
GCF_003334705.1_prophage_4	GCF_003334705.1
GCF_003334705.1_prophage_2	GCF_003334705.1
GCF_003334225.1_prophage_4	GCF_003334225.1
GCF_003334225.1_prophage_6	GCF_003334225.1
GCF_003334225.1_prophage_1	GCF_003334225.1
GCF_003334225.1_prophage_2	GCF_003334225.1
GCF_003334225.1_prophage_3	GCF_003334225.1
GCF_003334225.1_prophage_5	GCF_003334225.1
GCF_003334675.1_prophage_3	GCF_003334675.1
GCF_003334675.1_prophage_1	GCF_003334675.1
GCF_003334675.1_prophage_2	GCF_003334675.1
GCF_003334175.1_prophage_4	GCF_003334175.1
GCF_003334175.1_prophage_1	GCF_003334175.1
GCF_003334175.1_prophage_2	GCF_003334175.1
GCF_003334175.1_prophage_3	GCF_003334175.1
GCF_003334715.1_prophage_1	GCF_003334715.1
GCF_003334715.1_prophage_2	GCF_003334715.1
GCF_003334165.1_prophage_1	GCF_003334165.1
GCF_003334155.1_prophage_1	GCF_003334155.1
GCF_003334155.1_prophage_3	GCF_003334155.1
GCF_003334155.1_prophage_2	GCF_003334155.1
GCF_003334145.1_prophage_2	GCF_003334145.1
GCF_003334145.1_prophage_6	GCF_003334145.1
GCF_003334145.1_prophage_1	GCF_003334145.1
GCF_003334145.1_prophage_3	GCF_003334145.1
GCF_003334145.1_prophage_4	GCF_003334145.1
GCF_003334145.1_prophage_5	GCF_003334145.1
GCF_003334115.1_prophage_1	GCF_003334115.1
GCF_003334115.1_prophage_2	GCF_003334115.1
GCF_003334115.1_prophage_3	GCF_003334115.1
GCF_003334095.1_prophage_5	GCF_003334095.1
GCF_003334095.1_prophage_1	GCF_003334095.1
GCF_003334095.1_prophage_2	GCF_003334095.1
GCF_003334095.1_prophage_3	GCF_003334095.1
GCF_003334095.1_prophage_4	GCF_003334095.1
GCF_003334085.1_prophage_1	GCF_003334085.1
GCF_003334085.1_prophage_4	GCF_003334085.1
GCF_003334085.1_prophage_5	GCF_003334085.1
GCF_003334085.1_prophage_2	GCF_003334085.1
GCF_003334085.1_prophage_3	GCF_003334085.1
GCF_003334065.1_prophage_1	GCF_003334065.1
GCF_003334065.1_prophage_2	GCF_003334065.1
GCF_003334035.1_prophage_4	GCF_003334035.1
GCF_003334035.1_prophage_1	GCF_003334035.1
GCF_003334035.1_prophage_2	GCF_003334035.1
GCF_003334035.1_prophage_3	GCF_003334035.1
GCF_003334665.1_prophage_4	GCF_003334665.1
GCF_003334665.1_prophage_1	GCF_003334665.1
GCF_003334665.1_prophage_2	GCF_003334665.1
GCF_003334665.1_prophage_3	GCF_003334665.1
GCF_003334015.1_prophage_2	GCF_003334015.1
GCF_003334015.1_prophage_3	GCF_003334015.1
GCF_003334015.1_prophage_1	GCF_003334015.1
GCF_003334005.1_prophage_1	GCF_003334005.1
GCF_003334005.1_prophage_2	GCF_003334005.1
GCF_003334005.1_prophage_3	GCF_003334005.1
GCF_003333975.1_prophage_1	GCF_003333975.1
GCF_003333975.1_prophage_2	GCF_003333975.1
GCF_003333945.1_prophage_4	GCF_003333945.1
GCF_003333945.1_prophage_1	GCF_003333945.1
GCF_003333945.1_prophage_2	GCF_003333945.1
GCF_003333945.1_prophage_3	GCF_003333945.1
GCF_003333935.1_prophage_2	GCF_003333935.1
GCF_003333935.1_prophage_3	GCF_003333935.1
GCF_003333935.1_prophage_1	GCF_003333935.1
GCF_003333925.1_prophage_2	GCF_003333925.1
GCF_003333925.1_prophage_3	GCF_003333925.1
GCF_003333925.1_prophage_1	GCF_003333925.1
GCF_003334625.1_prophage_3	GCF_003334625.1
GCF_003334625.1_prophage_1	GCF_003334625.1
GCF_003334625.1_prophage_2	GCF_003334625.1
GCF_003334735.1_prophage_4	GCF_003334735.1
GCF_003334735.1_prophage_1	GCF_003334735.1
GCF_003334735.1_prophage_2	GCF_003334735.1
GCF_003334735.1_prophage_3	GCF_003334735.1
