exception_id	scope	cohort_order	accession	terminal_action	reason	row_sha256
annotation-8	OPTIONAL_ANNOTATION_ALIAS_VIEW	8	GCF_000167895.3	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_000167895.3:622:90076-90333	78e48c894ac47d8598f19cb3ca3a9ed02fba27dcd70a5a94a01bf4f0b6aecf04
annotation-23	OPTIONAL_ANNOTATION_ALIAS_VIEW	23	GCF_005885955.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_005885955.1:11359:93426-102935	c675e810401af0239eeab8b089c05ebf36f839836dad469c5303034466429fae
annotation-68	OPTIONAL_ANNOTATION_ALIAS_VIEW	68	GCF_001617565.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001617565.1:10490:82553-82984	b4a787305b34a04bc6978af53cc85c882bca6a245bb6efb13dc9a4e24038e7d4
annotation-75	OPTIONAL_ANNOTATION_ALIAS_VIEW	75	GCF_001577325.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001577325.1:10312:113369-114226	47abffef093a0f5c3775f717292516783d6de0b6dc5ba4d116b5855a49a9f726
annotation-102	OPTIONAL_ANNOTATION_ALIAS_VIEW	102	GCF_003020885.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003020885.1:10525:133792-134649	97c9b21e1eb43eecdeead9c2f81d8a3b3e3a4753d18b4d5b2df0df989645fbff
annotation-124	OPTIONAL_ANNOTATION_ALIAS_VIEW	124	GCF_009931235.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_009931235.1:11527:92503-95199	6234f0cdef85e51202e8aa8bdb0b305cb8bd93c02f2498e77c5282fd9ea26808
annotation-137	OPTIONAL_ANNOTATION_ALIAS_VIEW	137	GCF_016404405.2	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_016404405.2:9880:4966297-4966572	08366af366107f26440865f338b45e2f59d3cc7f261acf509ce11aec565aa744
annotation-153	OPTIONAL_ANNOTATION_ALIAS_VIEW	153	GCF_011404355.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_011404355.1:9329:4711306-4711581	565840be9daeecc2f8ea40e37cd4ce8678b27469017d828ed63167cf4e7f8574
annotation-168	OPTIONAL_ANNOTATION_ALIAS_VIEW	168	GCF_004010615.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_004010615.1:11017:5428441-5428902	ad8f97c7d9a04043eaada6a19b07b0628e3d8b8dc94724d58ab836a971f48601
annotation-172	OPTIONAL_ANNOTATION_ALIAS_VIEW	172	GCF_003956205.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003956205.1:10181:5096684-5096914	99b282ac1ab6702c190125ff01c66a9d49148e00c21b30f1d45f9cd0f008e55c
annotation-173	OPTIONAL_ANNOTATION_ALIAS_VIEW	173	GCF_014169035.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014169035.1:10238:121210-121329	a2fbe265203893524a8c9fa198ffd6cd907fa6741032db32cfc0a6ff00518672
annotation-188	OPTIONAL_ANNOTATION_ALIAS_VIEW	188	GCF_011045875.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_011045875.1:9294:4658459-4658734	bf7b6dc0b0c676fe5defa128eec88d273a1e0f954594fda66cd792f64fa4d2fe
annotation-224	OPTIONAL_ANNOTATION_ALIAS_VIEW	224	GCF_001679985.1	QUARANTINED_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001679985.1:9910:5005475-5006516	0db64edd171001716c81d2beb67f380ead6775a1e37278d73363d7b29491968b
