accession	tier	bioproject	bait	bait_class	kmer_cov	known_phage_match	match_ref	qcov	identity	novelty
ERR13913805	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13913807	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13913808	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13913809	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915673	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915675	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8915	no	-	-	-	novel (no known-phage match)
ERR13915677	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.865	no	-	-	-	novel (no known-phage match)
ERR13915677	E1	ERP165651	ECBAIT_10_0172_MEMBER_INTERIOR_01	member_interior	0.7333	no	-	-	-	novel (no known-phage match)
ERR13915679	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13915680	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.947	no	-	-	-	novel (no known-phage match)
ERR13915681	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915682	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915683	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915684	E1	ERP165651	ECBAIT_10_0002_JUNCTION_01	junction	0.7268	no	-	-	-	novel (no known-phage match)
ERR13915684	E1	ERP165651	ECBAIT_10_0002_JUNCTION_02	junction	0.8289	no	-	-	-	novel (no known-phage match)
ERR13915684	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915684	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.7991	no	-	-	-	novel (no known-phage match)
ERR13915685	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13915686	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13915687	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8547	no	-	-	-	novel (no known-phage match)
ERR13915688	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8316	no	-	-	-	novel (no known-phage match)
ERR13916140	E1	ERP165651	ECBAIT_10_0002_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916140	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.8282	no	-	-	-	novel (no known-phage match)
ERR13916141	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	1.0	no	-	-	-	novel (no known-phage match)
ERR13916144	E1	ERP165651	ECBAIT_10_0057_MEMBER_INTERIOR_01	member_interior	0.9179	no	-	-	-	novel (no known-phage match)
