sequence,MDS1,MDS2,genome
GCF_000008865.2_prophage_1,-0.3913311009944094,-0.26693129203210764,GCF_000008865.2
GCF_000010385.1_prophage_6,0.705714634387118,0.4295977782791082,GCF_000010385.1
GCF_000010765.1_prophage_9,0.17308427358677397,0.31956891024348244,GCF_000010765.1
GCF_000021125.1_prophage_11,0.22955796160817324,0.5743373235966233,GCF_000021125.1
GCF_000021125.1_prophage_18,-0.05800677108967924,0.29597909574417236,GCF_000021125.1
GCF_000021125.1_prophage_9,0.24030520618754742,0.24628369482508788,GCF_000021125.1
GCF_000022345.1_prophage_1,-0.28655981720323104,0.22607903287810419,GCF_000022345.1
GCF_000025165.1_prophage_1,-0.2579877850099195,0.13505301194978706,GCF_000025165.1
GCF_000026545.1_prophage_8,-0.555846171499337,-0.1650999359785046,GCF_000026545.1
GCF_000026545.1_prophage_9,-0.0017444348846610454,-0.6604022366912354,GCF_000026545.1
GCF_000148365.1_prophage_1,0.15738071924230498,0.22786339223410143,GCF_000148365.1
GCF_000155125.1_prophage_6,0.1916601236016358,-0.049466024201019115,GCF_000155125.1
GCF_000155125.1_prophage_9,0.17384907909266467,0.25957382753245034,GCF_000155125.1
GCF_000163215.1_prophage_3,-0.4834098880107177,-0.057276797918930485,GCF_000163215.1
GCF_000163235.1_prophage_3,0.1332844125853722,0.22741758242550184,GCF_000163235.1
GCF_000164435.1_prophage_2,-0.5589375849262274,-0.0013024435920777379,GCF_000164435.1
GCF_000164475.1_prophage_1,-0.6035888538529883,0.5828415080031752,GCF_000164475.1
GCF_000166535.2_prophage_7,0.7592989644243073,0.029067339606492996,GCF_000166535.2
GCF_000167895.3_prophage_1,-0.20979385243626886,-0.8053255715879778,GCF_000167895.3
GCF_000171915.1_prophage_1,0.4576957493775478,0.17483100486981712,GCF_000171915.1
GCF_000171935.1_prophage_13,-0.24678425203326892,0.20178832982832084,GCF_000171935.1
GCF_000171935.1_prophage_9,0.06627642474903815,0.33950655855732587,GCF_000171935.1
GCF_000172055.1_prophage_4,-0.04969471210931564,0.44395486735948325,GCF_000172055.1
GCF_000172055.1_prophage_5,-0.019755933987680645,0.45709595856444757,GCF_000172055.1
GCF_000178755.1_prophage_2,0.6068639058618962,-0.38471068997591085,GCF_000178755.1
GCF_000181775.1_prophage_4,0.18366647345969578,0.2107568887030373,GCF_000181775.1
GCF_000184185.1_prophage_7,0.4788946974875778,0.5565886321379412,GCF_000184185.1
GCF_000187365.1_prophage_1,-0.29120721208868416,0.735114239102868,GCF_000187365.1
GCF_000188875.1_prophage_8,0.35990044469009236,-0.6702888412689978,GCF_000188875.1
GCF_000190895.1_prophage_1,-0.3021216927567448,0.1722478294360438,GCF_000190895.1
GCF_000190995.1_prophage_4,0.4509589385404876,0.21005062675821273,GCF_000190995.1
GCF_000194335.1_prophage_4,0.6819880399557412,0.2096552383859013,GCF_000194335.1
GCF_000194335.1_prophage_8,0.11133462985364934,0.6306090380898254,GCF_000194335.1
GCF_000194415.1_prophage_10,-0.3760017981361245,0.690827202385916,GCF_000194415.1
GCF_000194575.1_prophage_10,-0.4742397748830482,-0.11951273926520613,GCF_000194575.1
GCF_000194665.1_prophage_9,0.14979286920508614,-0.8056672035591502,GCF_000194665.1
GCF_000194685.1_prophage_3,-0.38282619423955416,0.08024359438936325,GCF_000194685.1
GCF_000194725.1_prophage_8,0.3656842955645575,0.20303873483272494,GCF_000194725.1
GCF_000212715.2_prophage_12,0.12456658651558905,-0.8134002078071225,GCF_000212715.2
GCF_000215185.1_prophage_5,-0.2181646777516203,0.22421302503399462,GCF_000215185.1
GCF_000215225.1_prophage_4,0.3481045923513836,0.19702570330267186,GCF_000215225.1
GCF_000220005.1_prophage_4,0.37493244960189914,0.10488909531815982,GCF_000220005.1
GCF_000223015.1_prophage_3,0.455060962320908,0.19254968826824714,GCF_000223015.1
GCF_000224395.1_prophage_2,0.7086499143114326,-0.1178948043633553,GCF_000224395.1
GCF_000225185.2_prophage_3,-0.005452695122181028,0.40525298999257775,GCF_000225185.2
GCF_000233675.1_prophage_4,-0.5988204078310981,0.07596514765786905,GCF_000233675.1
GCF_000234605.1_prophage_3,0.7712385646541084,-0.008391457985658862,GCF_000234605.1
GCF_000235065.1_prophage_2,-0.24524648536256652,0.21272006118253764,GCF_000235065.1
GCF_000235065.1_prophage_4,0.09908133200649342,0.2384319564155288,GCF_000235065.1
GCF_000235125.1_prophage_1,-0.42669440656947155,-0.6956022674189973,GCF_000235125.1
GCF_000235125.1_prophage_2,-0.24509195736779366,0.2127425944649644,GCF_000235125.1
GCF_000235145.1_prophage_9,-0.5185117882831302,0.15655892509118202,GCF_000235145.1
GCF_000235205.1_prophage_7,-0.12526287838292463,-0.18553995919235458,GCF_000235205.1
GCF_000235265.1_prophage_4,0.09973524717385772,0.2386993390357637,GCF_000235265.1
GCF_000249115.1_prophage_11,-0.34883687666125857,0.12937340437569275,GCF_000249115.1
GCF_000249235.1_prophage_1,0.1151813178353905,-0.6124820042327573,GCF_000249235.1
GCF_000249255.1_prophage_1,-0.625257056111259,-0.009123891665211862,GCF_000249255.1
GCF_000249755.1_prophage_8,0.4754951101484789,0.052163534589935764,GCF_000249755.1
GCF_000249855.1_prophage_7,0.32958140519803614,0.12235739081049969,GCF_000249855.1
GCF_000249875.1_prophage_5,0.3725125832570657,0.5519263114648917,GCF_000249875.1
GCF_000249935.1_prophage_2,-0.5651069385659572,-0.29648044987703187,GCF_000249935.1
GCF_000249935.1_prophage_7,0.583177044437451,0.16460611111189868,GCF_000249935.1
GCF_000250135.1_prophage_10,-0.05260128558219818,0.431272954697959,GCF_000250135.1
GCF_000250195.1_prophage_10,0.004856339634139973,0.4100410095898262,GCF_000250195.1
GCF_000250375.1_prophage_4,0.32510051774477683,-0.3369552083244688,GCF_000250375.1
GCF_000250575.1_prophage_1,0.11885188977032035,-0.7086917388239969,GCF_000250575.1
GCF_000252805.1_prophage_2,-0.5614497762251667,-0.6274788920653237,GCF_000252805.1
GCF_000260475.1_prophage_5,0.7205238729535576,-0.241010940229348,GCF_000260475.1
GCF_000260475.1_prophage_9,0.23528964782877435,0.5737624369098425,GCF_000260475.1
GCF_000261405.1_prophage_1,-0.26715566193488127,0.1961880757067153,GCF_000261405.1
GCF_000262125.1_prophage_3,0.18199069334260987,0.251091387031088,GCF_000262125.1
GCF_000262125.1_prophage_7,0.2143034081540178,0.2557140624206085,GCF_000262125.1
GCF_000263915.1_prophage_5,-0.40499285596000245,0.1779546047567489,GCF_000263915.1
GCF_000267085.1_prophage_3,0.45321329095930807,0.13380009234498497,GCF_000267085.1
GCF_000267085.1_prophage_6,-0.1880097102454953,-0.17408919361778225,GCF_000267085.1
GCF_000267105.1_prophage_5,0.40248075934124633,0.17261968899846303,GCF_000267105.1
GCF_000267125.1_prophage_1,-0.6699711197822815,0.10813466892873869,GCF_000267125.1
GCF_000267185.1_prophage_15,-0.4840878567025866,0.030712666647388216,GCF_000267185.1
GCF_000267785.2_prophage_3,0.6315519262019226,0.4998549937677231,GCF_000267785.2
GCF_000267885.2_prophage_2,-0.11569992550895083,0.7384536681999113,GCF_000267885.2
GCF_000269645.1_prophage_2,-0.12056568537532693,-0.4590402360006342,GCF_000269645.1
GCF_000273425.1_prophage_3,0.021117725663116527,0.302699881921549,GCF_000273425.1
GCF_000276745.1_prophage_3,-0.03966634462255013,-0.3260167979780818,GCF_000276745.1
GCF_000281775.1_prophage_1,0.03360843582645242,-0.08531967528652734,GCF_000281775.1
GCF_000303235.2_prophage_1,-0.4011164026197915,0.6809444841211717,GCF_000303235.2
GCF_000303795.2_prophage_1,0.6195640835400122,-0.3453155884736282,GCF_000303795.2
GCF_000303815.2_prophage_1,-0.15087653110193402,-0.35089016012710816,GCF_000303815.2
GCF_000304055.2_prophage_7,0.019654969544475046,-0.17969312134038518,GCF_000304055.2
GCF_000304115.2_prophage_2,-0.7118094532822139,0.2092949244240637,GCF_000304115.2
GCF_000305155.2_prophage_1,-0.39189237501070007,-0.26692759530750854,GCF_000305155.2
GCF_000308975.1_prophage_1,-0.14439994014699273,-0.2850118026361256,GCF_000308975.1
GCF_000316405.2_prophage_3,0.7047025402303708,0.3300190393328181,GCF_000316405.2
GCF_000316865.2_prophage_2,0.596920911227349,0.23658077422357474,GCF_000316865.2
GCF_000316905.2_prophage_2,-0.6139232435180001,-0.0075092532544274665,GCF_000316905.2
GCF_000319835.1_prophage_1,0.10070697046264968,0.23865326580798443,GCF_000319835.1
GCF_000320035.1_prophage_7,-0.6137116400309123,-0.19329218065103984,GCF_000320035.1
GCF_000320115.1_prophage_3,-0.008646546438009906,-0.014838321214694477,GCF_000320115.1
GCF_000320175.1_prophage_4,0.44666041442598675,-0.08249305242057156,GCF_000320175.1
GCF_000326445.1_prophage_2,0.12469833188967633,0.8240945202795018,GCF_000326445.1
GCF_000326505.1_prophage_1,-0.09288072348892862,-0.4088082031210559,GCF_000326505.1
GCF_000326525.1_prophage_2,-0.62196977869272,-0.035016609518293176,GCF_000326525.1
GCF_000326525.1_prophage_3,-0.19198576012374277,0.21277673429507596,GCF_000326525.1
GCF_000326585.1_prophage_4,-0.6149653537840049,-0.4174549241172641,GCF_000326585.1
GCF_000326725.1_prophage_2,-0.22076461271333278,0.2223543626984187,GCF_000326725.1
GCF_000326925.1_prophage_4,-0.2149012924890399,-0.27499748275759467,GCF_000326925.1
GCF_000335135.1_prophage_1,0.045413890821948,0.8330288216516091,GCF_000335135.1
GCF_000335195.2_prophage_7,-0.3166625042710343,-0.7024839861817822,GCF_000335195.2
GCF_000335335.2_prophage_2,0.16705219869897295,-0.673456427785138,GCF_000335335.2
GCF_000350005.1_prophage_1,-0.008803819778269092,-0.014809813039177888,GCF_000350005.1
GCF_000350045.2_prophage_3,0.16215257888369425,0.16910096881668793,GCF_000350045.2
GCF_000350905.1_prophage_4,0.05009733975589379,0.2301819954868428,GCF_000350905.1
GCF_000350945.1_prophage_2,0.14279213380606492,0.19915390268051766,GCF_000350945.1
GCF_000351045.1_prophage_4,0.09399221033114162,0.16619612889577806,GCF_000351045.1
GCF_000351125.1_prophage_2,-0.4680705527863979,0.13799050798480714,GCF_000351125.1
GCF_000351165.1_prophage_4,0.36011303731218874,-0.4485251631503487,GCF_000351165.1
GCF_000351225.1_prophage_7,0.6962206893710096,-0.3727766458136861,GCF_000351225.1
GCF_000351265.1_prophage_1,-0.06410018797657784,0.474843225523471,GCF_000351265.1
GCF_000351345.1_prophage_4,-0.6589463140438552,-0.1081838394878234,GCF_000351345.1
GCF_000351425.1_prophage_3,-0.11841254442433446,0.2307102960894828,GCF_000351425.1
GCF_000351465.1_prophage_9,-0.15332560182818056,-0.7972855907435875,GCF_000351465.1
GCF_000351525.1_prophage_1,-0.585587178957714,0.18248303617180603,GCF_000351525.1
GCF_000351685.1_prophage_3,-0.48528174743490665,-0.04474848832609678,GCF_000351685.1
GCF_000352225.1_prophage_3,-0.015624060636556726,-0.137720811440197,GCF_000352225.1
GCF_000352285.1_prophage_1,0.40163142842301636,-0.5962491249942332,GCF_000352285.1
GCF_000352325.1_prophage_2,0.37670063193082637,0.7052848305639006,GCF_000352325.1
GCF_000352685.1_prophage_3,0.4054857265261008,0.1628553022730415,GCF_000352685.1
GCF_000352985.1_prophage_5,0.7467176107318617,-0.37521225882191006,GCF_000352985.1
GCF_000353165.1_prophage_4,-0.09606385958397005,-0.35264220641518723,GCF_000353165.1
GCF_000353165.1_prophage_7,0.21711216750036097,0.16906043279552638,GCF_000353165.1
GCF_000354355.2_prophage_4,0.44271975692744236,-0.6340385975485757,GCF_000354355.2
GCF_000354735.2_prophage_1,-0.2081103461622,0.4799511504204824,GCF_000354735.2
GCF_000354775.2_prophage_4,0.43165620691397694,-0.6242715751622215,GCF_000354775.2
GCF_000354855.1_prophage_5,-0.6207206005750936,0.3941173368176895,GCF_000354855.1
GCF_000354915.1_prophage_2,-0.4360141320377278,-0.09030953175627933,GCF_000354915.1
GCF_000354935.2_prophage_3,-0.29759068822086016,-0.7330056173765553,GCF_000354935.2
GCF_000354935.2_prophage_4,-0.43581390925767605,-0.02035654131281321,GCF_000354935.2
GCF_000355215.2_prophage_4,0.3005142807038247,0.5515204856750238,GCF_000355215.2
GCF_000355255.2_prophage_2,-0.5939973246957707,0.20708206048416491,GCF_000355255.2
GCF_000355295.1_prophage_3,0.8253564387069428,0.06796995106106875,GCF_000355295.1
GCF_000355295.1_prophage_5,0.15304895074940714,0.24755178587746082,GCF_000355295.1
GCF_000355355.1_prophage_3,0.7613078810170817,-0.041180857563040914,GCF_000355355.1
GCF_000355475.2_prophage_4,0.4936718755691409,0.1943308721103804,GCF_000355475.2
GCF_000356245.1_prophage_5,0.4382343822993036,0.15571238885066416,GCF_000356245.1
GCF_000356285.2_prophage_2,0.31202323468313037,0.08086936288974914,GCF_000356285.2
GCF_000356465.2_prophage_1,-0.6378577581024552,0.18758229434531223,GCF_000356465.2
GCF_000356645.2_prophage_2,0.038444460156202113,0.381419472340793,GCF_000356645.2
GCF_000356725.1_prophage_4,0.7490184108436059,-0.14493897478711634,GCF_000356725.1
GCF_000356725.1_prophage_7,-0.197307358816665,-0.5160813917358119,GCF_000356725.1
GCF_000357305.2_prophage_4,0.627291265273027,0.22723822863314885,GCF_000357305.2
GCF_000357465.2_prophage_3,0.17956707373890654,-0.5666216200340408,GCF_000357465.2
GCF_000357625.2_prophage_3,-0.41974716654922545,0.252634915818669,GCF_000357625.2
GCF_000357985.2_prophage_3,-0.6777428410489936,0.04224364784621736,GCF_000357985.2
GCF_000358085.2_prophage_5,0.4635800209238194,0.5882168167978306,GCF_000358085.2
GCF_000358105.2_prophage_5,0.6209828873834911,-0.2669661490828899,GCF_000358105.2
GCF_000358715.2_prophage_1,-0.6498190278320327,0.09920522393103705,GCF_000358715.2
GCF_000364365.1_prophage_5,-0.2865598172030822,0.22607903287836909,GCF_000364365.1
GCF_000387865.2_prophage_5,0.12052305918641064,0.23223808149689276,GCF_000387865.2
GCF_000397705.1_prophage_3,-0.56777506110639,0.17342943307586822,GCF_000397705.1
GCF_000403965.1_prophage_2,0.3921337280603823,-0.6731680911468336,GCF_000403965.1
GCF_000407705.1_prophage_3,-0.05466175243383221,0.45284033624084297,GCF_000407705.1
GCF_000407745.1_prophage_1,0.08958805775812691,0.19573395246485717,GCF_000407745.1
GCF_000407945.1_prophage_6,0.5897157260244081,-0.4141973422943654,GCF_000407945.1
GCF_000407965.1_prophage_7,-0.05020234818367726,0.5171875962532018,GCF_000407965.1
GCF_000408045.1_prophage_7,0.1277360420416266,0.791224182385017,GCF_000408045.1
GCF_000408305.1_prophage_3,0.3488533531761079,0.18093169933753922,GCF_000408305.1
GCF_000408445.1_prophage_7,-0.3740454582805349,0.06335307571843687,GCF_000408445.1
GCF_000408485.1_prophage_1,-0.06989419450157368,0.39995841882671235,GCF_000408485.1
GCF_000408605.1_prophage_5,0.051791661309396574,-0.7145149862180605,GCF_000408605.1
