accession	tier	scientific_name	bioproject	n_baits_ge_0.7	baits_ge_0.7
ERR13913805	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13913808	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13913807	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13913809	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915679	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13915675	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13915673	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915677	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.733
ERR13915680	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.947
ERR13915683	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915681	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915682	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915685	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13915687	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13915686	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13915684	E1	Escherichia coli	ERP165651	4	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.799
ERR13915688	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916140	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.828
ERR13916144	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.918
ERR13916141	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916158	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916161	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916164	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916167	E1	Escherichia coli	ERP165651	4	ECBAIT_0_0046_MEMBER_INTERIOR_01:0.836;ECBAIT_10_0002_JUNCTION_01:0.832;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.831;ECBAIT_10_0151_JUNCTION_03:0.719
ERR13916170	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916173	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.918
ERR13916169	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.818
ERR13916175	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.866
ERR13916176	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916178	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.831
ERR13916179	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.763;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916181	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.845
ERR13916184	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916265	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916185	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.759;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916266	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.828
ERR13916268	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.749
ERR13916269	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916270	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916272	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916273	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.805;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916275	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.810
ERR13916278	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.947;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.743
ERR13916277	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916281	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916280	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916299	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916283	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916301	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_01:0.771;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.884
ERR13916303	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916308	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916310	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.962
ERR13916313	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916312	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.974
ERR13916315	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916314	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.849
ERR13916316	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916317	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916319	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.808
ERR13916318	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916320	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.797
ERR13916321	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0151_MEMBER_INTERIOR_01:0.721;ECBAIT_10_0172_MEMBER_INTERIOR_01:0.757
ERR13916322	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.760
ERR13916323	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916324	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916325	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916326	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916327	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916328	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.918
ERR13916346	E1	Escherichia coli	ERP165651	4	ECBAIT_10_0002_JUNCTION_01:0.727;ECBAIT_10_0002_JUNCTION_02:0.829;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916347	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.891
ERR13916329	E1	Escherichia coli	ERP165651	3	ECBAIT_10_0002_JUNCTION_02:0.759;ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.855
ERR13916348	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.832
ERR13916349	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
ERR13916351	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.918
ERR13916350	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:0.857
ERR13916352	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.865
ERR13916353	E1	Escherichia coli	ERP165651	1	ECBAIT_10_0057_MEMBER_INTERIOR_01:0.843
ERR13916354	E1	Escherichia coli	ERP165651	2	ECBAIT_10_0002_MEMBER_INTERIOR_01:1.000;ECBAIT_10_0057_MEMBER_INTERIOR_01:1.000
