component	low_value	central_value	high_value	unit	formula_or_assumption	evidence_source
physical_input_lines	26078	26078	26078	count	Exact LF-terminated physical lines including malformed header-like line	wc -l and byte parser on 26k_ecoli_accession.txt; 2026-07-24T19:49:14Z
valid_refseq_assembly_accessions	26077	26077	26077	count	Anchored GCF accession.version regex and NCBI check API valid response for all 26077	local inventory plus https://api.ncbi.nlm.nih.gov/datasets/v2/genome/check POST in 27 batches; 2026-07-24T19:56:04Z..19:56:20Z
estimated_total_sequence_bases	119954200000	133506225669	146031200000	base	N=26077 times 4.6 Mb low; mean 5.119692667 Mb from nine detailed metadata reports central; 5.6 Mb high	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/dataset_report; metadata-only; 2026-07-24T19:53:09Z
source_download_genomic_fasta_compressed	31.2924	38.390215	57.3694	GB_decimal	N times 1.2 MB low; 1.4721868 MB sample mean central; 2.2 MB high; NCBI preview reports packaged all_genomic_fasta size_mb	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/download_summary returned 14.721868 MB; 2026-07-24T19:53:09Z
annotation_download_gff3_compressed	7.8231	12.242659	26.077	GB_decimal	N times 0.3 MB low; 0.4694811 MB sample mean central; 1.0 MB high; assumes GFF3 requested and available	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/download_summary returned genome_gff 4.694811 MB; 2026-07-24T19:53:09Z
source_plus_annotation_transfer	39.1155	50.632874	83.4464	GB_decimal	source_download_genomic_fasta_compressed + annotation_download_gff3_compressed	Calculated from preceding TSV rows
canonical_bgzf_fasta	31.2924	41.7232	62.5848	GB_decimal	N times 1.2/1.6/2.4 MB; recompression outcome uncertain and depends on BGZF implementation/settings owned by PanSN/BGZF task	Source preview plus assumption BGZF is near ordinary gzip with block overhead; no sequence payload sampled
optional_transient_plain_fasta_peak	122.353284	137.511412	153.33276	GB_decimal	estimated bases times 1.02/1.03/1.05 for headers and line wrapping; avoid by streaming one file at a time	Sequence-base estimate above plus explicit formatting-overhead assumption
annotation_durable_gff3_compressed	7.8231	12.242659	26.077	GB_decimal	Same bytes as compressed annotation transfer if retained; missing annotations must be represented explicitly rather than silently omitted	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/download_summary; 2026-07-24T19:53:09Z
fai_sidecars	0.05	0.2	2	GB_decimal	About 70 bytes per contig; nine-report sample mean 106.56 contigs/assembly gives about 0.195 GB central; broad high allows fragmentation/header length	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/dataset_report number_of_contigs; metadata-only; 2026-07-24T19:53:09Z
gzi_sidecars	0.02	0.04	0.08	GB_decimal	Approximately one pair of 64-bit offsets per BGZF block plus headers; central uses about 137.5 GB plain / 64 KiB * 16 bytes	BGZF index structure sizing assumption; validate in pilot under policy chosen by PanSN/BGZF task
metadata_manifests_checksums	0.05	0.25	1	GB_decimal	TSV/JSONL provenance; upstream and local checksums; logs; generous high for immutable history	Operational assumption; current row inventory is 6.4 MB
primary_durable_subtotal	39.2355	54.455859	91.7418	GB_decimal	canonical_bgzf_fasta + annotation_durable_gff3_compressed + fai_sidecars + gzi_sidecars + metadata_manifests_checksums	Calculated from preceding TSV rows; excludes backup and scratch
canonical_bgzf_fasta_files	26077	26077	26077	file_count	One canonical BGZF FASTA per valid assembly; exact naming/policy deferred	N=26077 valid assembly identifiers
fai_files	26077	26077	26077	file_count	One .fai per canonical FASTA	N=26077 valid assembly identifiers
gzi_files	26077	26077	26077	file_count	One .gzi per canonical BGZF FASTA	N=26077 valid assembly identifiers
annotation_files	0	26077	26077	file_count	Low excludes optional annotation; central/high assume one retained GFF3 per assembly; availability verified only in 10-accession preview	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/{10-accession CSV listed in report}/download_summary; 2026-07-24T19:53:09Z
persistent_file_inode_requirement	78331	104808	157462	inode_count	3N + 100 manifests low; 4N + 500 central; 6N + 1000 high for extra metadata/source records	N=26077 and explicit per-assembly file-count assumptions
source_download_chunk_files_peak	1	5	15	file_count	Chunked acquisition with bounded in-flight packages rather than one file per accession	Operational assumption; exact chunk size pilot-tuned
source_chunk_staging_peak	2	5	15	GB_decimal	Bounded resumable chunks and one atomic output; not the entire source transfer resident at once	Operational streaming/chunking assumption
indexes_and_intermediates_scratch	10	30	100	GB_decimal	Acquisition validation/index/log intermediates only; excludes IMPG/tree products	Operational assumption with wide range; pilot must replace
conversion_scratch_streaming	2	5	15	GB_decimal	One bounded source chunk plus one .partial BGZF output and validation state; no all-set plain FASTA	Streaming conversion assumption
