genome_id,source,accession,species,has_phigaro_result,prophage_count
1138383.42,BV-BRC,1138383.42,Mycobacterium paraintracellulare,True,1
117567.18,BV-BRC,117567.18,Mycolicibacterium frederiksbergense,True,0
1185650.1176,BV-BRC,1185650.1176,Mycobacteroides abscessus ATCC 19977,True,3
1185650.1307,BV-BRC,1185650.1307,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1308,BV-BRC,1185650.1308,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1309,BV-BRC,1185650.1309,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1310,BV-BRC,1185650.1310,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1311,BV-BRC,1185650.1311,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1312,BV-BRC,1185650.1312,Mycobacteroides abscessus ATCC 19977,True,4
1185650.1313,BV-BRC,1185650.1313,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1314,BV-BRC,1185650.1314,Mycobacteroides abscessus ATCC 19977,True,0
1185650.1315,BV-BRC,1185650.1315,Mycobacteroides abscessus ATCC 19977,True,3
1185650.1316,BV-BRC,1185650.1316,Mycobacteroides abscessus ATCC 19977,True,4
1185650.1318,BV-BRC,1185650.1318,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1320,BV-BRC,1185650.1320,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1321,BV-BRC,1185650.1321,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1322,BV-BRC,1185650.1322,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1323,BV-BRC,1185650.1323,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1324,BV-BRC,1185650.1324,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1325,BV-BRC,1185650.1325,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1326,BV-BRC,1185650.1326,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1327,BV-BRC,1185650.1327,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1328,BV-BRC,1185650.1328,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1329,BV-BRC,1185650.1329,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1330,BV-BRC,1185650.1330,Mycobacteroides abscessus ATCC 19977,True,0
1185650.1331,BV-BRC,1185650.1331,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1336,BV-BRC,1185650.1336,Mycobacteroides abscessus ATCC 19977,True,0
1185650.1341,BV-BRC,1185650.1341,Mycobacteroides abscessus ATCC 19977,True,3
1185650.1343,BV-BRC,1185650.1343,Mycobacteroides abscessus ATCC 19977,True,4
1185650.1344,BV-BRC,1185650.1344,Mycobacteroides abscessus ATCC 19977,True,2
1185650.1345,BV-BRC,1185650.1345,Mycobacteroides abscessus ATCC 19977,True,0
1185650.1365,BV-BRC,1185650.1365,Mycobacteroides abscessus ATCC 19977,True,0
1185650.1371,BV-BRC,1185650.1371,Mycobacteroides abscessus ATCC 19977,True,1
1185650.1374,BV-BRC,1185650.1374,Mycobacteroides abscessus ATCC 19977,True,1
1430326.7,BV-BRC,1430326.7,Mycobacterium decipiens,True,0
144549.17,BV-BRC,144549.17,Mycolicibacterium fortuitum subsp. fortuitum,True,0
146020.13,BV-BRC,146020.13,Mycolicibacterium brisbanense,True,2
169765.18,BV-BRC,169765.18,Mycobacterium lacus,True,1
1764.589,BV-BRC,1764.589,Mycobacterium timonense,True,3
1766.141,BV-BRC,1766.141,Mycolicibacterium fortuitum subsp. fortuitum,True,1
1766.142,BV-BRC,1766.142,Mycolicibacterium fortuitum subsp. fortuitum,True,2
1766.166,BV-BRC,1766.166,Mycolicibacterium fortuitum subsp. acetamidolyticum ATCC 35931,True,2
1767.260,BV-BRC,1767.260,Mycobacterium paraintracellulare,True,2
1767.261,BV-BRC,1767.261,Mycobacterium paraintracellulare,True,1
1767.262,BV-BRC,1767.262,Mycobacterium intracellulare ATCC 13950,True,2
1768.314,BV-BRC,1768.314,Mycobacterium kansasii ATCC 12478,True,3
1770.158,BV-BRC,1770.158,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.159,BV-BRC,1770.159,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.160,BV-BRC,1770.160,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.161,BV-BRC,1770.161,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.162,BV-BRC,1770.162,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.163,BV-BRC,1770.163,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.826,BV-BRC,1770.826,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.827,BV-BRC,1770.827,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.828,BV-BRC,1770.828,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1770.853,BV-BRC,1770.853,Mycobacterium avium subsp. paratuberculosis ATCC 19698,True,0
1774.147,BV-BRC,1774.147,Mycobacteroides chelonae subsp. gwanakae MOTT36W,True,1
1774.149,BV-BRC,1774.149,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,4
1774.150,BV-BRC,1774.150,Mycobacteroides chelonae CCUG 47445,True,1
1774.151,BV-BRC,1774.151,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,4
1774.153,BV-BRC,1774.153,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,0
1774.155,BV-BRC,1774.155,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,2
1774.156,BV-BRC,1774.156,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,2
1774.157,BV-BRC,1774.157,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,2
1774.158,BV-BRC,1774.158,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,0
1774.159,BV-BRC,1774.159,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,1
1774.162,BV-BRC,1774.162,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,0
1774.164,BV-BRC,1774.164,Mycobacteroides chelonae subsp. bovistauri QIA-37,True,1
1781.342,BV-BRC,1781.342,Mycobacterium marinum,True,4
1785.630,BV-BRC,1785.630,Mycolicibacterium frederiksbergense,True,2
1796.26,BV-BRC,1796.26,Mycolicibacterium senegalense,True,4
1799.15,BV-BRC,1799.15,Mycolicibacterium sp.,True,1
1804.15,BV-BRC,1804.15,Mycolicibacterium gilvum,True,6
1804.16,BV-BRC,1804.16,Mycolicibacterium gilvum,True,8
1807.22,BV-BRC,1807.22,Mycolicibacterium obuense,True,0
1807.23,BV-BRC,1807.23,Mycolicibacterium obuense,True,2
1807.24,BV-BRC,1807.24,Mycolicibacterium obuense,True,2
1962118.470,BV-BRC,1962118.470,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,0
1962118.471,BV-BRC,1962118.471,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,1
1962118.472,BV-BRC,1962118.472,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,1
1962118.473,BV-BRC,1962118.473,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,1
1962118.474,BV-BRC,1962118.474,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,1
1962118.475,BV-BRC,1962118.475,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,3
1962118.476,BV-BRC,1962118.476,Mycobacteroides abscessus subsp. massiliense CIP 108297,True,1
2587097.3,BV-BRC,2587097.3,Mycolicibacterium sp.,True,0
2587126.3,BV-BRC,2587126.3,Mycolicibacterium sp.,True,0
280871.16,BV-BRC,280871.16,Mycolicibacterium llatzerense,True,7
2857058.4,BV-BRC,2857058.4,Mycobacterium sp.,True,7
2857058.5,BV-BRC,2857058.5,Mycobacterium sp.,True,7
2857058.6,BV-BRC,2857058.6,Mycobacterium sp.,True,7
2857059.4,BV-BRC,2857059.4,Mycolicibacterium sp.,True,4
2857059.5,BV-BRC,2857059.5,Mycolicibacterium sp.,True,4
2857059.6,BV-BRC,2857059.6,Mycolicibacterium sp.,True,4
2857060.4,BV-BRC,2857060.4,Mycolicibacterium sp.,True,10
2857060.5,BV-BRC,2857060.5,Mycolicibacterium sp.,True,10
2857060.6,BV-BRC,2857060.6,Mycolicibacterium sp.,True,10
2903536.7,BV-BRC,2903536.7,Mycobacterium kiyosense,True,4
2973093.3,BV-BRC,2973093.3,Mycolicibacterium vanbaalenii PYR-1,True,4
2973594.3,BV-BRC,2973594.3,Mycolicibacterium vanbaalenii PYR-1,True,4
2978347.3,BV-BRC,2978347.3,Mycobacterium deserti,True,0
3023368.5,BV-BRC,3023368.5,Mycobacterium antarcticum,True,1
3023369.5,BV-BRC,3023369.5,Mycobacterium antarcticum,True,1
3023370.3,BV-BRC,3023370.3,Mycobacterium antarcticum,True,1
3023370.4,BV-BRC,3023370.4,Mycobacterium antarcticum,True,1
3023370.5,BV-BRC,3023370.5,Mycobacterium antarcticum,True,1
