seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000170	0.6638	0.3077	0.0285
GCA_001583545.1#1#LNAV01000102	0.5717	0.3233	0.1050
GCA_001583545.1#1#LNAV01000047	0.6574	0.3367	0.0059
GCA_001583545.1#1#LNAV01000168	0.5945	0.2416	0.1639
GCA_001583545.1#1#LNAV01000056	0.3894	0.5565	0.0541
GCA_001583545.1#1#LNAV01000042	0.2954	0.4989	0.2057
GCA_001583545.1#1#LNAV01000118	0.5733	0.4213	0.0054
GCA_001583545.1#1#LNAV01000095	0.4915	0.4500	0.0586
GCA_001583545.1#1#LNAV01000022	0.7319	0.2467	0.0214
GCA_001583545.1#1#LNAV01000091	0.5901	0.4009	0.0090
GCA_001583545.1#1#LNAV01000011	0.5918	0.3645	0.0436
GCA_001583545.1#1#LNAV01000072	0.4559	0.4514	0.0927
GCA_001583545.1#1#LNAV01000160	0.5231	0.2994	0.1774
GCA_001583545.1#1#LNAV01000092	0.6444	0.3453	0.0103
GCA_001583545.1#1#LNAV01000005	0.4921	0.4008	0.1071
GCA_001583545.1#1#LNAV01000019	0.4843	0.4948	0.0209
GCA_001583545.1#1#LNAV01000147	0.6214	0.3435	0.0351
GCA_001583545.1#1#LNAV01000133	0.4858	0.5041	0.0101
GCA_001583545.1#1#LNAV01000113	0.4078	0.4298	0.1624
GCA_001583545.1#1#LNAV01000140	0.4894	0.4155	0.0952
GCA_001583545.1#1#LNAV01000099	0.5609	0.4265	0.0126
GCA_001583545.1#1#LNAV01000058	0.5186	0.3988	0.0826
GCA_001583545.1#1#LNAV01000146	0.6522	0.3384	0.0094
GCA_001583545.1#1#LNAV01000037	0.4660	0.4619	0.0721
GCA_001583545.1#1#LNAV01000115	0.6059	0.3702	0.0239
GCA_001583545.1#1#LNAV01000083	0.4834	0.5030	0.0136
GCA_001583545.1#1#LNAV01000136	0.6963	0.3023	0.0014
GCA_001583545.1#1#LNAV01000030	0.6172	0.3715	0.0113
GCA_001583545.1#1#LNAV01000067	0.7256	0.2373	0.0370
GCA_001583545.1#1#LNAV01000024	0.2249	0.7176	0.0575
GCA_001583545.1#1#LNAV01000049	0.6132	0.3822	0.0045
GCA_001583545.1#1#LNAV01000125	0.5963	0.3936	0.0102
GCA_001583545.1#1#LNAV01000079	0.6678	0.3223	0.0099
GCA_001583545.1#1#LNAV01000068	0.4351	0.5329	0.0319
GCA_001583545.1#1#LNAV01000143	0.7107	0.2826	0.0067
GCA_001583545.1#1#LNAV01000076	0.7060	0.2599	0.0341
GCA_001583545.1#1#LNAV01000158	0.5249	0.4720	0.0031
GCA_001583545.1#1#LNAV01000050	0.5934	0.3939	0.0126
GCA_001583545.1#1#LNAV01000007	0.6671	0.3266	0.0063
GCA_001583545.1#1#LNAV01000053	0.6748	0.2334	0.0919
GCA_001583545.1#1#LNAV01000029	0.4978	0.4713	0.0310
GCA_001583545.1#1#LNAV01000016	0.3126	0.5147	0.1726
GCA_001583545.1#1#LNAV01000015	0.5197	0.3401	0.1402
GCA_001583545.1#1#LNAV01000051	0.5935	0.3843	0.0222
GCA_001583545.1#1#LNAV01000123	0.6403	0.3571	0.0026
GCA_001583545.1#1#LNAV01000028	0.6295	0.3363	0.0341
