cohort_order	accession	tip_id	eligible	contig_count	total_bases	n50	ambiguous_bases	content_sha256	sequence_only_sha256	bgzf_sha256	pansn_name_roundtrip	view_path	row_sha256
1	GCF_000005845.2	GCF_000005845.2	PASS	1	4641652	4641652	0	329fc1374b075caaf3c10cd1f158a7a810c78c443b628ab27b34a29689a04b47	e999dceccb76562d40e49a10d9e6d4cf1c05d184f4f80b92bb32d4a2420c11d0	29caafdd0a8f06088fd2ae1688d304f4dbd4d7e4cca5b544734c8be2d7698ca5	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000005845.2.fa	ee0fbc3e56fd418ca291366ebd82244b006af4786f6498da6e7817de1722bcd1
2	GCF_000812325.1	GCF_000812325.1	PASS	237	5205271	106398	0	a4b277f5c2c0dbf791bf8d3d080687d6a7da71e78e2feaeed6bdac4ed419ce2e	a67307653f61350c8fedc867d14815fb66b1ede0f4577092430083b6e0e188dc	04bd9d8bb7a275e90faef51d8f95f84d5dd77a9c75124aa34a002a0cf13a636c	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000812325.1.fa	ebda1775e89af50416426a96b4af475cb5b6700b43207a3f8bfabcdab2d2eaf1
3	GCF_002302315.1	GCF_002302315.1	PASS	3	5319464	5088339	0	0af323a469e24dde7f51a05b14d97b9530ceece0d67502bcbc908fabf8b82063	19d04e7707642f6b14799149beb84a1a25f7461ba3b019367211798a9e850043	d1d2dbb06812d9c698d097f8388b24cd358e475fb3966bebeb281e601559c249	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002302315.1.fa	4b6e85099382c6484bf8f61ed9faf8ddea6018499c6210879aa62f1ab536ab08
4	GCF_004664255.1	GCF_004664255.1	PASS	144	5096076	168844	0	b9123487adb927288a40a2458c2470b180b6f83fae5bbd91cbdb055b0fe21583	c352453433521658f4f1018c35e516b14e8927e8096ea55337cc327ad912752d	f8b058d388a91cd25ba6e222f93a225801ca50ac7367f5e3bac035baebffcdf3	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_004664255.1.fa	3a86bff4e418096fa53dbfb16e8042353434c533cf7f62f5079774555ede16c5
5	GCF_015644385.1	GCF_015644385.1	PASS	139	5121256	350741	0	afc7dd061ef9a7b32af86c53ec919878aad52c7d1a054e2f4d786b69dd0891c9	256a56231e133a6db2fbf3ce47252514af80dfe31d10d42264c02858f2a0f734	eda00ad6203fb814d8ad6f7d58cc2c8da9215b061ac67c47b8aaebdadb906572	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_015644385.1.fa	fda474a36d07d85d27ed2837d0fd7a6162ccb07bb7b3d129da3c40c34081e8aa
6	GCF_020829045.1	GCF_020829045.1	PASS	8	5182045	4861815	0	9b62d1dae67102a12229462640e679be1ea75556169257090e8fef4796c218b1	5bbdea5a7349f87d2e25ff89990b3a8862d0d72e7aa612d8a015e03baece9bae	cfd7f44fb88c8bc457f23d91602cf55526d8319cdcdedd422e2659b20016aacf	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_020829045.1.fa	fcdd43daeef1ebac715175b62960f4a0ead039745c8c67d0f428af7606ca1fd1
7	GCF_921380995.1	GCF_921380995.1	PASS	159	5232387	92087	0	3c54360898c1091a08842725306e119d83df6fe1f1abfa9657f6adbe49eb5774	3392bf291f8ef209be69df09177684bd762d3d635637c304de5fc4c853fab981	63eccca9fbdae27b72a22f488a632572ff0d7134a87fae8adc1b55f994563734	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_921380995.1.fa	5c48f346d5f3c51ceb723936a8a5aa3a16ddfef8617b8e1a8f0dc717d6c4ab67
8	GCF_000167895.3	GCF_000167895.3	PASS	265	5654428	92546	93	a5c7bab946e942a4e236ee16499b71086b3d5b744ef3a71e047f2ad1f0643626	42853936b44b5f769cd9800afa10ed850acb2ec980b441f208390fdf759833b6	c40b787b6cb6ca7ca44c7f90700b4dfc33094f1e2132f6071d5243aaa6911bb1	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000167895.3.fa	3c16513fd4f5b8d4c6c6fc60686320bf9b0341a468032cfcdf0618234a420bf6
9	GCF_001881595.4	GCF_001881595.4	PASS	111	4957459	205202	99	1261a8605c6f92ff878995160e4e4f39dcf627286f8ba16825575ef8fd6aa4c1	24eb59b0c1744e741e3e52df74e4741dcba5a64baa508d6c32276ecf574dcc93	19cd6d04bcc76fb646bc500edd1e9c5228ccc5bee09303f1c832510c2e8e9775	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001881595.4.fa	29d7b21697b57ba0c9a5ce4e8a274db5bd81aaaa702690b973231733b88f98ad
10	GCF_000498835.2	GCF_000498835.2	PASS	156	5321624	133228	0	f5248af708a4b557a42b3c9b6b20cf0a96eb5e0dac6e1ef8ce836d5426fba6e1	a5872264b458c7e164ade389015878955d9d1a733631482838169b8fa0f6fc8d	17b4a7bdde24087ca45de5548c7b82a7608db0a539cb309803b86671eb7750a5	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000498835.2.fa	9152c75e99f9aeb9beb0bb46b0af29b25ec94c656fd937f761e1a844650baa68
11	GCF_015548345.1	GCF_015548345.1	PASS	125	5111023	96849	600	2c882af1c83897648415905bc264c79a93d7596330163932295212b2fac9efbc	24f5241905961fd36efa0c2cba8f32fbc37b60b116ccef49b0bd51a30ced7394	9a0c35b1e6f11db4a44e197a27bf007f48f2cb1a7858fc5b5dbf3111c0a2b2ed	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_015548345.1.fa	61f9f65d793307d6a8d0d2379f28bd726700a87c19118676c6dcfc8d27ddd0d9
12	GCF_019926545.1	GCF_019926545.1	PASS	125	5016211	167838	0	8e88100eb3a073919d31d7c9d5e488edb01881bdba95404eefee56e9697f2abb	1b11dba72ebcdf9221fe45cc9ab15d4a41f5eae25aa38f2473a0e4da8e5afb3a	33e455e8b5824400682f5aba0e5c5f7ff728967bc7895bee86d36b3e2367bb1b	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_019926545.1.fa	538d2194e7b5505d1a6bc019aa15a39b46cae49491ace163369b16d021964a8b
13	GCF_001614385.1	GCF_001614385.1	PASS	381	4990338	25125	437	40afb30327d9ed33f3cc7027ce91b18a45fd4ea2e67668f80b4e9e396fb6a2c8	abe77fff7aa845461f6eed5e4bc3cc1bb7220f51f798f398dde1ccf819ae596e	ee318d85268f2875678a4910b9017d8ec359dacf17d0b6f3311b8d1d8f3196da	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001614385.1.fa	26073036026756169d74005a8421b310e65da23e49481f7ab85b94b6c9615451
14	GCF_015551035.1	GCF_015551035.1	PASS	42	4838272	309184	950	1a604c02cfd135f3ca1bf2775fba1da0120000666664d54ac435f1fd3f88f156	7c076cf9019d4dfb06e7dab94c2e979483610dda3931014ac29f96e39749eb95	01dfaae1f17f200585e493ee3baf774c5b2437169ae83093cf67427779c10570	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_015551035.1.fa	0f9e96db3dcff872c5c918e07977f9720a0964fde5c5383c51514fb0b0d9910d
15	GCF_021354235.1	GCF_021354235.1	PASS	335	4886206	40335	0	ae17628ff8aa76b3581cea64502ddd246dfee0fbb4ce32fe99b11c79fdce492b	30116801830c211ebb70766bea46c41295f0b2045e018007200de8087840f9fc	e5f73f5b3e2afd2494704f31a38a39b291ae764e5f697c9e6d3e78a1e902c009	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_021354235.1.fa	c058f7d1c430d127d72cca21a255caebda8396e9c23c4d8597344e2c67d10df5
16	GCF_002485085.1	GCF_002485085.1	PASS	198	5008266	89046	0	3c02df61f79fd6732315314a658944d03396ab51a58758e4169fc1b682b37799	270b33218727a66e4c0295cd6737d29ea59cdd3fe310edefd148608748b8df10	1ac2c32935299a74732132f7b9f0b23fb709006ffdfd7de6629cf28776bf660e	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002485085.1.fa	935aca8decb7ab5e47f293302182e9b0628eb099045cf8fe4f1a7ecd5340d6a4
17	GCF_014712315.1	GCF_014712315.1	PASS	129	5506996	268454	0	083804075af2efc3a7467fc51462abaab287c8b50ec29e2c99db65b1a9b48613	c0c729e33a23ef0690c3bdc69da8853f783176b67bdfe56fdf32594cdc7493da	87bb9a933cbb96ad99bb55dbcde46b888bd6e3d00fca9efd91ab81ddda780092	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014712315.1.fa	cbc4caf55099f1b7181fa3274fa7a7fdad06a1de98f3c3442c0e2d662e46b0c5
18	GCF_019120745.1	GCF_019120745.1	PASS	63	4682911	506757	0	b11affa6346d48aa7347c5ea91711a869f159566e0c72ecf7b69c23be0c8906b	ab66a5d935f9aa776fce4c1793d487cd7bf9f9362870224758c9f2de163636f9	57b42ba12424e51229c038b37f54c0be7936d251c06935f49b444313ef98a1ac	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_019120745.1.fa	ef4c47aec17867cbab72b78898148dc82093dce5cc9877a1018a550773a9cd5f
19	GCF_006350715.1	GCF_006350715.1	PASS	791	5336228	15186	11	2cba09a7d55672c5fb23ee2edc9117696d7cfb7d6aa39a70e8ffb2c0f98916bc	311ea0648a8e446f44e3cf7cc2bce3d0d8533486e564982d63c0f4577e3e30e5	17ef1c3f7cd2bd405849d9d177fd833ac69e5ec1b48e8410ee503752e7ae3124	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_006350715.1.fa	79a31bc64ec437885e7d65a44a6efc3f4aec260a5d8925b5db57c8c0cdc009af
20	GCF_002522525.1	GCF_002522525.1	PASS	108	4917698	148470	0	4083732d0ab0003ba9efe729c2b017acea4db41212aec91d1b9706acbcbe7fec	f50a2db1d42465a88fc45956264c2799facad145643f53aaa85a395767bdd663	73eda5055d9ec3f45377ea971f7c42789f63e3baba4d7c68e5af0a58e0b2f900	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002522525.1.fa	00121ab2bdbda1161c0e0e9566c1ae004663521aba54d705d64b6501401ab144
21	GCF_018790115.1	GCF_018790115.1	PASS	224	5191645	69729	0	78ee663ff5bcbc47ce45245d7b0c5a5190f3d964295472b913c49be99be606ff	90d46bde2af035fb7c6c59568c8c2f440311613ac41a3c4976244dec42e286a3	203f88ccc8f8f7c0cbf5ed6c8628851708ee5f2c7719c3fa0204c02c16986b19	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_018790115.1.fa	1fe402cc57c5b10be80345bc47f41d7610ee0db479927c93cd8a3574814c7132
22	GCF_002442365.1	GCF_002442365.1	PASS	114	4908468	112692	456	692d68ab7405d37289aef4a9a929f290066394f3c6c048ba57a53f19a90008c6	95e7b7eb8f83e6e0ec60d97dcc40708c3f40efc54f2cf1d7775df92c3cf3dc7d	0034d6641d91c40dc92f815a256ab8b72b0c9c24ad36d5965550755b425ff95c	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002442365.1.fa	3ee540ea96d3525e3cb470439b179f6d6714bdf5c5d14e3f15b0ed3836160fbf
23	GCF_005885955.1	GCF_005885955.1	PASS	2	5569576	5475399	0	690686964ef8ecd7fee779a305f40d1381fcd928bb1988d822527323d986d4f5	16fe6107ab049564da20d8ee011165f40461dfd7acf3ea037f43173f7d27a8fd	82b74bf5de59f53e29bca584abb1585b1b8a669df536c4f7f370ecfa182632b1	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005885955.1.fa	e7285d277ce6ae76ad6956fc7092299c90ae35f64dc682b2b10bbcc60d289531
24	GCF_002513075.1	GCF_002513075.1	PASS	117	4955553	147594	0	949f962e5a1b64b7c80f154c750562482aba65c4b06f46f6cc2f68ffa1440316	28f607557d46836983d8ff8f9e80f651c7e3838aba2ae5c2639f3a97fce6eac4	c6237ccafaf69d0207916fa1ab7f4a9646b03ac5dcd72dcfbbc9709879e26e67	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002513075.1.fa	cdf0d4fc6ae391f1cbbfefd24602ba98e4fa125567b88baea656d791b0a7eccd
