prophage_id	clade_id	community	host_accession	phylogroup
GCF_000778335.1_prophage_3	0_0000	0	GCF_000778335.1	B2
GCF_000456785.1_prophage_1	0_0000	0	GCF_000456785.1	B2
GCF_000488475.1_prophage_1	0_0000	0	GCF_000488475.1	B2
GCF_000779025.1_prophage_1	0_0000	0	GCF_000779025.1	B2
GCF_000456965.1_prophage_2	0_0000	0	GCF_000456965.1	B2
GCF_000711435.1_prophage_2	0_0000	0	GCF_000711435.1	B2
GCF_000711455.1_prophage_1	0_0000	0	GCF_000711455.1	B2
GCF_000713455.1_prophage_1	0_0000	0	GCF_000713455.1	B2
GCF_000713495.1_prophage_1	0_0000	0	GCF_000713495.1	B2
GCF_000777845.1_prophage_2	0_0000	0	GCF_000777845.1	B2
GCF_000777415.1_prophage_1	0_0000	0	GCF_000777415.1	B2
GCF_000164295.1_prophage_1	0_0000	0	GCF_000164295.1	B2
GCF_000326225.1_prophage_1	0_0000	0	GCF_000326225.1	B2
GCF_000461655.1_prophage_1	0_0000	0	GCF_000461655.1	B2
GCF_001562835.1_prophage_2	0_0000	0	GCF_001562835.1	B2
GCF_001520895.1_prophage_1	0_0000	0	GCF_001520895.1	B2
GCF_000713585.1_prophage_1	0_0000	0	GCF_000713585.1	B2
GCF_000456185.1_prophage_6	0_0000	0	GCF_000456185.1	B2
GCF_000460615.1_prophage_5	0_0000	0	GCF_000460615.1	B2
GCF_000507625.1_prophage_1	0_0000	0	GCF_000507625.1	B2
GCF_000978845.2_prophage_3	0_0000	0	GCF_000978845.2	E
GCF_000350845.1_prophage_2	0_0000	0	GCF_000350845.1	B2
GCF_000781355.1_prophage_2	0_0000	0	GCF_000781355.1	B2
GCF_000331615.1_prophage_2	0_0000	0	GCF_000331615.1	B2
GCF_000459755.1_prophage_1	0_0000	0	GCF_000459755.1	B2
GCF_000171935.1_prophage_19	0_0000	0	GCF_000171935.1	E
GCF_000703845.1_prophage_2	0_0000	0	GCF_000703845.1	A
GCF_000730345.1_prophage_15	0_0000	0	GCF_000730345.1	E
GCF_000181735.1_prophage_11	0_0000	0	GCF_000181735.1	E
GCF_000181775.1_prophage_16	0_0000	0	GCF_000181775.1	E
GCF_000021125.1_prophage_16	0_0000	0	GCF_000021125.1	E
GCF_000022225.1_prophage_16	0_0000	0	GCF_000022225.1	E
GCF_000181755.1_prophage_16	0_0000	0	GCF_000181755.1	E
GCF_001558995.2_prophage_2	0_0000	0	GCF_001558995.2	E
GCF_000171915.1_prophage_17	0_0000	0	GCF_000171915.1	E
GCF_000171955.1_prophage_14	0_0000	0	GCF_000171955.1	E
GCF_000704585.1_prophage_3	0_0000	0	GCF_000704585.1	A
GCF_000259695.1_prophage_1	0_0000	0	GCF_000259695.1	B2
GCF_000351305.1_prophage_1	0_0000	0	GCF_000351305.1	B2
GCF_000778095.1_prophage_1	0_0000	0	GCF_000778095.1	B2
GCF_001520215.1_prophage_1	0_0000	0	GCF_001520215.1	B2
GCF_000779255.1_prophage_3	0_0000	0	GCF_000779255.1	B2
GCF_000780775.1_prophage_1	0_0000	0	GCF_000780775.1	B2
GCF_000781175.1_prophage_1	0_0000	0	GCF_000781175.1	B2
GCF_000458765.1_prophage_1	0_0000	0	GCF_000458765.1	B2
GCF_000777605.1_prophage_4	0_0000	0	GCF_000777605.1	B2
GCF_000164535.1_prophage_2	0_0000	0	GCF_000164535.1	B2
GCF_000459515.1_prophage_3	0_0000	0	GCF_000459515.1	B2
GCF_000778075.1_prophage_2	0_0000	0	GCF_000778075.1	B2
GCF_000776455.1_prophage_2	0_0000	0	GCF_000776455.1	B2
GCF_000777835.1_prophage_1	0_0000	0	GCF_000777835.1	B2
GCF_000777895.1_prophage_1	0_0000	0	GCF_000777895.1	B2
GCF_000778415.1_prophage_2	0_0000	0	GCF_000778415.1	B2
GCF_000779125.1_prophage_1	0_0000	0	GCF_000779125.1	B2
GCF_000779545.1_prophage_1	0_0000	0	GCF_000779545.1	B2
GCF_000780195.1_prophage_3	0_0000	0	GCF_000780195.1	B2
GCF_000803705.1_prophage_15	0_0000	0	GCF_000803705.1	E
GCF_001519645.1_prophage_3	0_0000	0	GCF_001519645.1	B2
GCF_000164435.1_prophage_2	0_0000	0	GCF_000164435.1	B2
GCF_000777435.1_prophage_3	0_0000	0	GCF_000777435.1	B2
GCF_000779795.1_prophage_2	0_0000	0	GCF_000779795.1	B2
GCF_000459615.1_prophage_1	0_0000	0	GCF_000459615.1	B2
GCF_000352385.1_prophage_3	0_0000	0	GCF_000352385.1	B2
GCF_000457325.1_prophage_2	0_0000	0	GCF_000457325.1	B2
GCF_000780675.1_prophage_1	0_0000	0	GCF_000780675.1	B2
GCF_000351205.1_prophage_2	0_0000	0	GCF_000351205.1	B2
GCF_000460215.1_prophage_2	0_0000	0	GCF_000460215.1	B2
GCF_000461275.1_prophage_1	0_0000	0	GCF_000461275.1	B2
GCF_000460535.1_prophage_3	0_0000	0	GCF_000460535.1	B2
GCF_000460955.1_prophage_2	0_0000	0	GCF_000460955.1	B2
GCF_000350865.1_prophage_2	0_0000	0	GCF_000350865.1	B2
