selection_rank	clade_id	genome_id	tier	n_members	n_partitions	length_bp	release_flags	functional_qc_flag	medoid_member	member_reps	source_accessions	traversal_verified	selection_basis
1	0_0014	clade_0_0014_ML	A	100	2395	102563		ok	GCF_000776235.1_prophage_4	GCF_000776235.1_prophage_4;GCF_000155125.1_prophage_7	GCF_000155125.1;GCF_000776235.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
2	0_0051	clade_0_0051_ML	A	5	175	68856		ok	GCF_000692395.1_prophage_4	GCF_000692395.1_prophage_4;GCF_000503395.1_prophage_3	GCF_000503395.1;GCF_000692395.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
3	0_0052	clade_0_0052_ML	A	72	949	68376		ok	GCF_000622535.2_prophage_3	GCF_000622535.2_prophage_3;GCF_000691085.1_prophage_5	GCF_000622535.2;GCF_000691085.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
4	0_0059	clade_0_0059_ML	A	6	55	32436		ok	GCF_000503395.1_prophage_1	GCF_000503395.1_prophage_1;GCF_001265315.1_prophage_7	GCF_000503395.1;GCF_001265315.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
5	0_0071	clade_0_0071_ML	A	2	52	26291		ok	GCF_000780535.1_prophage_2	GCF_000780535.1_prophage_2;GCF_000780555.1_prophage_1	GCF_000780535.1;GCF_000780555.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
6	0_0091	clade_0_0091_ML	A	4	83	41044		ok	GCF_000597845.1_prophage_4	GCF_000597845.1_prophage_4;GCF_000987535.1_prophage_2	GCF_000597845.1;GCF_000987535.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
7	0_0094	clade_0_0094_ML	A	2	69	30416		ok	GCF_000164235.1_prophage_3	GCF_000164235.1_prophage_3;GCF_001309485.1_prophage_9	GCF_000164235.1;GCF_001309485.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
8	10_0038	clade_10_0038_ML	A	8	181	52104		ok	GCF_001265465.1_prophage_1	GCF_001265465.1_prophage_1;GCF_000268205.1_prophage_5	GCF_000268205.1;GCF_001265465.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
9	10_0044	clade_10_0044_ML	A	3	71	37488		ok	GCF_000618185.1_prophage_3	GCF_000618185.1_prophage_3;GCF_000617485.2_prophage_2	GCF_000617485.2;GCF_000618185.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
10	10_0057	clade_10_0057_ML	A	2	52	26452		ok	GCF_000157115.2_prophage_2	GCF_000157115.2_prophage_2;GCF_001420055.1_prophage_4	GCF_000157115.2;GCF_001420055.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
11	10_0070	clade_10_0070_ML	A	2	104	55002		ok	GCF_000781915.1_prophage_1	GCF_000781915.1_prophage_1;GCF_001562335.1_prophage_1	GCF_000781915.1;GCF_001562335.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
12	10_0151	clade_10_0151_ML	A	38	396	60479		ok	GCF_000781355.1_prophage_3	GCF_000781355.1_prophage_3;GCF_000617085.1_prophage_11	GCF_000617085.1;GCF_000781355.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
13	10_0172	clade_10_0172_ML	A	3	83	44050		ok	GCF_000713235.1_prophage_5	GCF_000713235.1_prophage_5;GCF_000703345.1_prophage_1	GCF_000703345.1;GCF_000713235.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
14	10_0178	clade_10_0178_ML	A	6	124	62058		ok	GCF_000752815.1_prophage_7	GCF_000752815.1_prophage_7;GCF_000615265.1_prophage_7	GCF_000615265.1;GCF_000752815.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
15	1_0004	clade_1_0004_ML	A	100	1438	84238		ok	GCF_000778335.1_prophage_2	GCF_000778335.1_prophage_2;GCF_000215145.1_prophage_2	GCF_000215145.1;GCF_000778335.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
16	1_0022	clade_1_0022_ML	A	6	113	43137		ok	GCF_001062415.1_prophage_3	GCF_001062415.1_prophage_3;GCF_001055155.1_prophage_1	GCF_001055155.1;GCF_001062415.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
17	1_0026	clade_1_0026_ML	A	26	147	51736		ok	GCF_001285125.1_prophage_8	GCF_001285125.1_prophage_8;GCF_000696835.1_prophage_8	GCF_000696835.1;GCF_001285125.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
18	1_0032	clade_1_0032_ML	A	3	113	51860		ok	GCF_000936455.1_prophage_6	GCF_000936455.1_prophage_6;GCF_000304135.2_prophage_5	GCF_000304135.2;GCF_000936455.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
19	0_0000	clade_0_0000_ML	B	100	2401	106696		host_genes	GCF_000460615.1_prophage_5	GCF_000460615.1_prophage_5;GCF_000730345.1_prophage_15	GCF_000460615.1;GCF_000730345.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
20	0_0046	clade_0_0046_ML	B	64	989	67176		host_genes	GCF_000354455.1_prophage_5	GCF_000354455.1_prophage_5;GCF_000488675.1_prophage_3	GCF_000354455.1;GCF_000488675.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
21	0_0054	clade_0_0054_ML	B	29	318	66064		host_genes	GCF_000408745.1_prophage_6	GCF_000408745.1_prophage_6;GCF_000026545.1_prophage_4	GCF_000026545.1;GCF_000408745.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
22	0_0067	clade_0_0067_ML	B	4	95	46334		host_genes	GCF_000408365.1_prophage_6	GCF_000408365.1_prophage_6;GCF_001268505.1_prophage_1	GCF_000408365.1;GCF_001268505.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
23	0_0068	clade_0_0068_ML	B	2	80	45005		host_genes	GCF_000753115.1_prophage_3	GCF_000753115.1_prophage_3;GCF_000936475.1_prophage_8	GCF_000753115.1;GCF_000936475.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
24	10_0002	clade_10_0002_ML	B	100	2806	155150		host_genes	GCF_000692595.1_prophage_4	GCF_000692595.1_prophage_4;GCF_000457655.1_prophage_7	GCF_000457655.1;GCF_000692595.1	yes	greedy_farthest_point_prophage_mash_space_host_blind
