cohort_order	assembly_id	accession	tip_id	biological_host_unit	exact_sequence_class	near_duplicate_class	representative_tip	representative_distance	placement_status	frozen_clade_id	clade_evidence	nearest_neighbor_tips	nearest_neighbor_distance	sampling_partition_k16	sampling_medoid_tip	row_sha256
1	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	GCF_000005845.2	exact_assembly_revision:GCF_000005845.2	EX0001	ND0001	GCF_001544635.1	2.38113e-06	SUPPORTED_FIXED	HC006	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002966145.1,GCF_001544635.1	2.38113e-06	L003	GCF_013391275.1	9aa7401a9348331a7f60d64392cee5906d2f2874337bc68666458ac7d6b31e3b
2	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	GCF_000812325.1	exact_assembly_revision:GCF_000812325.1	EX0002	ND0002	GCF_000812325.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_003318595.1	0.00516121	L013	GCF_900481955.1	0a3f9667a1cf36bf9bfd704345e9a3f04b7e72893624395e2e29199d79c31ab3
3	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	GCF_002302315.1	exact_assembly_revision:GCF_002302315.1	EX0003	ND0003	GCF_002302315.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003956205.1	0.000434439	L003	GCF_013391275.1	375c01f1721f43e9e6f5d7cda3452eea0e68ef0d36e27f2d5b7bdf70a460a06a
4	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	GCF_004664255.1	exact_assembly_revision:GCF_004664255.1	EX0004	ND0004	GCF_004664255.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_019585745.1	0.00272848	L003	GCF_013391275.1	7b602497181089c8795a475e37deb3049d65446f7797b605f96b69fb5e765676
5	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	GCF_015644385.1	exact_assembly_revision:GCF_015644385.1	EX0005	ND0005	GCF_015644385.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001900635.1	0.0021647	L003	GCF_013391275.1	c873900efdea8ad4c6d4b2243ff8c63ea2856bef163038541c7e206f48532c42
6	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	GCF_020829045.1	exact_assembly_revision:GCF_020829045.1	EX0006	ND0006	GCF_020829045.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_015693755.1	0.0018097	L003	GCF_013391275.1	884ac281225337311f66a963249098d7a8ba5a50e11398f046acb5537a2c36dc
7	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	GCF_921380995.1	exact_assembly_revision:GCF_921380995.1	EX0007	ND0007	GCF_921380995.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_900015375.1	0.000898569	L008	GCF_002806795.1	a2bcdf4e737354db5ee4c97d755539d73f45a4fe871b27ab73de310167b66406
8	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	GCF_000167895.3	exact_assembly_revision:GCF_000167895.3	EX0008	ND0008	GCF_000167895.3	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002542395.1	0.00296902	L003	GCF_013391275.1	dd6937d207b39e2bf963a4c9c779df7eeb333f5b9d2e2707a65ed6b384292b13
9	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	GCF_001881595.4	exact_assembly_revision:GCF_001881595.4	EX0009	ND0009	GCF_001881595.4	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002469155.1	0.008818	L003	GCF_013391275.1	7bf4f9775c24efb3a9f04e15245f5476e04eaf6b9f6d03077bffb7487647194a
10	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	GCF_000498835.2	exact_assembly_revision:GCF_000498835.2	EX0010	ND0010	GCF_000498835.2	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_017896545.1	0.00251625	L004	GCF_015163255.1	08eeb1f0499ca18b529aa954c7ce3855bda5be729f4d6b9db494f5f131c8829d
