seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000170	0.9869	0.0123	0.0007
GCA_001583545.1#1#LNAV01000102	0.3412	0.6050	0.0539
GCA_001583545.1#1#LNAV01000047	0.9924	0.0069	0.0008
GCA_001583545.1#1#LNAV01000168	0.7447	0.2455	0.0098
GCA_001583545.1#1#LNAV01000056	0.5859	0.2700	0.1442
GCA_001583545.1#1#LNAV01000042	0.0921	0.9054	0.0025
GCA_001583545.1#1#LNAV01000118	0.9768	0.0225	0.0007
GCA_001583545.1#1#LNAV01000095	0.5829	0.2681	0.1489
GCA_001583545.1#1#LNAV01000022	0.8232	0.1651	0.0117
GCA_001583545.1#1#LNAV01000091	0.9841	0.0148	0.0011
GCA_001583545.1#1#LNAV01000011	0.9770	0.0222	0.0008
GCA_001583545.1#1#LNAV01000072	0.1445	0.6939	0.1616
GCA_001583545.1#1#LNAV01000160	0.0105	0.9735	0.0159
GCA_001583545.1#1#LNAV01000092	0.9877	0.0115	0.0007
GCA_001583545.1#1#LNAV01000005	0.5002	0.1118	0.3880
GCA_001583545.1#1#LNAV01000019	0.7734	0.2150	0.0116
GCA_001583545.1#1#LNAV01000147	0.8454	0.1529	0.0017
GCA_001583545.1#1#LNAV01000133	0.9957	0.0026	0.0017
GCA_001583545.1#1#LNAV01000113	0.0262	0.9725	0.0014
GCA_001583545.1#1#LNAV01000140	0.9862	0.0131	0.0007
GCA_001583545.1#1#LNAV01000099	0.9190	0.0790	0.0019
GCA_001583545.1#1#LNAV01000058	0.5575	0.1664	0.2761
GCA_001583545.1#1#LNAV01000146	0.9947	0.0047	0.0006
GCA_001583545.1#1#LNAV01000037	0.4416	0.5553	0.0031
GCA_001583545.1#1#LNAV01000115	0.9957	0.0037	0.0005
GCA_001583545.1#1#LNAV01000083	0.0536	0.9445	0.0019
GCA_001583545.1#1#LNAV01000136	0.5010	0.4940	0.0049
GCA_001583545.1#1#LNAV01000030	0.9843	0.0147	0.0010
GCA_001583545.1#1#LNAV01000067	0.5839	0.1822	0.2339
GCA_001583545.1#1#LNAV01000024	0.4245	0.5710	0.0045
GCA_001583545.1#1#LNAV01000049	0.9681	0.0307	0.0013
GCA_001583545.1#1#LNAV01000125	0.0943	0.9034	0.0022
GCA_001583545.1#1#LNAV01000079	0.9918	0.0074	0.0009
GCA_001583545.1#1#LNAV01000068	0.4414	0.5555	0.0031
GCA_001583545.1#1#LNAV01000143	0.5896	0.4074	0.0031
GCA_001583545.1#1#LNAV01000076	0.5567	0.1487	0.2946
GCA_001583545.1#1#LNAV01000158	0.4942	0.5029	0.0030
GCA_001583545.1#1#LNAV01000050	0.6765	0.3210	0.0025
GCA_001583545.1#1#LNAV01000007	0.9939	0.0057	0.0004
GCA_001583545.1#1#LNAV01000053	0.5763	0.2709	0.1528
GCA_001583545.1#1#LNAV01000029	0.7701	0.2272	0.0026
GCA_001583545.1#1#LNAV01000016	0.7052	0.2666	0.0282
GCA_001583545.1#1#LNAV01000015	0.9920	0.0074	0.0006
GCA_001583545.1#1#LNAV01000051	0.6495	0.3451	0.0054
GCA_001583545.1#1#LNAV01000123	0.9945	0.0051	0.0004
GCA_001583545.1#1#LNAV01000028	0.8371	0.1594	0.0035
GCA_001583545.1#1#LNAV01000111	0.9872	0.0121	0.0007
GCA_001583545.1#1#LNAV01000166	0.9747	0.0219	0.0034
GCA_001583545.1#1#LNAV01000064	0.9861	0.0130	0.0009
GCA_001583545.1#1#LNAV01000112	0.9638	0.0351	0.0012
GCA_001583545.1#1#LNAV01000070	0.7410	0.2560	0.0030
GCA_001583545.1#1#LNAV01000126	0.9889	0.0074	0.0037
GCA_001583545.1#1#LNAV01000135	0.9094	0.0549	0.0358
GCA_001583545.1#1#LNAV01000167	0.8264	0.1482	0.0254
GCA_001583545.1#1#LNAV01000062	0.9179	0.0663	0.0158
GCA_001583545.1#1#LNAV01000090	0.9940	0.0055	0.0004
GCA_001583545.1#1#LNAV01000071	0.9785	0.0058	0.0157
GCA_001583545.1#1#LNAV01000001	0.9229	0.0752	0.0019
GCA_001583545.1#1#LNAV01000161	0.4607	0.5350	0.0043
GCA_001583545.1#1#LNAV01000078	0.8778	0.1100	0.0122
GCA_001583545.1#1#LNAV01000159	0.5401	0.4565	0.0034
GCA_001583545.1#1#LNAV01000134	0.9295	0.0679	0.0026
GCA_001583545.1#1#LNAV01000073	0.5165	0.1086	0.3749
GCA_001583545.1#1#LNAV01000145	0.9942	0.0039	0.0019
GCA_001583545.1#1#LNAV01000156	0.7472	0.2194	0.0334
GCA_001583545.1#1#LNAV01000081	0.4961	0.4958	0.0080
GCA_001583545.1#1#LNAV01000154	0.7581	0.2386	0.0034
GCA_001583545.1#1#LNAV01000077	0.6909	0.1405	0.1686
GCA_001583545.1#1#LNAV01000093	0.5402	0.1078	0.3520
GCA_001583545.1#1#LNAV01000152	0.5047	0.2434	0.2519
GCA_001583545.1#1#LNAV01000065	0.6726	0.1865	0.1408
GCA_001583545.1#1#LNAV01000043	0.9195	0.0765	0.0039
GCA_001583545.1#1#LNAV01000129	0.9618	0.0355	0.0027
GCA_001583545.1#1#LNAV01000108	0.0550	0.5077	0.4373
GCA_001583545.1#1#LNAV01000018	0.9046	0.0870	0.0085
GCA_001583545.1#1#LNAV01000119	0.6643	0.1075	0.2282
GCA_001583545.1#1#LNAV01000131	0.8800	0.1083	0.0117
GCA_001583545.1#1#LNAV01000151	0.7130	0.1535	0.1335
GCA_001583545.1#1#LNAV01000055	0.9238	0.0490	0.0272
GCA_001583545.1#1#LNAV01000128	0.9309	0.0383	0.0308
GCA_001583545.1#1#LNAV01000021	0.9296	0.0458	0.0246
GCA_001583545.1#1#LNAV01000163	0.9928	0.0065	0.0007
GCA_001583545.1#1#LNAV01000088	0.9936	0.0053	0.0011
