seq_name	n_genes_with_taxonomy	agreement	taxid	lineage
GCA_000239035.2#1#AHAS01000020	9	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000019	2	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000018	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000017	67	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000016	35	0.9693	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000015	6	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000014	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000013	13	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000011	9	0.9244	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000010	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000008	8	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000007	13	0.8429	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000006	16	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000005	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000004	18	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000003	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_000239035.2#1#AHAS01000001	1	1.0000	18026	Viruses;Monodnaviria;;;;;
