clade_id	community	n_members	status	length_bp	gc_content	max_n_run	completeness	n_members_aligned	identity_median	identity_min	identity_max	flags
clade_0_0055_ML	clade	0	ml	5604	0.4609	0		0				too_short
clade_0_0060_ML	clade	0	ml	6153	0.4601	0		0				too_short
clade_0_0062_ML	clade	0	ml	4963	0.439	0		0				too_short
clade_0_0065_ML	clade	0	ml	36077	0.5001	1975		0				long_n_run
clade_0_0066_ML	clade	0	ml	8400	0.4196	0		0				too_short
clade_0_0069_ML	clade	0	ml	8113	0.5658	0		0				too_short
clade_0_0070_ML	clade	0	ml	1414	0.3925	100		0				too_short,long_n_run
clade_0_0073_ML	clade	0	ml	6502	0.4556	0		0				too_short
clade_0_0074_ML	clade	0	ml	9829	0.4495	0		0				too_short
clade_0_0079_ML	clade	0	ml	39239	0.4989	1560		0				long_n_run
clade_0_0083_ML	clade	0	ml	4658	0.4667	0		0				too_short
clade_0_0088_ML	clade	0	ml	6202	0.4332	0		0				too_short
clade_0_0097_ML	clade	0	ml	5830	0.4237	0		0				too_short
clade_0_0099_ML	clade	0	ml	224496	0.4977	0		0				too_long
clade_10_0003_ML	clade	0	ml	234329	0.5144	0		0				too_long
clade_10_0013_ML	clade	0	ml	255419	0.5068	0		0				too_long
clade_10_0016_ML	clade	0	ml	232886	0.5162	0		0				too_long
clade_10_0041_ML	clade	0	ml	3353	0.4888	0		0				too_short
clade_10_0043_ML	clade	0	ml	377	0.4775	0		0				too_short
clade_10_0048_ML	clade	0	ml	3414	0.4341	0		0				too_short
clade_10_0051_ML	clade	0	ml	6494	0.4875	0		0				too_short
clade_10_0053_ML	clade	0	ml	1104	0.4402	0		0				too_short
clade_10_0054_ML	clade	0	ml	6315	0.4187	0		0				too_short
clade_10_0056_ML	clade	0	ml	228332	0.4736	0		0				too_long
clade_10_0058_ML	clade	0	ml	5202	0.4604	0		0				too_short
clade_10_0059_ML	clade	0	ml	5275	0.483	0		0				too_short
clade_10_0064_ML	clade	0	ml	9781	0.5162	10		0				too_short
clade_10_0069_ML	clade	0	ml	4047	0.1483	2400		0				too_short,long_n_run
clade_10_0071_ML	clade	0	ml	9877	0.4608	0		0				too_short
clade_10_0108_ML	clade	0	ml	29098	0.547	100		0				long_n_run
clade_10_0113_ML	clade	0	ml	23260	0.4738	246		0				long_n_run
clade_10_0115_ML	clade	0	ml	8893	0.4802	0		0				too_short
clade_10_0124_ML	clade	0	ml	8124	0.4782	0		0				too_short
clade_10_0125_ML	clade	0	ml	7107	0.3454	1400		0				too_short,long_n_run
clade_10_0134_ML	clade	0	ml	4699	0.4541	0		0				too_short
clade_10_0136_ML	clade	0	ml	6426	0.5584	0		0				too_short
clade_10_0137_ML	clade	0	ml	43016	0.4943	990		0				long_n_run
clade_10_0138_ML	clade	0	ml	5346	0.5385	0		0				too_short
clade_10_0162_ML	clade	0	ml	23859	0.4736	262		0				long_n_run
clade_10_0184_ML	clade	0	ml	7738	0.48	0		0				too_short
clade_1_0018_ML	clade	0	ml	9891	0.4926	0		0				too_short
clade_1_0020_ML	clade	0	ml	6452	0.463	0		0				too_short
clade_1_0024_ML	clade	0	ml	2382	0.4782	0		0				too_short
clade_1_0028_ML	clade	0	ml	1068	0.4616	0		0				too_short
clade_1_0029_ML	clade	0	ml	7264	0.4426	0		0				too_short
clade_1_0034_ML	clade	0	ml	3129	0.4206	70		0				too_short
clade_1_0042_ML	clade	0	ml	5206	0.4962	0		0				too_short
clade_1_0043_ML	clade	0	ml	7734	0.4369	0		0				too_short
clade_2_0016_ML	clade	0	ml	7152	0.5611	0		0				too_short
clade_2_0021_ML	clade	0	ml	4015	0.5646	0		0				too_short
clade_2_0035_ML	clade	0	ml	8261	0.4052	0		0				too_short
clade_2_0037_ML	clade	0	ml	890	0.436	10		0				too_short
clade_2_0038_ML	clade	0	ml	4321	0.4754	0		0				too_short
clade_2_0041_ML	clade	0	ml	5835	0.5124	0		0				too_short
clade_2_0042_ML	clade	0	ml	4047	0.5562	0		0				too_short
clade_2_0045_ML	clade	0	ml	7959	0.4948	0		0				too_short
clade_2_0047_ML	clade	0	ml	31538	0.4936	1910		0				long_n_run
clade_2_0053_ML	clade	0	ml	3581	0.4381	0		0				too_short
clade_2_0067_ML	clade	0	ml	764	0.4699	0		0				too_short
clade_2_0068_ML	clade	0	ml	2749	0.3896	0		0				too_short
clade_2_0072_ML	clade	0	ml	7310	0.4155	0		0				too_short
