bait_id	role	bait_class	clade_id	tier	module	length_bp	seq_sha256	source
NTMBAIT_0_0000_INTERIOR_MODULE_02	ntm_bait	interior_module	0_0000	A_strong_candidate	tail_tape_measure	1200	47f0ab667b375279d4c46a3547d8dc6848fdfc8c40e07f05c4b4c79fb38946ec	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0006_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0006	A_strong_candidate	portal	1200	b2b6ae1bc520eafcc02ad9562588d1bdb7de2a3b3a62c2ecfa82fe07bbc6836b	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0019_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0019	A_strong_candidate	capsid	1200	23d67c5a9032414687217b8a752c42f811a95e2d86740217ee44674f7a31fadf	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0023_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0023	A_strong_candidate	terminase	1200	789f09d682625719f6522d68d55024f3cba66cea2a386ae4d20e1f966aed0999	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0038_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0038	A_strong_candidate	portal	1200	2285acb8b75b9e6da81819a4f7d0367975441fc06bf03917ef0f0cb90fd1c036	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0049_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0049	A_strong_candidate	portal	1200	29e3eb8a9c2796d8456bc69dc8cf5d2bd2c425e3731a500592d2ad6d3c4305d9	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0063_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0063	A_strong_candidate	terminase	1200	a4bfdee269490d7e57f07981f6038b2a01038c213e9ff31cb2cce52fa969f45b	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0066_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0066	A_strong_candidate	terminase	1200	164895259f31b95b155250fbac34bd2d2bf1d2c55b8e2978af606e4c2d12386e	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0073_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0073	A_strong_candidate	portal	1200	1cbc4daee591536f2877455ac87a32cc84575150a48a784440f5085047d35101	ntm/v2/bait/panel/baits.fa
NTMBAIT_0_0077_INTERIOR_MODULE_01	ntm_bait	interior_module	0_0077	A_strong_candidate	terminase	1200	a5ed10e4f168a6d32cbbc6def63d435befe5779c0da2621069581ba6b68b8265	ntm/v2/bait/panel/baits.fa
