genome_id	n_seqs	seq_accessions	total_bp	local_match	plan
1138383.42	1	CP118870	5510556	GCA_045780085.1	link_v1v2
117567.18	4	CAXUTK010000003,CAXUTK010000004,CAXUTK010000002,CAXUTK010000001	6138747		download_bvbrc
1185650.1176	1	CP119724	4921095	GCA_030463595.1	link_v1v2
1185650.1307	4	AP028615,AP028616,AP028613,AP028614	5442421	GCA_041154555.1	link_v1v2
1185650.1308	4	AP028618,AP028617,AP028619,AP028620	5441615	GCA_041154565.1	link_v1v2
1185650.1309	4	AP028624,AP028623,AP028622,AP028621	5442593	GCA_041154575.1	link_v1v2
1185650.1310	4	AP028628,AP028627,AP028625,AP028626	5442622	GCA_041154585.1	link_v1v2
1185650.1311	4	AP028631,AP028630,AP028632,AP028629	5447685	GCA_041154595.1	link_v1v2
1185650.1312	1	CP125773	5108957	GCA_046529355.1	link_v1v2
1185650.1313	1	CP125774	4898733	GCA_046529365.1	link_v1v2
1185650.1314	1	CP125775	4881725	GCA_046529375.1	link_v1v2
1185650.1315	2	CP125776,CP125777	5155639	GCA_046529385.1	link_v1v2
1185650.1316	2	CP125778,CP125779	5182394	GCA_046529395.1	link_v1v2
1185650.1318	22	JBLLSM010000002,JBLLSM010000014,JBLLSM010000016,JBLLSM010000020,JBLLSM010000004,JBLLSM010000006,JBLLSM010000008,JBLLSM010000005,JBLLSM010000022,JBLLSM010000012,JBLLSM010000019,JBLLSM010000003,JBLLSM010000009,JBLLSM010000018,JBLLSM010000007,JBLLSM010000011,JBLLSM010000013,JBLLSM010000001,JBLLSM010000010,JBLLSM010000015,JBLLSM010000017,JBLLSM010000021	4975409	GCA_047738035.1	link_v1v2
1185650.1320	22	JBLLSO010000019,JBLLSO010000011,JBLLSO010000015,JBLLSO010000022,JBLLSO010000004,JBLLSO010000016,JBLLSO010000018,JBLLSO010000007,JBLLSO010000008,JBLLSO010000009,JBLLSO010000003,JBLLSO010000012,JBLLSO010000017,JBLLSO010000002,JBLLSO010000005,JBLLSO010000010,JBLLSO010000013,JBLLSO010000001,JBLLSO010000006,JBLLSO010000014,JBLLSO010000020,JBLLSO010000021	5000251	GCA_047738075.1	link_v1v2
1185650.1321	22	JBLLSN010000020,JBLLSN010000013,JBLLSN010000011,JBLLSN010000021,JBLLSN010000014,JBLLSN010000007,JBLLSN010000010,JBLLSN010000012,JBLLSN010000003,JBLLSN010000017,JBLLSN010000004,JBLLSN010000008,JBLLSN010000001,JBLLSN010000002,JBLLSN010000006,JBLLSN010000009,JBLLSN010000015,JBLLSN010000019,JBLLSN010000005,JBLLSN010000016,JBLLSN010000018,JBLLSN010000022	4999959	GCA_047738055.1	link_v1v2
1185650.1322	5	JBLLSP010000003,JBLLSP010000002,JBLLSP010000001,JBLLSP010000004,JBLLSP010000005	5075320	GCA_047738095.1	link_v1v2
1185650.1323	4	JBLLSQ010000004,JBLLSQ010000003,JBLLSQ010000001,JBLLSQ010000002	5050706	GCA_047738105.1	link_v1v2
