metric	value	detail
manifest_rows	36940	unified v3 prophage manifest (BV-BRC ∪ V2)
manifest_rows_bvbrc	36321	caller=phigaro (2026-09-09 export)
manifest_rows_v2	619	caller=v2-collab (genomes absent from export)
coords_csv_rows	47994	ntm_qc_passed_phigaro_coordinates_20260909.csv
stub_rows	22225	empty prophage_id rows in CSV
stub_rows_dup_dropped	5927	exact (genome,scaffold,begin,end) duplicate of a named row
stub_rows_kept_synthesized	16298	only representation; pid = <scaffold>_prophage<N>
unique_prophages_after_stub_dedup	42067	42,067 expected
export_internal_multi_genome_groups	2218	assemblies with >1 export genome/object (GCA/GCF twins, BV-BRC taxid variants)
export_internal_twin_assembly_groups	1870	assemblies held as both GCA_ and GCF_ canonical objects
export_internal_superseded_genomes	2252	export genomes dropped (one kept per assembly, GCA-preferred v2 convention)
export_internal_superseded_rows	5746	prophage rows on superseded export genomes
v2_rows_kept_total	619	v2 genomes absent from export (536 NCBI + 83 runs)
v2_superseded_numeric_rows	7966	v2 rows whose genome is in the export (phigaro primary)
v2_superseded_run_rows	14658	v2 run rows whose run is in the export (phigaro primary)
extractable_rows	9446	genome local on NVMe
extracted_records	9446	FASTA records written == extractable − errors
extraction_errors	0	target 0
blocked_run_rows	27494	ERR/SRR/DRR pending collaborator delivery; none dropped
v2_run_rows_in_union	14741	14658 via export phigaro + 83 source=V2
distinct_objects_read	3994	v3/genomes/canonical_objects
total_bp	206284318	sum of extracted prophage lengths
len_min	237	
len_median	18276	
len_mean	21838	
len_max	93713	
length_equals_end_minus_begin_plus_1	36940	holds for all manifest rows (asserted)
begin_zero_rows_extracted	16	extracted as [1,end]; extracted = length - 1 (documented off-by-one)
out_of_range_rows	91	outside [1000,100000] bp; flagged, kept
end_beyond_contig_rows	0	target 0
spot_check_genomes	10	10/10 PASS (seed 42, independent faidx re-query)
fasta_sha256	5adfd2aee6e1e03d109a49a3b1fbba837a21649851fc39ee9c9ff07217f0480c	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v3/full_prophages.fa
fasta_records	9446	== extracted_records
fasta_single_source_per_genome	36940	no genome carries calls from two callers (asserted at build)
