schema_version	record_status	record_type	record_id	parent_record_id	project_release_id	provenance_run_id	source_task_id	input_source_file	input_source_sha256	input_line_number	input_raw_line_b64	input_occurrence_id	normalized_accession	duplicate_group	resolution_status	requested_assembly_accession_version	resolved_assembly_accession_base	assembly_version	resolved_assembly_accession_version	paired_assembly_accession_version	assembly_status	supersedes_assembly_accession_version	assembly_id	biosample_accession	strain_raw_b64	isolate_raw_b64	analysis_unit_id	sample_independence_status	representative_assembly_id	assembly_qc_status	assembly_qc_reason	source_url	acquired_at_utc	source_etag	source_last_modified	source_blob_relpath	source_blob_bytes	source_blob_sha256	source_decompressed_sha256	source_gff_relpath	source_gff_sha256	pansn_policy_version	sample_id_basis	pansn_sample	haplotype_basis	pansn_haplotype	source_fasta_header_b64	source_fasta_id_token_b64	source_contig_id_display	source_contig_accession	source_contig_version	source_contig_accession_version	genbank_contig_accession_version	refseq_contig_accession_version	assembly_report_sequence_name	contig_id_encoding	pansn_contig	pansn_sequence_name	fasta_seqid	replicon_role	plasmid_name_raw_b64	topology	contig_length	contig_sequence_sha256	canonical_bgzf_relpath	canonical_bgzf_bytes	canonical_fasta_content_sha256	canonical_bgzf_sha256	fai_relpath	fai_bytes	fai_sha256	gzi_relpath	gzi_bytes	gzi_sha256	complete_marker_relpath	object_state	source_gff_row	source_gff_seqid_lexical_b64	source_gff_seqid_decoded	canonical_gff_seqid_lexical	canonical_gff_seqid_decoded	prophage_source_file	prophage_source_sha256	prophage_source_row	prophage_id_raw_b64	prophage_genome_key_raw_b64	prophage_contig_key_raw_b64	prophage_composite_locus_key_sha256	prophage_locus_id	transposable_raw	taxonomy_raw_b64	all_scope_member	flag_positive_scope_member	taxonomy_assigned_scope_member	source_coordinate_convention	source_begin_raw	source_begin_integer	source_end_raw	source_end_integer	source_strand_raw	coordinate_policy_version	canonical_coordinate_convention	canonical_start_0based	canonical_end_0based_exclusive	canonical_intervals_0based_halfopen_json	canonical_strand	wraps_origin	touches_left_boundary	touches_right_boundary	edge_status	locus_callability	extraction_id	extraction_fasta_record_id	extraction_orientation_policy	extraction_sequence_length	extraction_sequence_sha256	exact_source_sequence_verified	host_tip_id	host_tree_release_id	host_representative_id	host_placement_status	host_clade_release_id	host_clade_id	host_clade_membership_status	impg_release_id	impg_backend	impg_prefix_relpath	impg_sample_id	impg_path_id	impg_node_walk	impg_node_id_scope	query_evidence_id	query_result_partition_id	cluster_release_id	cluster_id	cluster_unit_id	cluster_unit_type	cluster_membership_status	cluster_representative_id	cluster_graph_release_id	cluster_graph_relpath	matrix_release_id	matrix_analysis_unit_id	matrix_cluster_id	matrix_call_state	matrix_copy_count	matrix_callability_reason	matrix_evidence_ids	software_name	software_version	executable_or_container_sha256	command_or_config_sha256	random_seed	threads	attempt_id	retry_count	started_at_utc	completed_at_utc	artifact_state	provenance_json_b64	row_sha256
project-manifest-v1	EXAMPLE	INPUT_OCCURRENCE	EXAMPLE_INPUT_0001	.	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	EXAMPLE_accessions.txt	EXAMPLE_INPUT_SHA256	1	RVhBTVBMRV9BU01fQV92MQ==	EXAMPLE_INPUT_OCCURRENCE_0001	EXAMPLE_ASM_A_v1	.	EXAMPLE_SYNTHETIC_RESOLVED	EXAMPLE_ASM_A_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	ASSEMBLY	EXAMPLE_ASSEMBLY_0001	EXAMPLE_INPUT_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	EXAMPLE_SYNTHETIC_RESOLVED	EXAMPLE_ASM_A_v1	EXAMPLE_ASM_A	v1	EXAMPLE_ASM_A_v1	.	EXAMPLE_SYNTHETIC	.	EXAMPLE_ASM_A_v1	.	.	.	EXAMPLE_HOST_A	EXAMPLE_PRIMARY	EXAMPLE_ASM_A_v1	EXAMPLE_PASS_NOT_BIOLOGICAL	.	EXAMPLE_URI_NOT_RETRIEVABLE	.	.	.	EXAMPLE/objects/assembly/source.fa	EXAMPLE_BYTES	EXAMPLE_SOURCE_BLOB_SHA256	EXAMPLE_SOURCE_DECOMPRESSED_SHA256	EXAMPLE/annotations/source.gff3.gz	EXAMPLE_GFF_SHA256	pansn-bgzip-policy-v1	EXAMPLE_SYNTHETIC_ASSEMBLY_ID	EXAMPLE_ASM_A_v1	EXAMPLE_NOMINALLY_HAPLOID	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE/objects/EXAMPLE_ASM_A_v1/EXAMPLE_ASM_A_v1.pansn.fa.gz	EXAMPLE_BYTES	EXAMPLE_CANONICAL_CONTENT_SHA256	EXAMPLE_BGZF_SHA256	EXAMPLE/objects/EXAMPLE_ASM_A_v1/EXAMPLE_ASM_A_v1.pansn.fa.gz.fai	EXAMPLE_BYTES	EXAMPLE_FAI_SHA256	EXAMPLE/objects/EXAMPLE_ASM_A_v1/EXAMPLE_ASM_A_v1.pansn.fa.gz.gzi	EXAMPLE_BYTES	EXAMPLE_GZI_SHA256	EXAMPLE/objects/EXAMPLE_ASM_A_v1/COMPLETE	EXAMPLE_COMPLETE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	CONTIG	EXAMPLE_CONTIG_0001	EXAMPLE_ASSEMBLY_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pansn-bgzip-policy-v1	.	EXAMPLE_ASM_A_v1	.	1	RVhBTVBMRV9DT05USUdfdjE=	RVhBTVBMRV9DT05USUdfdjE=	EXAMPLE_CONTIG_v1	.	.	EXAMPLE_CONTIG_v1	.	.	.	IDENTITY_EXAMPLE	EXAMPLE_CONTIG_v1	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	EXAMPLE_CHROMOSOME	.	EXAMPLE_LINEAR	EXAMPLE_LENGTH	EXAMPLE_CONTIG_SEQUENCE_SHA256	EXAMPLE/objects/EXAMPLE_ASM_A_v1/EXAMPLE_ASM_A_v1.pansn.fa.gz	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1%231%23EXAMPLE_CONTIG_v1	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	PROPHAGE_LOCUS	EXAMPLE_LOCUS_RECORD_0001	EXAMPLE_CONTIG_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_prophages.csv	EXAMPLE_PROPHAGE_SOURCE_SHA256	2	RVhBTVBMRV9QUk9QSEFHRV8x	RVhBTVBMRV9BU01fQV92MQ==	RVhBTVBMRV9DT05USUdfdjE=	EXAMPLE_COMPOSITE_LOCUS_SHA256	EXAMPLE_PROPHAGE_LOCUS_0001	EXAMPLE_1.0	RVhBTVBMRV9UQVhPTk9NWQ==	EXAMPLE_TRUE	EXAMPLE_TRUE	EXAMPLE_TRUE	EXAMPLE_1BASED_CLOSED_FOR_SCHEMA_ONLY	EXAMPLE_101.0	EXAMPLE_101	EXAMPLE_200.0	EXAMPLE_200	EXAMPLE_PLUS	EXAMPLE_COORD_POLICY_V1	0BASED_HALFOPEN	EXAMPLE_100	EXAMPLE_200	"[[""EXAMPLE_100"",""EXAMPLE_200""]]"	EXAMPLE_PLUS	EXAMPLE_FALSE	EXAMPLE_FALSE	EXAMPLE_FALSE	EXAMPLE_INTERNAL	EXAMPLE_CALLABLE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	EXTRACTION	EXAMPLE_EXTRACTION_RECORD_0001	EXAMPLE_LOCUS_RECORD_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1#1#EXAMPLE_CONTIG_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_PROPHAGE_LOCUS_0001	.	.	.	.	.	.	.	.	.	.	.	.	0BASED_HALFOPEN	.	.	"[[""EXAMPLE_100"",""EXAMPLE_200""]]"	EXAMPLE_PLUS	.	.	.	.	.	EXAMPLE_EXTRACTION_0001	EXAMPLE_EXTRACTION_0001	EXAMPLE_ORIENTED_PLUS	EXAMPLE_100	EXAMPLE_EXTRACTION_SEQUENCE_SHA256	EXAMPLE_TRUE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	HOST_MEMBERSHIP	EXAMPLE_HOST_MEMBERSHIP_0001	EXAMPLE_ASSEMBLY_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	.	.	.	EXAMPLE_HOST_A	.	EXAMPLE_ASM_A_v1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ASM_A_v1	EXAMPLE_HOST_TREE_RELEASE	EXAMPLE_ASM_A_v1	EXAMPLE_CONFIDENT	EXAMPLE_HOST_CLADE_RELEASE	EXAMPLE_HOST_CLADE_A	EXAMPLE_LOCKED	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	IMPG_RELEASE	EXAMPLE_IMPG_RELEASE_RECORD	.	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_IMPG_RELEASE	EXAMPLE_SYNG	EXAMPLE/index/whole_cohort.syng	.	.	.	EXAMPLE_RELEASE_LOCAL_NOT_CANONICAL	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	impg	EXAMPLE_0.4.1	EXAMPLE_IMPG_BINARY_SHA256	EXAMPLE_COMMAND_SHA256	EXAMPLE_7	EXAMPLE_THREADS	EXAMPLE_ATTEMPT_1	EXAMPLE_0	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	CLUSTER	EXAMPLE_CLUSTER_RECORD_0001	.	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_CLUSTER_RELEASE	EXAMPLE_CLUSTER_0001	EXAMPLE_CLUSTER_0001	EXAMPLE_PROTEIN_DOMAIN_MODULE_OR_ELEMENT	EXAMPLE_FROZEN	EXAMPLE_EXTRACTION_0001	EXAMPLE_OPTIONAL_GRAPH_RELEASE	EXAMPLE/graphs/cluster_0001.gfa	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	CLUSTER_MEMBER	EXAMPLE_CLUSTER_MEMBER_0001	EXAMPLE_CLUSTER_RECORD_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_EXTRACTION_0001	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_QUERY_EVIDENCE_0001	EXAMPLE_QUERY_PARTITION_0001	EXAMPLE_CLUSTER_RELEASE	EXAMPLE_CLUSTER_0001	EXAMPLE_EXTRACTION_0001	EXAMPLE_ELEMENT	EXAMPLE_MEMBER	EXAMPLE_EXTRACTION_0001	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
project-manifest-v1	EXAMPLE	MATRIX_CELL	EXAMPLE_MATRIX_CELL_0001	EXAMPLE_CLUSTER_RECORD_0001	EXAMPLE_PROJECT_RELEASE	EXAMPLE_RUN	EXAMPLE_ONLY	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_HOST_A	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	EXAMPLE_CLUSTER_RELEASE	EXAMPLE_CLUSTER_0001	.	.	.	.	.	.	EXAMPLE_MATRIX_RELEASE	EXAMPLE_HOST_A	EXAMPLE_CLUSTER_0001	EXAMPLE_PRESENT	EXAMPLE_1	EXAMPLE_CALLABLE_VALIDATED	"[""EXAMPLE_EXTRACTION_0001"",""EXAMPLE_QUERY_EVIDENCE_0001""]"	.	.	.	.	.	.	.	.	.	.	EXAMPLE_ONLY_NOT_PRODUCTION	.	EXAMPLE_ROW_SHA256_NOT_A_PRODUCTION_DIGEST
