bait_id	bait_class	clade_id	genome_id	member_prophage_id	contig	start	end	length_bp	n_kmers_total	n_ambiguous	n_low_complexity	n_host_like	n_host_like_raw	n_internal_dup	n_usable_kmers	seq_sha256	status	reason
ECBAIT_0_0000_JUNCTION_03	junction	0_0000	clade_0_0000_ML		clade_0_0000_ML	99725	100724	1000	970	0	0	0	942	0		6fccd6c7d0db3de7bb56f36e04c911da411f5a91bfae1ac7861ffd4e8ece1819	rejected	dominated_nonphage_markers
ECBAIT_0_0014_JUNCTION_03	junction	0_0014	clade_0_0014_ML		clade_0_0014_ML	91955	92954	1000	970	0	0	0	911	0		3058a28956df67653ed264fc576406115ad4e5ba6229d76d6e3dbb62e7ce5c8b	rejected	dominated_nonphage_markers
ECBAIT_0_0046_JUNCTION_03	junction	0_0046	clade_0_0046_ML		clade_0_0046_ML	48122	49121	1000	970	0	0	0	941	0		08cd83590abf0cb9f2155122fabb7fbb249dd1354b0ff72c5d7ed139af967a0d	rejected	dominated_nonphage_markers
ECBAIT_0_0051_JUNCTION_01	junction	0_0051	clade_0_0051_ML		clade_0_0051_ML	1125	2124	1000	970	0	0	0	762	0		e05595145a75b8791083e6a258788bb97421b4bad04a8ee49d5351bbca7b16ae	rejected	dominated_nonphage_markers
ECBAIT_0_0051_JUNCTION_03	junction	0_0051	clade_0_0051_ML		clade_0_0051_ML	1101	2100	1000	970	0	0	0	740	0		bf586dc0f2076aba625bdeca327884dc0e6e1ac977a513b9435654be4b35d37b	rejected	dominated_nonphage_markers
ECBAIT_0_0052_JUNCTION_02	junction	0_0052	clade_0_0052_ML		clade_0_0052_ML	59581	60580	1000	970	0	0	0	867	0		3af3030ec19e4fabe735e6037f3ae97c3551a0bc9e581c5042ea9c7575015423	rejected	dominated_nonphage_markers
ECBAIT_0_0067_JUNCTION_03	junction	0_0067	clade_0_0067_ML		clade_0_0067_ML	4756	5755	1000	970	0	0	0	703	0	970	e95e1a6e0c88597c2dcb2cbf1ef0e02c9204a7cca8d56e0ff10dbc4305643d12	rejected	cross_bait_kmer_dup:0.823
ECBAIT_10_0038_JUNCTION_02	junction	10_0038	clade_10_0038_ML		clade_10_0038_ML	9846	10845	1000	970	0	75	0	884	0	895	a3be02898b71f3826f6d64f3a73e08088145e45bed764427f7297d56bc37b572	rejected	cross_bait_kmer_dup:0.976
ECBAIT_10_0057_JUNCTION_01	junction	10_0057	clade_10_0057_ML		clade_10_0057_ML	9896	10895	1000	970	0	0	0	940	0	970	fa6c31f0194815b064465f83d2c4296d35a8187c291ae57c953ffd235d0a8d8c	rejected	cross_bait_kmer_dup:0.887
ECBAIT_10_0057_JUNCTION_02	junction	10_0057	clade_10_0057_ML		clade_10_0057_ML	501	1500	1000	970	0	0	0	940	0		007d32777b71ece16e93ead4fd35952bd83dad188e210861963f720ade4ec679	rejected	dominated_nonphage_markers
