genome_id	source	clade_id	length	gc_perc	cds_density	gene_count	truncated_genes	terminase	portal	capsid	tail	integrase	lysis	n_key_proteins	has_head_packaging	has_tail_cat	has_lysis_cat	has_integration_cat	hypothetical	hypothetical_frac	checkv_miuvig	completeness_pct	contamination	viral_genes	host_genes	flag
ecoli_ml|clade_0_0000_ML	ecoli_ml	clade_0_0000_ML	106696	0.49	73.75	208	1	1	1	1	1	1	1	6	1	1	1	1	126	0.606	High-quality	100.0	0.0	122	9	host_genes
ecoli_ml|clade_0_0001_ML	ecoli_ml	clade_0_0001_ML	166012	0.49	74.31	312	0	1	1	1	1	1	1	6	1	1	1	1	190	0.609	High-quality	100.0	0.0	179	18	host_genes
ecoli_ml|clade_0_0002_ML	ecoli_ml	clade_0_0002_ML	102688	0.49	65.4	172	2	1	1	1	1	1	1	6	1	1	1	1	93	0.541	High-quality	97.28	0.0	89	10	host_genes
ecoli_ml|clade_0_0003_ML	ecoli_ml	clade_0_0003_ML	97059	0.5	70.92	193	1	1	1	1	1	1	1	6	1	1	1	1	110	0.57	High-quality	100.0	0.0	107	8	host_genes
ecoli_ml|clade_0_0004_ML	ecoli_ml	clade_0_0004_ML	107441	0.49	73.53	215	2	1	0	1	1	1	1	5	1	1	1	1	104	0.484	High-quality	100.0	0.86	112	15	contamination;host_genes
ecoli_ml|clade_0_0005_ML	ecoli_ml	clade_0_0005_ML	100656	0.47	64.03	186	1	1	0	1	1	1	1	5	1	1	1	1	119	0.64	High-quality	100.0	0.0	101	10	host_genes
ecoli_ml|clade_0_0006_ML	ecoli_ml	clade_0_0006_ML	131268	0.48	67.86	261	2	1	1	1	1	1	1	6	1	1	1	1	155	0.594	High-quality	99.46	0.0	142	5	host_genes
ecoli_ml|clade_0_0007_ML	ecoli_ml	clade_0_0007_ML	91877	0.49	69.31	170	0	1	1	1	1	0	1	5	1	1	1	0	98	0.576	High-quality	100.0	0.0	86	2	host_genes
ecoli_ml|clade_0_0008_ML	ecoli_ml	clade_0_0008_ML	102392	0.48	71.66	207	1	1	1	1	1	1	1	6	1	1	1	1	111	0.536	High-quality	98.57	0.0	110	9	host_genes
ecoli_ml|clade_0_0009_ML	ecoli_ml	clade_0_0009_ML	85632	0.49	73.38	164	1	1	1	1	1	1	1	6	1	1	1	1	89	0.543	High-quality	96.38	0.0	88	2	host_genes
ecoli_ml|clade_0_0010_ML	ecoli_ml	clade_0_0010_ML	187603	0.5	67.78	318	1	1	1	1	1	1	1	6	1	1	1	1	165	0.519	High-quality	100.0	0.0	177	19	host_genes
ecoli_ml|clade_0_0011_ML	ecoli_ml	clade_0_0011_ML	112348	0.48	69.09	211	1	1	1	1	1	1	1	6	1	1	1	1	105	0.498	High-quality	98.13	0.0	153	1	host_genes
ecoli_ml|clade_0_0012_ML	ecoli_ml	clade_0_0012_ML	109563	0.5	66.95	198	2	1	1	1	1	1	1	6	1	1	1	1	118	0.596	High-quality	98.24	0.0	96	6	host_genes
ecoli_ml|clade_0_0013_ML	ecoli_ml	clade_0_0013_ML	120718	0.5	67.56	204	1	1	1	1	1	1	1	6	1	1	1	1	111	0.544	High-quality	100.0	0.0	105	12	host_genes
ecoli_ml|clade_0_0014_ML	ecoli_ml	clade_0_0014_ML	102563	0.47	68.5	188	1	1	1	1	1	1	1	6	1	1	1	1	106	0.564	High-quality	100.0	0.0	128	0	ok
ecoli_ml|clade_0_0015_ML	ecoli_ml	clade_0_0015_ML	135769	0.49	67.9	251	1	1	1	1	1	1	1	6	1	1	1	1	134	0.534	High-quality	100.0	0.0	133	10	host_genes
ecoli_ml|clade_0_0016_ML	ecoli_ml	clade_0_0016_ML	95049	0.48	69.29	182	1	1	1	1	1	1	1	6	1	1	1	1	96	0.527	High-quality	100.0	0.0	86	7	host_genes
ecoli_ml|clade_0_0017_ML	ecoli_ml	clade_0_0017_ML	108038	0.48	65.4	204	1	1	0	1	1	1	1	5	1	1	1	1	108	0.529	High-quality	100.0	0.0	122	0	ok
ecoli_ml|clade_0_0018_ML	ecoli_ml	clade_0_0018_ML	103939	0.48	66.44	183	0	1	1	1	1	1	1	6	1	1	1	1	105	0.574	High-quality	100.0	0.0	81	6	host_genes
ecoli_ml|clade_0_0019_ML	ecoli_ml	clade_0_0019_ML	108633	0.48	69.99	202	1	1	1	1	1	1	1	6	1	1	1	1	102	0.505	High-quality	100.0	0.0	92	22	host_genes
ecoli_ml|clade_0_0020_ML	ecoli_ml	clade_0_0020_ML	112150	0.49	69.86	203	2	1	1	1	1	1	1	6	1	1	1	1	112	0.552	High-quality	100.0	0.0	95	11	host_genes
ecoli_ml|clade_0_0021_ML	ecoli_ml	clade_0_0021_ML	90608	0.48	64.62	160	1	1	0	1	1	1	1	5	1	1	1	1	91	0.569	High-quality	96.8	0.0	100	6	host_genes
ecoli_ml|clade_0_0022_ML	ecoli_ml	clade_0_0022_ML	131316	0.48	70.98	253	2	1	1	1	1	1	1	6	1	1	1	1	153	0.605	High-quality	98.11	0.0	97	14	host_genes
