ecor_strain,assembly_accession,gca_accession,wgs_master,prophage_id,source_contig,start,end,length,transposable,taxonomy
ECOR-1,GCF_003334405.1,GCA_003334405.1,QOWM00000000.1,GCF_003334405.1_prophage_2,NZ_QOWM01000003.1,381778,401459,19682,1.0,Siphoviridae / Podoviridae
ECOR-1,GCF_003334405.1,GCA_003334405.1,QOWM00000000.1,GCF_003334405.1_prophage_3,NZ_QOWM01000008.1,143383,162523,19141,0.0,Podoviridae
ECOR-1,GCF_003334405.1,GCA_003334405.1,QOWM00000000.1,GCF_003334405.1_prophage_1,NZ_QOWM01000012.1,3,25828,25826,0.0,Unknown
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_1,NZ_QOWN01000017.1,94476,101986,7511,0.0,Unknown
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_2,NZ_QOWN01000022.1,61665,77339,15675,0.0,Siphoviridae / Podoviridae / Bicaudaviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_3,NZ_QOWN01000031.1,37223,52310,15088,0.0,Myoviridae / Podoviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_4,NZ_QOWN01000035.1,36297,41074,4778,0.0,Podoviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_5,NZ_QOWN01000037.1,261,16793,16533,0.0,Unknown
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_6,NZ_QOWN01000045.1,2752,8560,5809,0.0,Myoviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_7,NZ_QOWN01000048.1,12039,33203,21165,0.0,Podoviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_8,NZ_QOWN01000053.1,1505,27063,25559,0.0,Podoviridae
ECOR-2,GCF_003334385.1,GCA_003334385.1,QOWN00000000.1,GCF_003334385.1_prophage_9,NZ_QOWN01000060.1,2669,20074,17406,0.0,Siphoviridae
ECOR-3,GCF_003334815.1,GCA_003334815.1,QOWO00000000.1,GCF_003334815.1_prophage_1,NZ_QOWO01000016.1,14191,53335,39145,0.0,Myoviridae
ECOR-3,GCF_003334815.1,GCA_003334815.1,QOWO00000000.1,GCF_003334815.1_prophage_2,NZ_QOWO01000041.1,2528,7156,4629,0.0,Podoviridae
ECOR-3,GCF_003334815.1,GCA_003334815.1,QOWO00000000.1,GCF_003334815.1_prophage_3,NZ_QOWO01000045.1,182,14966,14785,0.0,Unknown
ECOR-4,GCF_003334355.1,GCA_003334355.1,QOWP00000000.1,GCF_003334355.1_prophage_2,NZ_QOWP01000002.1,268401,300938,32538,0.0,Podoviridae
ECOR-4,GCF_003334355.1,GCA_003334355.1,QOWP00000000.1,GCF_003334355.1_prophage_1,NZ_QOWP01000017.1,1,19499,19499,0.0,Myoviridae
ECOR-5,GCF_003334335.1,GCA_003334335.1,QOWQ00000000.1,GCF_003334335.1_prophage_2,NZ_QOWQ01000003.1,1198,6165,4968,0.0,Siphoviridae
ECOR-5,GCF_003334335.1,GCA_003334335.1,QOWQ00000000.1,GCF_003334335.1_prophage_1,NZ_QOWQ01000025.1,12845,47952,35108,0.0,Myoviridae
ECOR-5,GCF_003334335.1,GCA_003334335.1,QOWQ00000000.1,GCF_003334335.1_prophage_3,NZ_QOWQ01000042.1,1085,22629,21545,0.0,Siphoviridae / Podoviridae
ECOR-5,GCF_003334335.1,GCA_003334335.1,QOWQ00000000.1,GCF_003334335.1_prophage_4,NZ_QOWQ01000045.1,2178,21694,19517,0.0,Podoviridae
ECOR-5,GCF_003334335.1,GCA_003334335.1,QOWQ00000000.1,GCF_003334335.1_prophage_5,NZ_QOWQ01000048.1,416,3469,3054,0.0,Podoviridae
ECOR-6,GCF_003334315.1,GCA_003334315.1,QOWR00000000.1,GCF_003334315.1_prophage_1,NZ_QOWR01000018.1,34465,75488,41024,0.0,Siphoviridae
ECOR-6,GCF_003334315.1,GCA_003334315.1,QOWR00000000.1,GCF_003334315.1_prophage_2,NZ_QOWR01000033.1,12256,49381,37126,0.0,Myoviridae
ECOR-7,GCF_003334305.1,GCA_003334305.1,QOWS00000000.1,GCF_003334305.1_prophage_1,NZ_QOWS01000001.1,258386,291892,33507,0.0,Myoviridae
ECOR-7,GCF_003334305.1,GCA_003334305.1,QOWS00000000.1,GCF_003334305.1_prophage_2,NZ_QOWS01000021.1,11178,55024,43847,0.0,Siphoviridae
ECOR-7,GCF_003334305.1,GCA_003334305.1,QOWS00000000.1,GCF_003334305.1_prophage_3,NZ_QOWS01000033.1,1071,9521,8451,0.0,Myoviridae
ECOR-8,GCF_003334765.1,GCA_003334765.1,QOWT00000000.1,GCF_003334765.1_prophage_3,NZ_QOWT01000002.1,389015,404543,15529,0.0,Podoviridae
ECOR-8,GCF_003334765.1,GCA_003334765.1,QOWT00000000.1,GCF_003334765.1_prophage_1,NZ_QOWT01000022.1,1920,16824,14905,0.0,Myoviridae
