tip_id	nearest_distance	nearest_tips	tie_count
GCF_000005845.2	2.38113e-06	GCF_002966145.1,GCF_001544635.1	2
GCF_000812325.1	0.00516121	GCF_003318595.1	1
GCF_002302315.1	0.000434439	GCF_003956205.1	1
GCF_004664255.1	0.00272848	GCF_019585745.1	1
GCF_015644385.1	0.0021647	GCF_001900635.1	1
GCF_020829045.1	0.0018097	GCF_015693755.1	1
GCF_921380995.1	0.000898569	GCF_900015375.1	1
GCF_000167895.3	0.00296902	GCF_002542395.1	1
GCF_001881595.4	0.008818	GCF_002469155.1	1
GCF_000498835.2	0.00251625	GCF_017896545.1	1
GCF_015548345.1	0.00458956	GCF_900481955.1	1
GCF_019926545.1	0.00294054	GCF_003686895.1	1
GCF_001614385.1	0.00462085	GCF_004664255.1	1
GCF_015551035.1	0.00227651	GCF_000326185.1	1
GCF_021354235.1	0.000153116	GCF_021353995.1	1
GCF_002485085.1	0.00689587	GCF_020023255.1	1
GCF_014712315.1	0.00347214	GCF_001561835.1	1
GCF_019120745.1	0.00594915	GCF_003009315.1	1
GCF_006350715.1	0.00105035	GCF_002327045.1	1
GCF_002522525.1	0.00480339	GCF_002511355.1	1
GCF_018790115.1	0.00497183	GCF_013374315.1	1
GCF_002442365.1	0.0021484	GCF_002796445.1	1
GCF_005885955.1	0.000141101	GCF_000462425.2	1
GCF_002513075.1	0.00475916	GCF_002225785.1	1
GCF_902810185.1	0.00338142	GCF_002232595.1	1
GCF_005043025.1	0.000735726	GCF_001263015.1	1
GCF_017595115.1	0.00440918	GCF_002154285.1	1
GCF_014528625.1	0.000941429	GCF_014529055.1	1
GCF_008041205.1	0.00154832	GCF_000459475.1	1
GCF_009820795.1	0.008818	GCF_019120745.1	1
GCF_900479385.1	0.00535911	GCF_001749385.1	1
GCF_004767475.1	0.00434123	GCF_020023255.1	1
GCF_002519245.1	0.00478126	GCF_000446825.2	1
GCF_015644305.1	0.00402957	GCF_005397685.1	1
GCF_001616285.1	0.00286956	GCF_015163255.1	1
GCF_001614645.1	0.00615579	GCF_905330295.1	1
GCF_013370625.1	0.00650307	GCF_020731765.1	1
GCF_013608825.1	0.00388479	GCF_013608265.1	1
GCF_005043625.1	0.00231761	GCF_004661505.1	1
GCF_902163565.1	0.00178311	GCF_005397685.1	1
GCF_006351505.1	0.000720777	GCF_006351305.1	1
GCF_005039315.1	0.00594242	GCF_900482245.1	1
GCF_005384385.1	0.00171947	GCF_005383085.1	1
GCF_016530465.1	0.00166662	GCF_002166175.1	1
GCF_002152015.1	0.0039842	GCF_005508755.1	1
GCF_018344735.1	0.00615239	GCF_009794305.1	1
GCF_002513625.1	0.00506466	GCF_002631495.1	1
GCF_002229025.1	0.0116796	GCF_002109645.1	1
GCF_000778685.1	0.00121381	GCF_002166175.1	1
GCF_020037245.1	0.00812554	GCF_001617075.1	1
GCF_003731035.1	0.000783157	GCF_003731535.1	1
GCF_000326585.1	0.0039299	GCF_018069725.1	1
GCF_000780535.1	0.00258299	GCF_014895175.1	1
GCF_003570445.1	0.00255237	GCF_016760895.1	1
GCF_000447005.2	0.00446186	GCF_001286545.1	1
GCF_013073765.1	0.00467416	GCF_000714105.1	1
GCF_005041275.1	0.00136337	GCF_005043025.1	1
GCF_014862465.1	0.00343111	GCF_014862705.1	1
GCF_900195795.1	0.00805386	GCF_017594025.1	1
GCF_014878375.1	0.00108596	GCF_004566835.1	1
GCF_921293415.1	0.0033377	GCF_000753155.1	1
GCF_006229985.1	0.000559703	GCF_006230745.1	1
GCF_005045505.1	0.00107832	GCF_002144185.1	1
GCF_001660345.1	0.000795662	GCF_000703265.1	1
GCF_020162695.1	0.0019272	GCF_000332755.1	1
GCF_003981675.1	0.0011856	GCF_003983415.1	1
GCF_905330275.1	0.00592895	GCF_000692515.1	1
GCF_001617565.1	0.0017778	GCF_006542965.1	1
GCF_003983415.1	0.0011856	GCF_003981675.1	1
GCF_009899475.1	0.00751546	GCF_013073585.1	1
GCF_002511115.1	0.00275379	GCF_013391275.1	1
GCF_001521595.1	0.00160079	GCF_004522495.1	1
GCF_019351215.1	0.00342526	GCF_002270225.1	1
GCF_020731765.1	0.0056617	GCF_003469495.1	1
GCF_001577325.1	0.00133749	GCF_000457285.1	1
GCF_000777675.1	0.00401746	GCF_003388915.1	1
GCF_002109645.1	0.00930564	GCF_000777065.1	1
