seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
GCA_000239035.2#1#AHAS01000022	1	0	0	0	11	0.0000	0.8891	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_000239035.2#1#AHAS01000021	2	0	0	0	11	0.0000	0.9634	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_000239035.2#1#AHAS01000020	227	4	1	2	11	0.3496	0.9087	0.2026	0.0000	0.7974	0.0000	0.0661	0.2643	0.0264	0.0573	0.0044	0.0132	0.0132	0.0088	0.0264	0.3568	0.0749	0.0485	0.6670	0.6618	0.0000	0.0000	0.0000	0.0000	0.0000	2.4817	-57.4099	-241.4006
GCA_000239035.2#1#AHAS01000019	63	0	0	0	11	0.3548	0.9241	0.2222	0.0000	0.7778	0.0000	0.0635	0.2381	0.0000	0.0952	0.0000	0.0000	0.0000	0.0000	0.0317	0.3016	0.0952	0.0317	0.6650	0.6631	0.0000	0.0000	0.0000	0.1607	0.0000	-0.4254	-7.0019	-67.7118
GCA_000239035.2#1#AHAS01000018	346	1	1	1	11	0.3420	0.9145	0.2139	0.0000	0.7861	0.0000	0.0202	0.3728	0.0000	0.0983	0.0116	0.0000	0.0058	0.0029	0.0058	0.3931	0.1098	0.0145	0.6583	0.7523	0.0000	0.0000	0.0000	0.9350	0.0029	-14.1582	-3.9970	-506.8220
GCA_000239035.2#1#AHAS01000017	91	0	0	10	11	0.0667	0.9398	0.2088	0.0000	0.7912	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	0.0110	0.1538	0.5604	0.0000	0.0110	0.7253	0.0000	0.0000	1.0000	1.0000	1.0000	0.9586	0.0000	-128.7357	-107.8930	100.2841
GCA_000239035.2#1#AHAS01000016	933	35	1	1	11	0.3433	0.9195	0.2294	0.0000	0.7706	0.0000	0.0825	0.3119	0.0236	0.0482	0.0043	0.0011	0.0118	0.0021	0.0129	0.4180	0.0536	0.0268	0.7626	0.6209	0.0000	0.0000	0.0000	0.0000	0.0011	143.1194	-266.0760	-1141.9575
GCA_000239035.2#1#AHAS01000015	212	6	0	0	11	0.3839	0.9367	0.3066	0.0000	0.6934	0.0000	0.0660	0.3160	0.0377	0.0943	0.0047	0.0000	0.0142	0.0000	0.0094	0.4198	0.0991	0.0236	0.7451	0.6529	0.0000	0.0000	0.0000	0.0000	0.0000	23.9390	-53.8127	-288.1629
GCA_000239035.2#1#AHAS01000014	66	1	0	0	11	0.3385	0.9258	0.2424	0.0000	0.7576	0.0000	0.0455	0.3788	0.0303	0.1061	0.0000	0.0000	0.0152	0.0000	0.0000	0.4545	0.1061	0.0152	0.6636	0.7466	0.0000	0.0000	0.0000	0.0199	0.0000	5.4146	-12.9032	-102.4562
GCA_000239035.2#1#AHAS01000013	185	5	0	0	11	0.4402	0.9134	0.2595	0.0000	0.7405	0.0000	0.0486	0.2811	0.0216	0.0541	0.0054	0.0000	0.0216	0.0054	0.0108	0.3514	0.0595	0.0378	0.7899	0.5683	0.0000	0.0000	0.0000	0.0000	0.0000	21.8204	-53.6505	-197.4648
GCA_000239035.2#1#AHAS01000012	48	0	0	0	11	0.3617	0.9077	0.3333	0.0000	0.6667	0.0000	0.0000	0.2083	0.0000	0.1250	0.0833	0.0000	0.0000	0.0000	0.0000	0.2083	0.2083	0.0000	0.6075	0.7942	0.0000	0.0008	0.0000	0.9950	0.0000	-10.6034	10.5453	-54.1146
GCA_000239035.2#1#AHAS01000011	363	3	0	0	11	0.3232	0.9215	0.2672	0.0000	0.7328	0.0000	0.0579	0.2590	0.0193	0.0661	0.0055	0.0000	0.0110	0.0083	0.0055	0.3361	0.0716	0.0248	0.7852	0.6074	0.0000	0.0000	0.0000	0.0000	0.0000	42.9512	-85.0878	-390.3496
GCA_000239035.2#1#AHAS01000010	250	3	0	0	11	0.3253	0.9197	0.2240	0.0000	0.7760	0.0000	0.0400	0.3320	0.0200	0.0680	0.0040	0.0000	0.0120	0.0000	0.0040	0.3920	0.0720	0.0160	0.7488	0.6557	0.0000	0.0000	0.0000	0.0000	0.0000	20.6287	-43.2310	-320.7114
GCA_000239035.2#1#AHAS01000009	1	0	0	0	11	0.0000	0.9115	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.8997	0.4366	0.5680	0.3880	0.6747	0.0000	-2.8049	0.9114	-0.9114
GCA_000239035.2#1#AHAS01000008	417	6	1	1	11	0.3173	0.9357	0.2278	0.0000	0.7722	0.0000	0.0671	0.3381	0.0144	0.0624	0.0048	0.0048	0.0024	0.0048	0.0096	0.4197	0.0719	0.0168	0.7748	0.6158	0.0000	0.0000	0.0000	0.0000	0.0000	62.0825	-102.1121	-546.3798
GCA_000239035.2#1#AHAS01000007	166	6	0	0	11	0.2545	0.9324	0.3313	0.0000	0.6687	0.0000	0.0482	0.3133	0.0482	0.0422	0.0000	0.0000	0.0301	0.0120	0.0060	0.4096	0.0422	0.0482	0.8050	0.5053	0.0000	0.0000	0.0000	0.0000	0.0000	27.4547	-70.0524	-187.0932
GCA_000239035.2#1#AHAS01000006	587	3	0	0	11	0.3652	0.9141	0.2913	0.0000	0.7087	0.0000	0.0460	0.2981	0.0170	0.0750	0.0085	0.0017	0.0051	0.0017	0.0085	0.3612	0.0852	0.0153	0.7471	0.6533	0.0000	0.0000	0.0000	0.0000	0.0000	38.5696	-88.4675	-712.8248
GCA_000239035.2#1#AHAS01000005	54	0	0	0	11	0.3774	0.9236	0.2407	0.0000	0.7593	0.0000	0.0000	0.0556	0.0000	0.0185	0.0000	0.0185	0.0000	0.0000	0.0185	0.0556	0.0370	0.0185	0.6024	0.6759	0.0000	0.2576	0.1864	0.6023	0.0000	-3.8945	-1.4355	-11.0892
GCA_000239035.2#1#AHAS01000004	711	3	0	0	11	0.3620	0.9298	0.2743	0.0000	0.7257	0.0000	0.0478	0.3024	0.0056	0.0591	0.0042	0.0042	0.0056	0.0028	0.0042	0.3558	0.0675	0.0127	0.7514	0.6542	0.0000	0.0000	0.0000	0.0000	0.0000	41.6183	-88.5040	-829.7549
GCA_000239035.2#1#AHAS01000003	105	0	0	0	11	0.2981	0.9113	0.2857	0.0000	0.7143	0.0000	0.0190	0.2952	0.0000	0.0476	0.0381	0.0000	0.0000	0.0095	0.0000	0.3143	0.0857	0.0095	0.7555	0.6460	0.0000	0.0000	0.0000	0.7623	0.0000	-4.5348	0.7820	-116.7945
GCA_000239035.2#1#AHAS01000002	19	0	0	0	11	0.1667	0.9831	0.4737	0.0000	0.5263	0.0000	0.1053	0.1053	0.0000	0.0526	0.0000	0.0000	0.0526	0.0000	0.0000	0.2105	0.0526	0.0526	0.7881	0.2096	0.0000	0.0525	0.2998	0.1146	0.0000	2.7367	-6.3589	-11.4975
GCA_000239035.2#1#AHAS01000001	47	0	0	0	11	0.3913	0.9173	0.3404	0.0000	0.6596	0.0000	0.0213	0.3404	0.0213	0.0638	0.0000	0.0000	0.0000	0.0000	0.0000	0.3830	0.0638	0.0000	0.6687	0.7435	0.0000	0.0000	0.0000	0.3760	0.0000	0.6438	-1.9664	-60.5374
