bait_id	role	n_accessions_screened	n_cov_gt_0	n_cov_ge_0.5	n_cov_ge_0.7	max_kmer_cov	best_accession	top5_accessions_cov
ECBAIT_10_0057_MEMBER_INTERIOR_01	ecoli_bait	15105	9335	8907	8271	1.0000	SRR9696922	SRR9696922:1.000;SRR9588127:1.000;SRR958357:1.000;SRR958356:1.000;SRR958230:1.000
ECBAIT_HOST_CONTROL_01	host_control_diagnostic	15105	10711	6192	4252	1.0000	SRR9723040	SRR9723040:1.000;SRR9723039:1.000;SRR9723038:1.000;SRR9723037:1.000;SRR9723036:1.000
ECBAIT_10_0002_MEMBER_INTERIOR_01	ecoli_bait	15105	4392	3532	3328	1.0000	SRR9696922	SRR9696922:1.000;SRR9588127:1.000;SRR933537:1.000;SRR933535:1.000;SRR933531:1.000
ECBAIT_HOST_CONTROL_02	host_control_diagnostic	15105	14636	8895	1757	1.0000	SRR999495	SRR999495:1.000;SRR999494:1.000;SRR9663527:1.000;SRR9663521:1.000;SRR9588124:1.000
ECBAIT_10_0172_MEMBER_INTERIOR_01	ecoli_bait	15105	5696	3371	1537	0.9077	DRR415722	DRR415722:0.908;ERR9845749:0.885;SRR23867130:0.874;SRR8871711:0.872;SRR7879901:0.872
ECBAIT_0_0000_JUNCTION_02	ecoli_bait	15105	11652	2390	1505	0.9649	SRR9697014	SRR9697014:0.965;SRR9663539:0.965;SRR9663528:0.965;SRR9663516:0.965;SRR958971:0.965
ECBAIT_0_0000_MEMBER_INTERIOR_01	ecoli_bait	15105	3500	1499	1147	1.0000	SRR9984633	SRR9984633:1.000;SRR9697014:1.000;SRR9663546:1.000;SRR9663539:1.000;SRR9663528:1.000
ECBAIT_10_0002_JUNCTION_01	ecoli_bait	15105	2677	2015	1086	0.8691	SRR30178795	SRR30178795:0.869;SRR11463942:0.849;ERR4172332:0.837;SRR926310:0.832;SRR926309:0.832
ECBAIT_10_0002_JUNCTION_02	ecoli_bait	15105	10963	1222	907	0.9052	SRR8723275	SRR8723275:0.905;SRR8723246:0.905;SRR647296:0.905;SRR647253:0.905;SRR633950:0.905
ECBAIT_0_0000_INTERIOR_MODULE_01	ecoli_bait	15105	10699	915	415	0.7350	ERR3580750	ERR3580750:0.735;SRR9697014:0.732;SRR958223:0.732;SRR958222:0.732;SRR8871891:0.732
ECBAIT_10_0044_MEMBER_INTERIOR_01	ecoli_bait	15105	675	508	412	1.0000	SRR8292234	SRR8292234:1.000;SRR647543:1.000;SRR647540:1.000;SRR396619:1.000;SRR26036477:1.000
ECBAIT_0_0046_MEMBER_INTERIOR_01	ecoli_bait	15105	6291	362	329	1.0000	SRR8723272	SRR8723272:1.000;SRR8723250:1.000;SRR446797:1.000;SRR11658131:1.000;ERR2681679:1.000
ECBAIT_1_0004_JUNCTION_01	ecoli_bait	15105	8311	2475	283	0.8278	ERR3712911	ERR3712911:0.828;ERR4843622:0.826;SRR15686333:0.814;SRR11031366:0.813;ERR2206011:0.796
ECBAIT_0_0054_MEMBER_INTERIOR_01	ecoli_bait	15105	1367	580	250	1.0000	SRR30408859	SRR30408859:1.000;SRR26358917:1.000;SRR25710658:1.000;ERR316957:1.000;ERR316950:1.000
ECBAIT_10_0151_JUNCTION_03	ecoli_bait	15105	12322	1270	243	0.9526	SRR7879894	SRR7879894:0.953;SRR7879944:0.937;SRR18212375:0.937;SRR17276839:0.937;SRR10905720:0.937
ECBAIT_0_0052_JUNCTION_03	ecoli_bait	15105	1641	1232	240	0.8701	SRR29636634	SRR29636634:0.870;SRR17883274:0.870;ERR1407280:0.870;DRR102928:0.870;DRR102615:0.870
ECBAIT_10_0044_INTERIOR_MODULE_01	ecoli_bait	15105	675	407	234	0.8915	DRR275248	DRR275248:0.891;DRR275212:0.885;SRR957869:0.883;SRR957868:0.883;SRR957860:0.883
ECBAIT_1_0004_JUNCTION_02	ecoli_bait	15105	7955	879	223	0.8907	SRR7879899	SRR7879899:0.891;SRR32363081:0.891;SRR18212037:0.891;SRR8871784:0.859;SRR2970737:0.859
ECBAIT_1_0022_JUNCTION_03	ecoli_bait	15105	521	255	217	0.9691	SRR8871766	SRR8871766:0.969;SRR7879935:0.969;SRR6007619:0.969;SRR32571420:0.969;SRR32571419:0.969
ECBAIT_0_0014_MEMBER_INTERIOR_01	ecoli_bait	15105	6052	268	172	1.0000	SRR8871838	SRR8871838:1.000;SRR8871784:1.000;SRR8871670:1.000;SRR8871593:1.000;SRR7879916:1.000
ECBAIT_0_0000_JUNCTION_01	ecoli_bait	15105	2479	170	153	0.9701	SRR957869	SRR957869:0.970;SRR957868:0.970;SRR957860:0.970;SRR957859:0.970;SRR957858:0.970
ECBAIT_10_0151_MEMBER_INTERIOR_01	ecoli_bait	15105	12309	910	132	0.9470	SRR18212064	SRR18212064:0.947;ERR3097858:0.947;SRR14681358:0.936;ERR4165594:0.910;DRR415754:0.894
ECBAIT_0_0046_JUNCTION_02	ecoli_bait	15105	904	348	117	0.9598	SRR8869644	SRR8869644:0.960;SRR8869631:0.960;SRR34748691:0.960;SRR34748686:0.960;ERR4301083:0.960
ECBAIT_POSCON_LAMBDA_01	positive_control	15105	4509	112	97	1.0000	SRR7812251	SRR7812251:1.000;SRR7812250:1.000;SRR6436961:1.000;SRR6436960:1.000;SRR6436959:1.000
ECBAIT_10_0178_JUNCTION_02	ecoli_bait	15105	647	283	88	0.8021	DRR275248	DRR275248:0.802;DRR275256:0.770;SRR387477:0.763;SRR17529628:0.763;SRR17529627:0.763
ECBAIT_0_0052_JUNCTION_01	ecoli_bait	15105	1660	435	84	0.7856	SRR32363298	SRR32363298:0.786;SRR15686333:0.786;SRR15686316:0.786;SRR14272602:0.786;SRR14272547:0.786
ECBAIT_1_0004_MEMBER_INTERIOR_01	ecoli_bait	15105	3825	740	79	1.0000	SRR958780	SRR958780:1.000;SRR958779:1.000;SRR958638:1.000;SRR958637:1.000;SRR933377:1.000
ECBAIT_0_0014_JUNCTION_02	ecoli_bait	15105	1995	305	75	0.9711	SRR958316	SRR958316:0.971;SRR958315:0.971;SRR8871784:0.971;SRR7879913:0.971;SRR784334:0.971
ECBAIT_0_0067_MEMBER_INTERIOR_01	ecoli_bait	15105	493	78	73	1.0000	SRR641909	SRR641909:1.000;SRR641882:1.000;SRR640112:1.000;SRR640028:1.000;SRR32478560:0.974
