partition_id	k	tip_id	cluster_id	medoid_tip	host_only	row_sha256
host_genetic_medoid_k12	12	GCF_000005845.2	K12C002	GCF_013391275.1	PASS	720acce7af462ebe3c6589bde110bb8926c77fccac918ff5ad063044513d786f
host_genetic_medoid_k12	12	GCF_000812325.1	K12C011	GCF_900481955.1	PASS	c1acefa17aec622657a6bbf19ddeab856efc4617dd93ad43da2001b91d694237
host_genetic_medoid_k12	12	GCF_002302315.1	K12C002	GCF_013391275.1	PASS	6724fb52df0ad835ba51e71c663ea358b8899376123633595f15d16729d41509
host_genetic_medoid_k12	12	GCF_004664255.1	K12C002	GCF_013391275.1	PASS	ab822a505798c6d526f266cd05778a8536f3884aacf16c5ac27bcfcf3b4e89ee
host_genetic_medoid_k12	12	GCF_015644385.1	K12C002	GCF_013391275.1	PASS	d5753f487c5df5fc96d497e6141fb18a4aadc02002675c76839394e18e0f4545
host_genetic_medoid_k12	12	GCF_020829045.1	K12C002	GCF_013391275.1	PASS	be64eeb849339b339d41df640bd1227c4d703a538b86a64ec54774da72e3bcd7
host_genetic_medoid_k12	12	GCF_921380995.1	K12C006	GCF_002806795.1	PASS	d73febdf032b033d78d500fa32d2a21ef2a61482407ea3c152ef0f3a5751daf4
host_genetic_medoid_k12	12	GCF_000167895.3	K12C002	GCF_013391275.1	PASS	174e1ccef85f1046aa65f7934178231bd904e1852d66148f25622e620aa86fe2
host_genetic_medoid_k12	12	GCF_001881595.4	K12C002	GCF_013391275.1	PASS	7306f2d08c065c4b08985ef07419c5397a31081153b13421659c91191f31806f
host_genetic_medoid_k12	12	GCF_000498835.2	K12C003	GCF_015163255.1	PASS	284b4d32a2393f8d1da2b44ec436b7000dc603262e36ecea40e22894384a88f7
host_genetic_medoid_k12	12	GCF_015548345.1	K12C011	GCF_900481955.1	PASS	d78449e627bfa9c815e6903b25a5f8082f68cbd931618bbaee8b5affee469da4
host_genetic_medoid_k12	12	GCF_019926545.1	K12C002	GCF_013391275.1	PASS	7c3f538abe37c09774efbefd5310474c30c0fef02cda92aff0c53697503f0269
host_genetic_medoid_k12	12	GCF_001614385.1	K12C002	GCF_013391275.1	PASS	0f95ecd3f3a29126319473640f5efe1045b1a32efc4825f92eddca0bb39f6867
host_genetic_medoid_k12	12	GCF_015551035.1	K12C010	GCF_000807565.1	PASS	40437e6353eaf434220e925d6ed6998611dd53ddd90a0f68d5ac71840bbac1d4
host_genetic_medoid_k12	12	GCF_021354235.1	K12C002	GCF_013391275.1	PASS	ff0790e1e6a41538fd9d2d9f213e01423e2811e23fc18ab6b1fe3fc0b967426c
host_genetic_medoid_k12	12	GCF_002485085.1	K12C002	GCF_013391275.1	PASS	6d7a8fcb2804d5f2fedc14e417b525b77bc9d75332ecb485443ed1d6a2e62ffe
host_genetic_medoid_k12	12	GCF_014712315.1	K12C010	GCF_000807565.1	PASS	3523227b04994a25b297dcbb492ab220f9a6c73e3886d26b07a4e17f311718cc
host_genetic_medoid_k12	12	GCF_019120745.1	K12C002	GCF_013391275.1	PASS	2db27b5d42af2fb185bd22b25a7be41dd44979058f3ce953eed01284e3910586
host_genetic_medoid_k12	12	GCF_006350715.1	K12C002	GCF_013391275.1	PASS	1faee49f99d3bc8f144810ef72e08b6fda3a7383c28eaaf51fcac5bb046091b0
host_genetic_medoid_k12	12	GCF_002522525.1	K12C002	GCF_013391275.1	PASS	ff3a4ea7a30676cf0c7cc807f396496fb49d630d3a54d3a850bb64a5e44e8a14
host_genetic_medoid_k12	12	GCF_018790115.1	K12C002	GCF_013391275.1	PASS	921df77516769fc790bc37440c8800867cdf47a7ed407bcebeabc4068bbad60d
host_genetic_medoid_k12	12	GCF_002442365.1	K12C002	GCF_013391275.1	PASS	2da410e0222a23c0e88171a8dd78110d7204bafee792d01cc5db4213bbb3868d
host_genetic_medoid_k12	12	GCF_005885955.1	K12C006	GCF_002806795.1	PASS	937b2245be9153fb187a4f5a63ace4facf9f79fd91c79a2e027163bd5e45d136
host_genetic_medoid_k12	12	GCF_002513075.1	K12C002	GCF_013391275.1	PASS	fcabb819ce3c5704c62657353f32d9245c6ca064fd11587df1820e1fa1a0d34f
host_genetic_medoid_k12	12	GCF_902810185.1	K12C009	GCF_009910875.1	PASS	1cbd07d8832f91f84da3a06b73de5299462e8b9251e9ac6ec20e4c8c7e3a722d
host_genetic_medoid_k12	12	GCF_005043025.1	K12C002	GCF_013391275.1	PASS	6f08d1ec2f9cfc898c55eb19de976c25214d0ae0b64ee7d558ad743d0e823672
host_genetic_medoid_k12	12	GCF_017595115.1	K12C011	GCF_900481955.1	PASS	1c4fce18a79f737c7068d1674d17317e94472b3ee8ac0ffc12ed85d0f17913f5
host_genetic_medoid_k12	12	GCF_014528625.1	K12C002	GCF_013391275.1	PASS	eb840e652cd639ff6738f867126e061631603875a3060cfd9a81a5945567b572
host_genetic_medoid_k12	12	GCF_008041205.1	K12C007	GCF_001520375.1	PASS	147efe7fc0e849f91b0fd943787d107dd5c84e740cefd1903cfcb7e3bfe67c44
host_genetic_medoid_k12	12	GCF_009820795.1	K12C002	GCF_013391275.1	PASS	11cc73f853dc1744d8aeaa9837c56e4a584609cb12645bfd8c615bad08555be1
host_genetic_medoid_k12	12	GCF_900479385.1	K12C002	GCF_013391275.1	PASS	6d8c0328609feca84e65eb5ea6a5d710b2922d77554103112b56a96a9583020c
host_genetic_medoid_k12	12	GCF_004767475.1	K12C002	GCF_013391275.1	PASS	de73a593fda8779ee5997dab60fe5b8449c4feb07f6efeb6f4165196cc602953
host_genetic_medoid_k12	12	GCF_002519245.1	K12C002	GCF_013391275.1	PASS	1c4ad6b4b1a17cd417410bf854f4d96ce7735d729934fe275981e4d8a531f8c8
host_genetic_medoid_k12	12	GCF_015644305.1	K12C003	GCF_015163255.1	PASS	f789e9351f7dba60286f64587ed0b3bfe48daa03396cc55ac69aeffe41423080
host_genetic_medoid_k12	12	GCF_001616285.1	K12C003	GCF_015163255.1	PASS	e3282b1dab5113e1ef9dd9df97ff4464cd707a7ed959efa9dce165e68b64727a
host_genetic_medoid_k12	12	GCF_001614645.1	K12C002	GCF_013391275.1	PASS	a288102400e5c936be6d71df0e370caa73e3528844a6961622ab01665711e5e3
host_genetic_medoid_k12	12	GCF_013370625.1	K12C002	GCF_013391275.1	PASS	2e10905a22eaef17b3dd6cb0e4b5bfe4ca8d00e7c030eaa86fd36e7bf42687aa
host_genetic_medoid_k12	12	GCF_013608825.1	K12C009	GCF_009910875.1	PASS	fdd6499d8e1ae957e314036b70dcd53c52f85761befb2944e8e6075189d9eb83
host_genetic_medoid_k12	12	GCF_005043625.1	K12C002	GCF_013391275.1	PASS	5be3d01766929ba7de486a2c62dfb85e6347912254d6d5923349a084bb1e8bf3
