ecor_strain	wgs_master	gca	gcf	in_cohort	n_prophage_records	n_in_full_prophages_fa	tag_merge_rate	status	notes
ECOR-1	QOWM00000000.1	GCA_003334405.1	GCF_003334405.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-2	QOWN00000000.1	GCA_003334385.1	GCF_003334385.1	True	9	9	1.0	matched	paired_comp=identical; level=Contig
ECOR-3	QOWO00000000.1	GCA_003334815.1	GCF_003334815.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-4	QOWP00000000.1	GCA_003334355.1	GCF_003334355.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-5	QOWQ00000000.1	GCA_003334335.1	GCF_003334335.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-6	QOWR00000000.1	GCA_003334315.1	GCF_003334315.1	True	2	2	1.0	matched	paired_comp=identical; level=Contig
ECOR-7	QOWS00000000.1	GCA_003334305.1	GCF_003334305.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-8	QOWT00000000.1	GCA_003334765.1	GCF_003334765.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-9	QOWU00000000.1	GCA_003334255.1	GCF_003334255.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-10	QOWV00000000.1	GCA_003334785.1	GCF_003334785.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-11	QOWW00000000.1	GCA_003334245.1	GCF_003334245.1	True	5	5	1.0	matched	paired_comp=identical; level=Contig
ECOR-12	QOWX00000000.1	GCA_003334775.1	GCF_003334775.1	True	7	7	1.0	matched	paired_comp=identical; level=Contig
ECOR-13	QOWY00000000.1	GCA_003334235.1	GCF_003334235.1	True	3	3	1.0	matched	paired_comp=identical; level=Contig
ECOR-14	QOWZ00000000.1	GCA_003334705.1	GCF_003334705.1	True	4	4	1.0	matched	paired_comp=identical; level=Contig
ECOR-15	QOXA00000000.1	GCA_003334225.1	GCF_003334225.1	True	6	6	1.0	matched	paired_comp=identical; level=Contig
