clade_id	community	n_members	status	length_bp	gc_content	max_n_run	completeness	n_members_aligned	identity_median	identity_min	identity_max	flags
clade_0_0000_ML	clade	0	ml	106696	0.493	0		0				
clade_0_0001_ML	clade	0	ml	166012	0.4925	0		0				
clade_0_0002_ML	clade	0	ml	102688	0.489	0		0				
clade_0_0003_ML	clade	0	ml	97059	0.4978	0		0				
clade_0_0004_ML	clade	0	ml	107441	0.4929	0		0				
clade_0_0005_ML	clade	0	ml	100656	0.4748	0		0				
clade_0_0006_ML	clade	0	ml	131268	0.4803	0		0				
clade_0_0007_ML	clade	0	ml	91877	0.489	0		0				
clade_0_0008_ML	clade	0	ml	102392	0.4799	0		0				
clade_0_0009_ML	clade	0	ml	85632	0.4925	0		0				
clade_0_0010_ML	clade	0	ml	187603	0.5012	0		0				
clade_0_0011_ML	clade	0	ml	112348	0.4811	0		0				
clade_0_0012_ML	clade	0	ml	109563	0.4963	0		0				
clade_0_0013_ML	clade	0	ml	120718	0.497	0		0				
clade_0_0014_ML	clade	0	ml	102563	0.4744	0		0				
clade_0_0015_ML	clade	0	ml	135769	0.4862	0		0				
clade_0_0016_ML	clade	0	ml	95049	0.4846	0		0				
clade_0_0017_ML	clade	0	ml	108038	0.4782	0		0				
clade_0_0018_ML	clade	0	ml	103939	0.4849	0		0				
clade_0_0019_ML	clade	0	ml	108633	0.4805	0		0				
clade_0_0020_ML	clade	0	ml	112150	0.4871	0		0				
clade_0_0021_ML	clade	0	ml	90608	0.4782	0		0				
clade_0_0022_ML	clade	0	ml	131316	0.4772	0		0				
clade_0_0023_ML	clade	0	ml	120187	0.4868	0		0				
clade_0_0024_ML	clade	0	ml	80888	0.4865	0		0				
clade_0_0025_ML	clade	0	ml	72396	0.473	0		0				
clade_0_0026_ML	clade	0	ml	117784	0.4785	0		0				
clade_0_0027_ML	clade	0	ml	79720	0.4888	0		0				
clade_0_0028_ML	clade	0	ml	71156	0.4748	0		0				
clade_0_0029_ML	clade	0	ml	55908	0.4875	0		0				
clade_0_0030_ML	clade	0	ml	46041	0.4829	0		0				
clade_0_0031_ML	clade	0	ml	15908	0.46	0		0				
clade_0_0032_ML	clade	0	ml	94867	0.4903	0		0				
clade_0_0033_ML	clade	0	ml	70505	0.4868	0		0				
clade_0_0034_ML	clade	0	ml	139867	0.4725	0		0				
clade_0_0035_ML	clade	0	ml	52913	0.4862	0		0				
clade_0_0036_ML	clade	0	ml	158696	0.4864	0		0				
clade_0_0037_ML	clade	0	ml	72456	0.4979	0		0				
clade_0_0038_ML	clade	0	ml	67540	0.4914	0		0				
clade_0_0039_ML	clade	0	ml	147161	0.4717	0		0				
clade_0_0040_ML	clade	0	ml	142176	0.4855	0		0				
clade_0_0041_ML	clade	0	ml	153858	0.4721	0		0				
clade_0_0042_ML	clade	0	ml	16263	0.4977	0		0				
clade_0_0043_ML	clade	0	ml	81929	0.473	0		0				
clade_0_0044_ML	clade	0	ml	154289	0.4746	0		0				
clade_0_0045_ML	clade	0	ml	72364	0.4852	0		0				
clade_0_0046_ML	clade	0	ml	67176	0.5019	0		0				
clade_0_0047_ML	clade	0	ml	24063	0.4722	0		0				
clade_0_0048_ML	clade	0	ml	29991	0.4749	0		0				
clade_0_0049_ML	clade	0	ml	78353	0.515	0		0				
clade_0_0050_ML	clade	0	ml	13659	0.4333	0		0				
clade_0_0051_ML	clade	0	ml	68856	0.524	0		0				
clade_0_0052_ML	clade	0	ml	68376	0.4936	0		0				
clade_0_0053_ML	clade	0	ml	71353	0.4949	0		0				
clade_0_0054_ML	clade	0	ml	66064	0.4918	0		0				
clade_0_0055_ML	clade	0	ml	5604	0.4609	0		0				too_short
clade_0_0056_ML	clade	0	ml	15303	0.441	0		0				
clade_0_0057_ML	clade	0	ml	45762	0.4908	0		0				
clade_0_0058_ML	clade	0	ml	29962	0.4538	0		0				
clade_0_0059_ML	clade	0	ml	32436	0.5472	0		0				
clade_0_0060_ML	clade	0	ml	6153	0.4601	0		0				too_short
clade_0_0061_ML	clade	0	ml	20712	0.4556	0		0				
clade_0_0062_ML	clade	0	ml	4963	0.439	0		0				too_short
clade_0_0063_ML	clade	0	ml	21269	0.4505	0		0				
clade_0_0064_ML	clade	0	ml	12802	0.4731	0		0				
clade_0_0065_ML	clade	0	ml	36077	0.5001	1975		0				long_n_run
clade_0_0066_ML	clade	0	ml	8400	0.4196	0		0				too_short
clade_0_0067_ML	clade	0	ml	46334	0.5103	0		0				
clade_0_0068_ML	clade	0	ml	45005	0.5246	0		0				
clade_0_0069_ML	clade	0	ml	8113	0.5658	0		0				too_short
clade_0_0070_ML	clade	0	ml	1414	0.3925	100		0				too_short,long_n_run
clade_0_0071_ML	clade	0	ml	26291	0.5359	0		0				
clade_0_0072_ML	clade	0	ml	13001	0.5331	0		0				
clade_0_0073_ML	clade	0	ml	6502	0.4556	0		0				too_short
clade_0_0074_ML	clade	0	ml	9829	0.4495	0		0				too_short
clade_0_0075_ML	clade	0	ml	91064	0.4842	0		0				
clade_0_0076_ML	clade	0	ml	97866	0.4696	0		0				
clade_0_0077_ML	clade	0	ml	93006	0.4929	0		0				
clade_0_0078_ML	clade	0	ml	48284	0.4586	0		0				
clade_0_0079_ML	clade	0	ml	39239	0.4989	1560		0				long_n_run
clade_0_0080_ML	clade	0	ml	23096	0.4661	0		0				
clade_0_0081_ML	clade	0	ml	64215	0.4828	0		0				
clade_0_0082_ML	clade	0	ml	85651	0.4844	0		0				
clade_0_0083_ML	clade	0	ml	4658	0.4667	0		0				too_short
clade_0_0084_ML	clade	0	ml	97325	0.4995	0		0				
clade_0_0085_ML	clade	0	ml	64668	0.4753	0		0				
clade_0_0086_ML	clade	0	ml	97569	0.486	0		0				
clade_0_0087_ML	clade	0	ml	31314	0.5126	0		0				
clade_0_0088_ML	clade	0	ml	6202	0.4332	0		0				too_short
clade_0_0089_ML	clade	0	ml	16277	0.4903	0		0				
clade_0_0090_ML	clade	0	ml	82492	0.5279	0		0				
clade_0_0091_ML	clade	0	ml	41044	0.5202	0		0				
clade_0_0092_ML	clade	0	ml	54204	0.5267	0		0				
clade_0_0093_ML	clade	0	ml	26733	0.5145	0		0				
clade_0_0094_ML	clade	0	ml	30416	0.5204	0		0				
clade_0_0095_ML	clade	0	ml	23427	0.5207	0		0				
clade_0_0096_ML	clade	0	ml	102571	0.493	0		0				
clade_0_0097_ML	clade	0	ml	5830	0.4237	0		0				too_short
clade_0_0098_ML	clade	0	ml	49684	0.485	0		0				
clade_0_0099_ML	clade	0	ml	224496	0.4977	0		0				too_long
clade_0_0100_ML	clade	0	ml	50727	0.4703	0		0				
clade_0_0101_ML	clade	0	ml	40425	0.4686	0		0				
clade_10_0000_ML	clade	0	ml	132955	0.5115	0		0				
clade_10_0001_ML	clade	0	ml	154259	0.5192	0		0				
clade_10_0002_ML	clade	0	ml	155150	0.5128	0		0				
clade_10_0003_ML	clade	0	ml	234329	0.5144	0		0				too_long
clade_10_0004_ML	clade	0	ml	162012	0.5085	0		0				
clade_10_0005_ML	clade	0	ml	121208	0.5016	0		0				
clade_10_0006_ML	clade	0	ml	114667	0.4856	0		0				
clade_10_0007_ML	clade	0	ml	147339	0.4805	0		0				
clade_10_0008_ML	clade	0	ml	97028	0.49	0		0				
clade_10_0009_ML	clade	0	ml	65856	0.4829	0		0				
clade_10_0010_ML	clade	0	ml	67124	0.484	0		0				
clade_10_0011_ML	clade	0	ml	66787	0.4654	0		0				
clade_10_0012_ML	clade	0	ml	73000	0.4821	0		0				
clade_10_0013_ML	clade	0	ml	255419	0.5068	0		0				too_long
clade_10_0014_ML	clade	0	ml	82521	0.4835	0		0				
clade_10_0015_ML	clade	0	ml	72158	0.4807	0		0				
clade_10_0016_ML	clade	0	ml	232886	0.5162	0		0				too_long
clade_10_0017_ML	clade	0	ml	93956	0.4757	0		0				
clade_10_0018_ML	clade	0	ml	83638	0.5275	0		0				
clade_10_0019_ML	clade	0	ml	97350	0.5321	0		0				
clade_10_0020_ML	clade	0	ml	64838	0.5378	0		0				
clade_10_0021_ML	clade	0	ml	69440	0.5444	0		0				
clade_10_0022_ML	clade	0	ml	86764	0.4585	0		0				
clade_10_0023_ML	clade	0	ml	61329	0.5375	0		0				
clade_10_0024_ML	clade	0	ml	87188	0.4835	0		0				
clade_10_0025_ML	clade	0	ml	89067	0.489	0		0				
clade_10_0026_ML	clade	0	ml	78907	0.536	0		0				
clade_10_0027_ML	clade	0	ml	86203	0.5353	0		0				
