genome_key	origin	source_ns	accession	numeric	species	prophage_count	canonical_acc	plan	resolution_method	link_gz	bvbrc_contigs	notes
1138383.42	export	BV-BRC	1138383.42		Mycobacterium paraintracellulare	1	GCA_045780085.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_045780085.1/GCA_045780085.1.pansn.fa.gz	CP118870	all BV-BRC sequence accessions present in local object
117567.18	export	BV-BRC	117567.18		Mycolicibacterium frederiksbergense	0	117567.18	download_bvbrc	bvbrc_api_sequence		CAXUTK010000003,CAXUTK010000004,CAXUTK010000002,CAXUTK010000001	
1185650.1176	export	BV-BRC	1185650.1176		Mycobacteroides abscessus ATCC 19977	3	GCA_030463595.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_030463595.1/GCA_030463595.1.pansn.fa.gz	CP119724	all BV-BRC sequence accessions present in local object
1185650.1307	export	BV-BRC	1185650.1307		Mycobacteroides abscessus ATCC 19977	2	GCA_041154555.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_041154555.1/GCA_041154555.1.pansn.fa.gz	AP028615,AP028616,AP028613,AP028614	all BV-BRC sequence accessions present in local object
1185650.1308	export	BV-BRC	1185650.1308		Mycobacteroides abscessus ATCC 19977	2	GCA_041154565.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_041154565.1/GCA_041154565.1.pansn.fa.gz	AP028618,AP028617,AP028619,AP028620	all BV-BRC sequence accessions present in local object
1185650.1309	export	BV-BRC	1185650.1309		Mycobacteroides abscessus ATCC 19977	2	GCA_041154575.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_041154575.1/GCA_041154575.1.pansn.fa.gz	AP028624,AP028623,AP028622,AP028621	all BV-BRC sequence accessions present in local object
1185650.1310	export	BV-BRC	1185650.1310		Mycobacteroides abscessus ATCC 19977	2	GCA_041154585.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_041154585.1/GCA_041154585.1.pansn.fa.gz	AP028628,AP028627,AP028625,AP028626	all BV-BRC sequence accessions present in local object
1185650.1311	export	BV-BRC	1185650.1311		Mycobacteroides abscessus ATCC 19977	2	GCA_041154595.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_041154595.1/GCA_041154595.1.pansn.fa.gz	AP028631,AP028630,AP028632,AP028629	all BV-BRC sequence accessions present in local object
1185650.1312	export	BV-BRC	1185650.1312		Mycobacteroides abscessus ATCC 19977	4	GCA_046529355.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_046529355.1/GCA_046529355.1.pansn.fa.gz	CP125773	all BV-BRC sequence accessions present in local object
1185650.1313	export	BV-BRC	1185650.1313		Mycobacteroides abscessus ATCC 19977	1	GCA_046529365.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_046529365.1/GCA_046529365.1.pansn.fa.gz	CP125774	all BV-BRC sequence accessions present in local object
1185650.1314	export	BV-BRC	1185650.1314		Mycobacteroides abscessus ATCC 19977	0	GCA_046529375.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_046529375.1/GCA_046529375.1.pansn.fa.gz	CP125775	all BV-BRC sequence accessions present in local object
1185650.1315	export	BV-BRC	1185650.1315		Mycobacteroides abscessus ATCC 19977	3	GCA_046529385.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_046529385.1/GCA_046529385.1.pansn.fa.gz	CP125776,CP125777	all BV-BRC sequence accessions present in local object
1185650.1316	export	BV-BRC	1185650.1316		Mycobacteroides abscessus ATCC 19977	4	GCA_046529395.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_046529395.1/GCA_046529395.1.pansn.fa.gz	CP125778,CP125779	all BV-BRC sequence accessions present in local object
1185650.1318	export	BV-BRC	1185650.1318		Mycobacteroides abscessus ATCC 19977	1	GCA_047738035.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738035.1/GCA_047738035.1.pansn.fa.gz	JBLLSM010000002,JBLLSM010000014,JBLLSM010000016,JBLLSM010000020,JBLLSM010000004,JBLLSM010000006,JBLLSM010000008,JBLLSM010000005,JBLLSM010000022,JBLLSM010000012,JBLLSM010000019,JBLLSM010000003,JBLLSM010000009,JBLLSM010000018,JBLLSM010000007,JBLLSM010000011,JBLLSM010000013,JBLLSM010000001,JBLLSM010000010,JBLLSM010000015,JBLLSM010000017,JBLLSM010000021	all BV-BRC sequence accessions present in local object
1185650.1320	export	BV-BRC	1185650.1320		Mycobacteroides abscessus ATCC 19977	1	GCA_047738075.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738075.1/GCA_047738075.1.pansn.fa.gz	JBLLSO010000019,JBLLSO010000011,JBLLSO010000015,JBLLSO010000022,JBLLSO010000004,JBLLSO010000016,JBLLSO010000018,JBLLSO010000007,JBLLSO010000008,JBLLSO010000009,JBLLSO010000003,JBLLSO010000012,JBLLSO010000017,JBLLSO010000002,JBLLSO010000005,JBLLSO010000010,JBLLSO010000013,JBLLSO010000001,JBLLSO010000006,JBLLSO010000014,JBLLSO010000020,JBLLSO010000021	all BV-BRC sequence accessions present in local object
1185650.1321	export	BV-BRC	1185650.1321		Mycobacteroides abscessus ATCC 19977	1	GCA_047738055.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738055.1/GCA_047738055.1.pansn.fa.gz	JBLLSN010000020,JBLLSN010000013,JBLLSN010000011,JBLLSN010000021,JBLLSN010000014,JBLLSN010000007,JBLLSN010000010,JBLLSN010000012,JBLLSN010000003,JBLLSN010000017,JBLLSN010000004,JBLLSN010000008,JBLLSN010000001,JBLLSN010000002,JBLLSN010000006,JBLLSN010000009,JBLLSN010000015,JBLLSN010000019,JBLLSN010000005,JBLLSN010000016,JBLLSN010000018,JBLLSN010000022	all BV-BRC sequence accessions present in local object
1185650.1322	export	BV-BRC	1185650.1322		Mycobacteroides abscessus ATCC 19977	2	GCA_047738095.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738095.1/GCA_047738095.1.pansn.fa.gz	JBLLSP010000003,JBLLSP010000002,JBLLSP010000001,JBLLSP010000004,JBLLSP010000005	all BV-BRC sequence accessions present in local object
1185650.1323	export	BV-BRC	1185650.1323		Mycobacteroides abscessus ATCC 19977	2	GCA_047738105.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738105.1/GCA_047738105.1.pansn.fa.gz	JBLLSQ010000004,JBLLSQ010000003,JBLLSQ010000001,JBLLSQ010000002	all BV-BRC sequence accessions present in local object
1185650.1324	export	BV-BRC	1185650.1324		Mycobacteroides abscessus ATCC 19977	2	GCA_047738215.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738215.1/GCA_047738215.1.pansn.fa.gz	JBLLSX010000005,JBLLSX010000001,JBLLSX010000008,JBLLSX010000003,JBLLSX010000007,JBLLSX010000009,JBLLSX010000002,JBLLSX010000004,JBLLSX010000006,JBLLSX010000010	all BV-BRC sequence accessions present in local object
1185650.1325	export	BV-BRC	1185650.1325		Mycobacteroides abscessus ATCC 19977	2	GCA_047738195.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738195.1/GCA_047738195.1.pansn.fa.gz	JBLLSU010000006,JBLLSU010000003,JBLLSU010000005,JBLLSU010000002,JBLLSU010000001,JBLLSU010000004	all BV-BRC sequence accessions present in local object
1185650.1326	export	BV-BRC	1185650.1326		Mycobacteroides abscessus ATCC 19977	2	GCA_047738175.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738175.1/GCA_047738175.1.pansn.fa.gz	JBLLST010000009,JBLLST010000001,JBLLST010000005,JBLLST010000010,JBLLST010000003,JBLLST010000004,JBLLST010000002,JBLLST010000006,JBLLST010000007,JBLLST010000008	all BV-BRC sequence accessions present in local object
1185650.1327	export	BV-BRC	1185650.1327		Mycobacteroides abscessus ATCC 19977	1	GCA_047738235.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738235.1/GCA_047738235.1.pansn.fa.gz	JBLLSV010000011,JBLLSV010000005,JBLLSV010000012,JBLLSV010000006,JBLLSV010000002,JBLLSV010000008,JBLLSV010000014,JBLLSV010000015,JBLLSV010000003,JBLLSV010000007,JBLLSV010000004,JBLLSV010000009,JBLLSV010000001,JBLLSV010000010,JBLLSV010000013	all BV-BRC sequence accessions present in local object
1185650.1328	export	BV-BRC	1185650.1328		Mycobacteroides abscessus ATCC 19977	1	GCA_047738255.1	link_v1v2	bvbrc_contig_identity	/mnt/nvme3n1/erikg/phind-genome-work/ntm/v2/genomes/canonical_objects/GCA_047738255.1/GCA_047738255.1.pansn.fa.gz	JBLLSY010000001,JBLLSY010000006,JBLLSY010000004,JBLLSY010000017,JBLLSY010000013,JBLLSY010000015,JBLLSY010000003,JBLLSY010000009,JBLLSY010000007,JBLLSY010000008,JBLLSY010000002,JBLLSY010000012,JBLLSY010000014,JBLLSY010000005,JBLLSY010000010,JBLLSY010000011,JBLLSY010000016	all BV-BRC sequence accessions present in local object
