control_id	control_class	control_scope	assembly_id	exact_assembly_accession_version	fixture_or_evidence	selection_effect	inference_disposition	activation_status	source_release_id	row_sha256
ctrl-v1-0a5cf1620d8fe39e425a035a	assembly_size_minimum	observed_stage_b_post_selection	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	total_bases=4641652	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	6630da227d9c60656c41b09bc3788c62d34a8cee4170eeae3732b5bc1368b180
ctrl-v1-0d210c9eb109f891b7ba44b3	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	f0844fffae47ccf908ae3dd5af2d0450af72b856f8f3f7500499ea98e735a6de
ctrl-v1-1b3f791bf18b8d80aea6aeae	accession_exact_revision_ambiguity	observed_stage_b	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	assembly_version=2	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	collection-v1-f7494b4b89d1382b	f84024e160ec83e2ceab4fc257310111f9ecf6764cac403bd08eb8f72179e1e3
ctrl-v1-1fb7ba70aa0dbe77a896438f	unsafe_source_contig_id	synthetic_unit_fixture	.	.	literal:ctg#A	NONE_POST_SELECTION_LABEL	EXCLUDE_FIXTURE_FROM_HOST_AND_PREVALENCE_INFERENCE	READY	canonical-cohort-010-v1-e71484de9994fc28	53edf5b56eb86192ef8618b3c61bb40bfe0fa906e8ca484e23ba96c5d8094ed7
ctrl-v1-23d386eb52d34e1211fb1192	assembly_contiguity_maximum	observed_stage_b_post_selection	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	contig_count=265	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	abd9dbc25cf97c2b170e35ccb755db712bb474f4771122ccdbda183621962b72
ctrl-v1-2b942fe228159cf0e89f1575	assembly_contiguity_single_or_minimum	observed_stage_b_post_selection	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	contig_count=1	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	READY	canonical-cohort-010-v1-e71484de9994fc28	79b910bce344f2f8b6bee797c1787fbbe64a9ef5ba3c307ee971f6800096ba55
ctrl-v1-4c96c65fec7cd650961208fd	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	a2cb5c10589ba1a6df6d8fd1eec68b661508a3cea52c42c5ca9acbd3287de9c5
ctrl-v1-4e7cc03e0c4f45018f21e099	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	6bca5c165c4a2bad26baf3d35cc5ca4d534093ab7141c7a61db26394e7f7a7ea
ctrl-v1-5a37e18757c72cd78790e726	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	4308f8a3e20821cd8ffde3b7706de445e7a096da7bee90c6372085606c7c8756
ctrl-v1-5b5b6a0ebdb88b896c355110	prophage_interval_bounded_sentinel_scope	observed_stage_b_post_selection	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	source-semantics bounded sentinel; no coordinate extraction authorized	NONE_POST_SELECTION_LABEL	USE_ONCE_WITH_FROZEN_DESIGN_WEIGHT_NO_CONTROL_MULTIPLICITY	BLOCKED_EXTRACTION_SEMANTICS	prophage-semantics-v1-f5619e221ff272ae	f895f88e117ecf9018290def025f4b10449cc1548ac53725cfbdf0c50bd584cf
