selection_rank	clade_id	genome_id	tier	n_members	n_partitions	length_bp	medoid_member	selection_basis
1	0_0014	clade_0_0014_ML	A	100	2395	102563	GCF_000776235.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
2	0_0051	clade_0_0051_ML	A	5	175	68856	GCF_000692395.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
3	0_0052	clade_0_0052_ML	A	72	949	68376	GCF_000622535.2_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
4	0_0059	clade_0_0059_ML	A	6	55	32436	GCF_000503395.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
5	0_0071	clade_0_0071_ML	A	2	52	26291	GCF_000780535.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
6	0_0091	clade_0_0091_ML	A	4	83	41044	GCF_000597845.1_prophage_4	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
7	0_0094	clade_0_0094_ML	A	2	69	30416	GCF_000164235.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
8	10_0038	clade_10_0038_ML	A	8	181	52104	GCF_001265465.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
9	10_0044	clade_10_0044_ML	A	3	71	37488	GCF_000618185.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
10	10_0057	clade_10_0057_ML	A	2	52	26452	GCF_000157115.2_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
11	10_0070	clade_10_0070_ML	A	2	104	55002	GCF_000781915.1_prophage_1	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
12	10_0151	clade_10_0151_ML	A	38	396	60479	GCF_000781355.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
13	10_0172	clade_10_0172_ML	A	3	83	44050	GCF_000713235.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
14	10_0178	clade_10_0178_ML	A	6	124	62058	GCF_000752815.1_prophage_7	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
15	1_0004	clade_1_0004_ML	A	100	1438	84238	GCF_000778335.1_prophage_2	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
16	1_0022	clade_1_0022_ML	A	6	113	43137	GCF_001062415.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
17	1_0026	clade_1_0026_ML	A	26	147	51736	GCF_001285125.1_prophage_8	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
18	1_0032	clade_1_0032_ML	A	3	113	51860	GCF_000936455.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
19	1_0036	clade_1_0036_ML	A	2	86	45869	GCF_000777535.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
20	2_0033	clade_2_0033_ML	A	4	138	98500	GCF_001284005.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
21	2_0049	clade_2_0049_ML	A	3	62	44911	GCF_001077865.1_prophage_3	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
22	2_0052	clade_2_0052_ML	A	50	302	30902	GCF_001268545.1_prophage_6	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
23	2_0057	clade_2_0057_ML	A	3	51	28727	GCF_001412995.1_prophage_5	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
24	2_0075	clade_2_0075_ML	A	46	454	43560	GCF_000166595.1_prophage_7	greedy_farthest_point_prophage_mash_space_host_blind_full_panel
