seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
GCA_001583545.1#1#LNAV01000098	5206	No terminal repeats	7	11	0.9947	NA	0	9.9169	NA	NA
GCA_001583545.1#1#LNAV01000075	7722	No terminal repeats	6	11	0.9877	NA	0	5.7981	NA	NA
GCA_001583545.1#1#LNAV01000101	6467	No terminal repeats	11	11	0.9868	NA	0	1.4819	NA	NA
GCA_001583545.1#1#LNAV01000042	4289	No terminal repeats	7	11	0.9842	NA	0	3.5126	NA	NA
GCA_001583545.1#1#LNAV01000113	24850	No terminal repeats	27	11	0.9818	NA	1	5.2944	NA	NA
GCA_001583545.1#1#LNAV01000083	32625	No terminal repeats	32	11	0.9801	NA	0	9.2339	NA	NA
GCA_001583545.1#1#LNAV01000052	57759	No terminal repeats	62	11	0.9750	NA	0	7.1612	NA	NA
GCA_001583545.1#1#LNAV01000017	50945	No terminal repeats	58	11	0.9651	NA	0	8.2344	NA	NF033134;NF033156
GCA_001583545.1#1#LNAV01000125	34200	No terminal repeats	37	11	0.9518	NA	1	3.3510	NA	NA
GCA_001583545.1#1#LNAV01000009	48750	No terminal repeats	42	11	0.9361	NA	0	3.5804	NA	NA
GCA_001583545.1#1#LNAV01000155	2894	No terminal repeats	6	11	0.9311	NA	0	1.6167	NA	NA
GCA_001583545.1#1#LNAV01000024	8285	No terminal repeats	14	11	0.9268	NA	0	1.2394	NA	NA
GCA_001583545.1#1#LNAV01000165	72062	No terminal repeats	68	11	0.8992	NA	0	1.8583	NA	NA
GCA_001583545.1#1#LNAV01000161	10975	No terminal repeats	12	11	0.8915	NA	0	1.5240	NA	NA
GCA_001583545.1#1#LNAV01000068	20597	No terminal repeats	22	11	0.8452	NA	0	2.8056	NA	NA
GCA_001583545.1#1#LNAV01000037	35451	No terminal repeats	32	11	0.8135	NA	0	2.5548	NA	NF033068;NF033068
GCA_001583545.1#1#LNAV01000081	6106	DTR	7	11	0.8012	NA	0	0.9259	NA	NA
GCA_001583545.1#1#LNAV01000158	25982	No terminal repeats	21	11	0.7477	NA	0	1.3907	NA	NF000241
GCA_001583545.1#1#LNAV01000097	3251	No terminal repeats	5	11	0.7242	NA	0	0.3158	NA	NA
