genome_id,source,accession,species,scaffold,prophage_id,begin,end,transposable,taxonomy
1138383.42,BV-BRC,1138383.42,Mycobacterium paraintracellulare,accn|CP118870,accn|CP118870_prophage1,82291,90640,False,Unknown
1185650.1176,BV-BRC,1185650.1176,Mycobacteroides abscessus ATCC 19977,accn|CP119724,accn|CP119724_prophage1,210546,211225,False,Unknown
1185650.1176,BV-BRC,1185650.1176,Mycobacteroides abscessus ATCC 19977,accn|CP119724,accn|CP119724_prophage2,2369419,2403522,False,Siphoviridae
1185650.1176,BV-BRC,1185650.1176,Mycobacteroides abscessus ATCC 19977,accn|CP119724,accn|CP119724_prophage3,2408629,2419175,False,Siphoviridae
1185650.1307,BV-BRC,1185650.1307,Mycobacteroides abscessus ATCC 19977,accn|AP028613,accn|AP028613_prophage1,1751413,1761594,False,Siphoviridae
1185650.1307,BV-BRC,1185650.1307,Mycobacteroides abscessus ATCC 19977,accn|AP028613,accn|AP028613_prophage2,1767624,1803238,False,Siphoviridae
1185650.1308,BV-BRC,1185650.1308,Mycobacteroides abscessus ATCC 19977,accn|AP028617,accn|AP028617_prophage1,1753084,1761406,False,Siphoviridae
1185650.1308,BV-BRC,1185650.1308,Mycobacteroides abscessus ATCC 19977,accn|AP028617,accn|AP028617_prophage2,1767651,1802292,False,Siphoviridae
1185650.1309,BV-BRC,1185650.1309,Mycobacteroides abscessus ATCC 19977,accn|AP028621,accn|AP028621_prophage1,1751454,1761422,False,Siphoviridae
1185650.1309,BV-BRC,1185650.1309,Mycobacteroides abscessus ATCC 19977,accn|AP028621,accn|AP028621_prophage2,1767667,1802308,False,Siphoviridae
1185650.1310,BV-BRC,1185650.1310,Mycobacteroides abscessus ATCC 19977,accn|AP028625,accn|AP028625_prophage1,1751420,1761388,False,Siphoviridae
1185650.1310,BV-BRC,1185650.1310,Mycobacteroides abscessus ATCC 19977,accn|AP028625,accn|AP028625_prophage2,1767633,1803247,False,Siphoviridae
1185650.1311,BV-BRC,1185650.1311,Mycobacteroides abscessus ATCC 19977,accn|AP028629,accn|AP028629_prophage1,1751457,1761424,False,Siphoviridae
1185650.1311,BV-BRC,1185650.1311,Mycobacteroides abscessus ATCC 19977,accn|AP028629,accn|AP028629_prophage2,1767669,1803281,False,Siphoviridae
1185650.1312,BV-BRC,1185650.1312,Mycobacteroides abscessus ATCC 19977,accn|CP125773,accn|CP125773_prophage1,1751208,1764141,False,Siphoviridae
1185650.1312,BV-BRC,1185650.1312,Mycobacteroides abscessus ATCC 19977,accn|CP125773,accn|CP125773_prophage2,1770386,1805028,False,Siphoviridae
1185650.1312,BV-BRC,1185650.1312,Mycobacteroides abscessus ATCC 19977,accn|CP125773,accn|CP125773_prophage3,3476691,3483784,False,Siphoviridae
1185650.1312,BV-BRC,1185650.1312,Mycobacteroides abscessus ATCC 19977,accn|CP125773,accn|CP125773_prophage4,3489934,3529094,False,Siphoviridae
1185650.1313,BV-BRC,1185650.1313,Mycobacteroides abscessus ATCC 19977,accn|CP125774,accn|CP125774_prophage1,1625018,1638563,False,Siphoviridae
1185650.1315,BV-BRC,1185650.1315,Mycobacteroides abscessus ATCC 19977,accn|CP125776,accn|CP125776_prophage1,479548,509855,False,Siphoviridae
1185650.1315,BV-BRC,1185650.1315,Mycobacteroides abscessus ATCC 19977,accn|CP125776,accn|CP125776_prophage2,1830957,1839494,False,Siphoviridae
1185650.1315,BV-BRC,1185650.1315,Mycobacteroides abscessus ATCC 19977,accn|CP125776,accn|CP125776_prophage3,1845352,1889285,True,Siphoviridae
