prophage_id,ecor_strain,strain_index,assembly_accession,gca_accession,wgs_master,source_contig,contig_start,contig_end,length_bp,transposable,taxonomy,community,in_connected_component,cluster,genome,in_tree,tree_leaf_id,neighborhood_size,nearest_neighbor,nearest_neighbor_dist,contig_url,contig_fasta_url,assembly_url,neighborhood_png
GCF_003333385.1_prophage_1,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000012.1,3,28547,28545,0.0,Myoviridae,36312,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_1,56,GCF_000754845.1_prophage_3,0.018682,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000012.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000012.1?report=fasta&from=3&to=28547,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_1.png
GCF_003333385.1_prophage_2,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000015.1,1260,26413,25154,0.0,Siphoviridae,36313,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_2,57,GCF_018344655.1_prophage_4,0.000508,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000015.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000015.1?report=fasta&from=1260&to=26413,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_2.png
GCF_003333385.1_prophage_3,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000025.1,1306,18780,17475,0.0,Unknown,36314,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_3,44,GCF_009795605.1_prophage_3,0.054996,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000025.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000025.1?report=fasta&from=1306&to=18780,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_3.png
GCF_003333385.1_prophage_4,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000028.1,3509,45354,41846,0.0,Siphoviridae,36315,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_4,7,GCF_003290955.1_prophage_1,0.028538,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000028.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000028.1?report=fasta&from=3509&to=45354,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_4.png
GCF_003333385.1_prophage_5,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000030.1,41201,49047,7847,0.0,Unknown,36316,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_5,50,GCF_000326765.1_prophage_1,0.041892,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000030.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000030.1?report=fasta&from=41201&to=49047,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_5.png
GCF_003333385.1_prophage_6,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000047.1,16720,27053,10334,0.0,Myoviridae / Podoviridae,36317,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_6,47,GCF_900478515.1_prophage_6,0.009366,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000047.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000047.1?report=fasta&from=16720&to=27053,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_6.png
GCF_003333385.1_prophage_7,ECOR-71,71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,NZ_QOZD01000004.1,256470,258245,1776,0.0,Unknown,36318,0,,GCF_003333385.1,1,GCF_003333385.1_prophage_7,47,GCF_001911335.1_prophage_7,0.116455,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000004.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZD01000004.1?report=fasta&from=256470&to=258245,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333385.1,ecor_neighborhoods/GCF_003333385.1_prophage_7.png
GCF_003333425.1_prophage_1,ECOR-68,68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,NZ_QOZA01000001.1,189539,232069,42531,0.0,Myoviridae,36319,0,,GCF_003333425.1,1,GCF_003333425.1_prophage_1,52,GCF_002190025.1_prophage_5,0.01795,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000001.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000001.1?report=fasta&from=189539&to=232069,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333425.1,ecor_neighborhoods/GCF_003333425.1_prophage_1.png
GCF_003333425.1_prophage_2,ECOR-68,68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,NZ_QOZA01000022.1,61213,62382,1170,0.0,Unknown,36320,0,,GCF_003333425.1,1,GCF_003333425.1_prophage_2,40,GCF_002190025.1_prophage_3,0.0,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000022.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000022.1?report=fasta&from=61213&to=62382,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333425.1,ecor_neighborhoods/GCF_003333425.1_prophage_2.png
GCF_003333425.1_prophage_3,ECOR-68,68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,NZ_QOZA01000025.1,1,36385,36385,0.0,Myoviridae,36321,0,,GCF_003333425.1,1,GCF_003333425.1_prophage_3,10,GCF_002512675.1_prophage_4,0.004612,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000025.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_QOZA01000025.1?report=fasta&from=1&to=36385,https://www.ncbi.nlm.nih.gov/assembly/GCF_003333425.1,ecor_neighborhoods/GCF_003333425.1_prophage_3.png
