sequence,cluster,genome
GCF_000008865.2_prophage_1,9,GCF_000008865.2
GCF_000010385.1_prophage_6,19,GCF_000010385.1
GCF_000010765.1_prophage_9,2,GCF_000010765.1
GCF_000021125.1_prophage_11,15,GCF_000021125.1
GCF_000021125.1_prophage_18,1,GCF_000021125.1
GCF_000021125.1_prophage_9,2,GCF_000021125.1
GCF_000022345.1_prophage_1,1,GCF_000022345.1
GCF_000025165.1_prophage_1,1,GCF_000025165.1
GCF_000026545.1_prophage_8,9,GCF_000026545.1
GCF_000026545.1_prophage_9,20,GCF_000026545.1
GCF_000148365.1_prophage_1,2,GCF_000148365.1
GCF_000155125.1_prophage_6,2,GCF_000155125.1
GCF_000155125.1_prophage_9,3,GCF_000155125.1
GCF_000163215.1_prophage_3,12,GCF_000163215.1
GCF_000163235.1_prophage_3,3,GCF_000163235.1
GCF_000164435.1_prophage_2,10,GCF_000164435.1
GCF_000164475.1_prophage_1,20,GCF_000164475.1
GCF_000166535.2_prophage_7,15,GCF_000166535.2
GCF_000167895.3_prophage_1,20,GCF_000167895.3
GCF_000171915.1_prophage_1,3,GCF_000171915.1
GCF_000171935.1_prophage_13,2,GCF_000171935.1
GCF_000171935.1_prophage_9,2,GCF_000171935.1
GCF_000172055.1_prophage_4,1,GCF_000172055.1
GCF_000172055.1_prophage_5,2,GCF_000172055.1
GCF_000178755.1_prophage_2,16,GCF_000178755.1
GCF_000181775.1_prophage_4,2,GCF_000181775.1
GCF_000184185.1_prophage_7,13,GCF_000184185.1
GCF_000187365.1_prophage_1,16,GCF_000187365.1
GCF_000188875.1_prophage_8,14,GCF_000188875.1
GCF_000190895.1_prophage_1,1,GCF_000190895.1
GCF_000190995.1_prophage_4,4,GCF_000190995.1
GCF_000194335.1_prophage_4,4,GCF_000194335.1
GCF_000194335.1_prophage_8,17,GCF_000194335.1
GCF_000194415.1_prophage_10,16,GCF_000194415.1
GCF_000194575.1_prophage_10,12,GCF_000194575.1
GCF_000194665.1_prophage_9,11,GCF_000194665.1
GCF_000194685.1_prophage_3,10,GCF_000194685.1
GCF_000194725.1_prophage_8,3,GCF_000194725.1
GCF_000212715.2_prophage_12,20,GCF_000212715.2
GCF_000215185.1_prophage_5,1,GCF_000215185.1
GCF_000215225.1_prophage_4,3,GCF_000215225.1
GCF_000220005.1_prophage_4,2,GCF_000220005.1
GCF_000223015.1_prophage_3,3,GCF_000223015.1
GCF_000224395.1_prophage_2,17,GCF_000224395.1
GCF_000225185.2_prophage_3,1,GCF_000225185.2
GCF_000233675.1_prophage_4,10,GCF_000233675.1
GCF_000234605.1_prophage_3,15,GCF_000234605.1
GCF_000235065.1_prophage_2,1,GCF_000235065.1
GCF_000235065.1_prophage_4,1,GCF_000235065.1
GCF_000235125.1_prophage_1,20,GCF_000235125.1
GCF_000235125.1_prophage_2,1,GCF_000235125.1
GCF_000235145.1_prophage_9,12,GCF_000235145.1
GCF_000235205.1_prophage_7,7,GCF_000235205.1
GCF_000235265.1_prophage_4,1,GCF_000235265.1
GCF_000249115.1_prophage_11,10,GCF_000249115.1
GCF_000249235.1_prophage_1,13,GCF_000249235.1
GCF_000249255.1_prophage_1,10,GCF_000249255.1
GCF_000249755.1_prophage_8,17,GCF_000249755.1
GCF_000249855.1_prophage_7,3,GCF_000249855.1
GCF_000249875.1_prophage_5,15,GCF_000249875.1
GCF_000249935.1_prophage_2,12,GCF_000249935.1
GCF_000249935.1_prophage_7,3,GCF_000249935.1
GCF_000250135.1_prophage_10,1,GCF_000250135.1
GCF_000250195.1_prophage_10,1,GCF_000250195.1
GCF_000250375.1_prophage_4,15,GCF_000250375.1
GCF_000250575.1_prophage_1,13,GCF_000250575.1
GCF_000252805.1_prophage_2,20,GCF_000252805.1
GCF_000260475.1_prophage_5,16,GCF_000260475.1
GCF_000260475.1_prophage_9,15,GCF_000260475.1
GCF_000261405.1_prophage_1,1,GCF_000261405.1
GCF_000262125.1_prophage_3,1,GCF_000262125.1
GCF_000262125.1_prophage_7,2,GCF_000262125.1
GCF_000263915.1_prophage_5,10,GCF_000263915.1
GCF_000267085.1_prophage_3,3,GCF_000267085.1
GCF_000267085.1_prophage_6,7,GCF_000267085.1
GCF_000267105.1_prophage_5,3,GCF_000267105.1
GCF_000267125.1_prophage_1,10,GCF_000267125.1
GCF_000267185.1_prophage_15,12,GCF_000267185.1
GCF_000267785.2_prophage_3,15,GCF_000267785.2
GCF_000267885.2_prophage_2,13,GCF_000267885.2
GCF_000269645.1_prophage_2,7,GCF_000269645.1
GCF_000273425.1_prophage_3,4,GCF_000273425.1
GCF_000276745.1_prophage_3,7,GCF_000276745.1
GCF_000281775.1_prophage_1,7,GCF_000281775.1
GCF_000303235.2_prophage_1,16,GCF_000303235.2
GCF_000303795.2_prophage_1,16,GCF_000303795.2
GCF_000303815.2_prophage_1,7,GCF_000303815.2
GCF_000304055.2_prophage_7,7,GCF_000304055.2
GCF_000304115.2_prophage_2,10,GCF_000304115.2
GCF_000305155.2_prophage_1,9,GCF_000305155.2
GCF_000308975.1_prophage_1,8,GCF_000308975.1
GCF_000316405.2_prophage_3,20,GCF_000316405.2
GCF_000316865.2_prophage_2,3,GCF_000316865.2
GCF_000316905.2_prophage_2,10,GCF_000316905.2
GCF_000319835.1_prophage_1,1,GCF_000319835.1
GCF_000320035.1_prophage_7,12,GCF_000320035.1
GCF_000320115.1_prophage_3,15,GCF_000320115.1
GCF_000320175.1_prophage_4,15,GCF_000320175.1
GCF_000326445.1_prophage_2,11,GCF_000326445.1
GCF_000326505.1_prophage_1,7,GCF_000326505.1
GCF_000326525.1_prophage_2,10,GCF_000326525.1
GCF_000326525.1_prophage_3,1,GCF_000326525.1
GCF_000326585.1_prophage_4,11,GCF_000326585.1
GCF_000326725.1_prophage_2,1,GCF_000326725.1
GCF_000326925.1_prophage_4,7,GCF_000326925.1
GCF_000335135.1_prophage_1,20,GCF_000335135.1
GCF_000335195.2_prophage_7,11,GCF_000335195.2
GCF_000335335.2_prophage_2,13,GCF_000335335.2
GCF_000350005.1_prophage_1,15,GCF_000350005.1
GCF_000350045.2_prophage_3,2,GCF_000350045.2
GCF_000350905.1_prophage_4,5,GCF_000350905.1
GCF_000350945.1_prophage_2,2,GCF_000350945.1
GCF_000351045.1_prophage_4,1,GCF_000351045.1
GCF_000351125.1_prophage_2,10,GCF_000351125.1
GCF_000351165.1_prophage_4,13,GCF_000351165.1
GCF_000351225.1_prophage_7,18,GCF_000351225.1
GCF_000351265.1_prophage_1,1,GCF_000351265.1
GCF_000351345.1_prophage_4,12,GCF_000351345.1
GCF_000351425.1_prophage_3,1,GCF_000351425.1
GCF_000351465.1_prophage_9,11,GCF_000351465.1
GCF_000351525.1_prophage_1,8,GCF_000351525.1
GCF_000351685.1_prophage_3,12,GCF_000351685.1
GCF_000352225.1_prophage_3,7,GCF_000352225.1
GCF_000352285.1_prophage_1,14,GCF_000352285.1
GCF_000352325.1_prophage_2,16,GCF_000352325.1
GCF_000352685.1_prophage_3,5,GCF_000352685.1
GCF_000352985.1_prophage_5,20,GCF_000352985.1
GCF_000353165.1_prophage_4,8,GCF_000353165.1
GCF_000353165.1_prophage_7,3,GCF_000353165.1
GCF_000354355.2_prophage_4,14,GCF_000354355.2
GCF_000354735.2_prophage_1,1,GCF_000354735.2
GCF_000354775.2_prophage_4,14,GCF_000354775.2
GCF_000354855.1_prophage_5,12,GCF_000354855.1
GCF_000354915.1_prophage_2,12,GCF_000354915.1
GCF_000354935.2_prophage_3,16,GCF_000354935.2
GCF_000354935.2_prophage_4,12,GCF_000354935.2
GCF_000355215.2_prophage_4,15,GCF_000355215.2
GCF_000355255.2_prophage_2,10,GCF_000355255.2
GCF_000355295.1_prophage_3,20,GCF_000355295.1
GCF_000355295.1_prophage_5,2,GCF_000355295.1
GCF_000355355.1_prophage_3,2,GCF_000355355.1
GCF_000355475.2_prophage_4,3,GCF_000355475.2
GCF_000356245.1_prophage_5,3,GCF_000356245.1
GCF_000356285.2_prophage_2,3,GCF_000356285.2
