clade_id	n_members	status	ancestral	length	n_source_genomes	host_clades	species
0_0000	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0001	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0002	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0003	100	ml	yes	150000	97	host_clade_0001	Mycobacteroides abscessus
0_0004	100	ml	yes	150000	93	host_clade_0001	Mycobacteroides abscessus
0_0005	100	ml	yes	150000	99	host_clade_0001	Mycobacteroides abscessus
0_0006	100	ml	yes	149999	100	host_clade_0001	Mycobacteroides abscessus
0_0007	100	ml	yes	149948	100	host_clade_0001	Mycobacteroides abscessus
0_0008	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0009	100	ml	yes	149839	100	host_clade_0001	Mycobacteroides abscessus
0_0010	100	ml	yes	149995	100	host_clade_0001	Mycobacteroides abscessus
0_0011	100	ml	yes	149914	100	host_clade_0001	Mycobacteroides abscessus
0_0012	100	ml	yes	149660	100	host_clade_0001	Mycobacteroides abscessus
0_0013	100	ml	yes	149999	100	host_clade_0001	Mycobacteroides abscessus
0_0014	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0015	100	ml	yes	150000	98	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0016	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0017	100	ml	yes	150000	99	host_clade_0001,host_clade_0019,host_clade_0179	Mycobacterium sp.,Mycobacterium sp. D16Q16,Mycobacteroides abscessus
0_0018	66	ml	yes	150000	64	host_clade_0001,host_clade_0019,host_clade_0059,host_clade_0097	Mycobacteriaceae bacterium NPDC060252,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0019	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0020	100	ml	yes	150000	99	host_clade_0001	Mycobacteroides abscessus
0_0021	100	ml	yes	150000	97	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0022	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0023	59	ml	yes	150000	58	host_clade_0001,host_clade_0038	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0024	100	ml	yes	150000	93	host_clade_0001,host_clade_0019,host_clade_0097,host_clade_0179	Mycobacterium sp. D16Q16,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0025	100	ml	yes	149992	100	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0026	100	ml	yes	149939	100	host_clade_0001	Mycobacteroides abscessus
0_0027	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0028	100	ml	yes	149989	100	host_clade_0001	Mycobacteroides abscessus
0_0029	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0030	100	ml	yes	149995	100	host_clade_0001	Mycobacteroides abscessus
0_0031	34	ml	yes	150000	34	host_clade_0001,host_clade_0003,host_clade_0006,host_clade_0013,host_clade_0015,host_clade_0020	Mycobacterium avium,Mycobacterium farcinogenes,Mycobacterium sp. 20-525
0_0032	100	ml	yes	150000	95	host_clade_0001,host_clade_0147	Mycobacteroides abscessus,Mycobacteroides saopaulense
0_0033	100	ml	yes	149972	96	host_clade_0001	Mycobacteroides abscessus
0_0034	8	ml	yes	115630	8	host_clade_0030,host_clade_0084,host_clade_0127,host_clade_0430	Mycobacterium hackensackense,Mycobacterium sp. NGS35,Mycolicibacterium canariasense
0_0035	100	ml	yes	149982	100	host_clade_0001	Mycobacteroides abscessus
0_0036	100	ml	yes	149729	100	host_clade_0001	Mycobacteroides abscessus
0_0037	100	ml	yes	149999	99	host_clade_0001,host_clade_0108	Mycobacterium sp. D16Q20,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0038	93	ml	yes	150000	93	host_clade_0001,host_clade_0038,host_clade_0059	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0039	100	ml	yes	149998	96	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides sp. H003,Mycobacteroides sp. H063
0_0040	100	ml	yes	149998	100	host_clade_0001	Mycobacteroides abscessus
0_0041	100	ml	yes	149999	100	host_clade_0001,host_clade_0019,host_clade_0313	Mycobacterium sp. NPDC050853,Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0042	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0043	48	ml	yes	149709	48	host_clade_0001	Mycobacteroides abscessus
0_0044	55	ml	yes	150000	46	host_clade_0001,host_clade_0038,host_clade_0059	Mycobacterium sp.,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0045	100	ml	yes	150000	100	host_clade_0001	Mycobacteroides abscessus
0_0046	100	ml	yes	150000	99	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0047	4	ml	yes	55727	4	host_clade_0001,host_clade_0057,host_clade_0432	Mycobacterium marseillense,Mycobacterium sp. WMMD1722,Mycobacteroides abscessus
0_0048	46	ml	yes	149747	36	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0049	100	ml	yes	149999	100	host_clade_0001	Mycobacteroides abscessus
0_0050	100	ml	yes	150000	98	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0051	100	ml	yes	150000	100	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0052	100	ml	yes	149982	100	host_clade_0001	Mycobacteroides abscessus
0_0053	100	ml	yes	150000	99	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides sp. HXVII
0_0054	65	ml	yes	150000	59	host_clade_0001,host_clade_0038,host_clade_0059,host_clade_0072,host_clade_0097,host_clade_0108,host_clade_0147,host_clade_0226,host_clade_0798	Mycobacterium adipatum,Mycobacterium sp.,Mycobacterium sp. D16Q14
0_0055	100	ml	yes	150000	97	host_clade_0001,host_clade_0019,host_clade_0038,host_clade_0281	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0056	100	ml	yes	149999	100	host_clade_0001	Mycobacteroides abscessus
0_0057	81	ml	yes	150000	81	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0058	20	ml	yes	95293	20	host_clade_0001,host_clade_0019,host_clade_0313	Mycobacteroides abscessus,Mycobacteroides immunogenum,Mycobacteroides sp. LB1
0_0059	100	ml	yes	150000	97	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0060	100	ml	yes	150000	99	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0061	3	ml	yes	17027	3	host_clade_0001,host_clade_0006	Mycobacteroides abscessus,Mycolicibacterium fortuitum
0_0062	82	ml	yes	150000	76	host_clade_0001,host_clade_0019,host_clade_0038,host_clade_0097,host_clade_0530	Mycobacterium sp.,Mycobacterium sp. NGS15,Mycobacteroides abscessus
0_0063	21	ml	yes	106066	20	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides sp. H001
0_0064	100	ml	yes	149866	92	host_clade_0001,host_clade_0179	Mycobacterium sp. 96-892,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0065	100	ml	yes	150000	100	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum,Mycobacteroides sp. H003
0_0066	25	ml	yes	77376	25	host_clade_0001,host_clade_0038	Mycobacteroides abscessus,Mycobacteroides franklinii
0_0067	1	singleton	n/a	40602	1	host_clade_0108	Mycobacterium sp. D16Q14
0_0068	100	ml	yes	150000	100	host_clade_0001,host_clade_0002,host_clade_0005,host_clade_0006	Mycobacterium intracellulare,Mycobacterium marinum,Mycobacterium sp. H4Y
0_0069	55	ml	yes	149991	54	host_clade_0001,host_clade_0108	Mycobacterium sp. D16Q14,Mycobacteroides abscessus
0_0070	77	ml	yes	150000	77	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides immunogenum
0_0071	70	ml	yes	150000	64	host_clade_0001	Mycobacteroides abscessus
0_0072	47	ml	yes	150000	45	host_clade_0001,host_clade_0313	Mycobacterium sp. NPDC050853,Mycobacteroides abscessus
0_0073	63	ml	yes	149957	62	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0074	100	ml	yes	149674	100	host_clade_0001	Mycobacteroides abscessus
0_0075	100	ml	yes	150000	100	host_clade_0001,host_clade_0003,host_clade_0005,host_clade_0006,host_clade_0015,host_clade_0022,host_clade_0023,host_clade_0030,host_clade_0031,host_clade_0032,host_clade_0056,host_clade_0069,host_clade_0079,host_clade_0083,host_clade_0084,host_clade_0104,host_clade_0105,host_clade_0120,host_clade_0133,host_clade_0162,host_clade_0166,host_clade_0170,host_clade_0208,host_clade_0229,host_clade_0290,host_clade_0327,host_clade_0330,host_clade_0335,host_clade_0409,host_clade_0626,host_clade_0673	Mycobacterium avium,Mycobacterium colombiense,Mycobacterium gordonae
0_0076	33	ml	yes	149995	33	host_clade_0001,host_clade_0097	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides salmoniphilum
0_0077	100	ml	yes	149999	99	host_clade_0001	Mycobacteroides abscessus
0_0078	78	ml	yes	149942	78	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides sp. H092
0_0079	12	ml	yes	126433	12	host_clade_0001,host_clade_0038	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0080	9	ml	yes	68231	9	host_clade_0001,host_clade_0179	Mycobacterium sp. D16Q16,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0081	1	singleton	n/a	5798	1	host_clade_0001	Mycobacteroides abscessus
0_0082	10	ml	yes	65597	10	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides sp. H079,Mycobacteroides sp. H092
0_0083	49	ml	yes	149998	49	host_clade_0001	Mycobacteroides abscessus
0_0084	100	ml	yes	149998	92	host_clade_0001	Mycobacteroides abscessus
0_0085	6	ml	yes	56741	6	host_clade_0001	Mycobacteroides chelonae,Mycobacteroides sp. H063,Mycobacteroides sp. H092
0_0086	100	ml	yes	149809	100	host_clade_0004	Mycobacterium kansasii
0_0087	80	ml	yes	149797	80	host_clade_0004	Mycobacterium kansasii
0_0088	16	ml	yes	29125	16	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0089	40	ml	yes	150000	38	host_clade_0001,host_clade_0038	Mycobacteroides abscessus,Mycobacteroides chelonae,Mycobacteroides franklinii
0_0090	44	ml	yes	149954	44	host_clade_0001,host_clade_0042	Mycobacteroides abscessus,Mycolicibacterium obuense
0_0091	9	ml	yes	149998	9	host_clade_0001	Mycobacteroides abscessus
0_0092	21	ml	yes	14798	21	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0093	36	ml	yes	149997	34	host_clade_0001	Mycobacteroides abscessus,Mycobacteroides chelonae
0_0094	38	ml	yes	149658	38	host_clade_0001,host_clade_0019	Mycobacteroides abscessus,Mycobacteroides immunogenum
0_0095	9	ml	yes	149729	8	host_clade_0022,host_clade_0031,host_clade_0032,host_clade_0049,host_clade_0196,host_clade_0441,host_clade_0443	Mycobacterium conspicuum,Mycobacterium gordonae,Mycobacterium kiyosense
0_0096	4	ml	yes	35057	4	host_clade_0001,host_clade_0850	Mycobacteroides chelonae
0_0097	29	ml	yes	103875	29	host_clade_0001	Mycobacteroides abscessus
