genome_id	clade_id	length	flag	completeness_pct	host_genes	functional_tier_note	n_accessions_screened	n_screen_hits_ge_0.7_any_bait	n_baits_with_hits	best_kmer_cov	best_accession	sra_evidence_category
ecoli_ml|clade_0_0000_ML	clade_0_0000_ML	106696	host_genes	100.0	9		15105	3220	4	1.0000	SRR9984633	SRA_screen_hit (4 bait(s); see confirm classifications)
ecoli_ml|clade_0_0001_ML	clade_0_0001_ML	166012	host_genes	100.0	18		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0002_ML	clade_0_0002_ML	102688	host_genes	97.28	10		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0003_ML	clade_0_0003_ML	97059	host_genes	100.0	8		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0004_ML	clade_0_0004_ML	107441	contamination;host_genes	100.0	15		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0005_ML	clade_0_0005_ML	100656	host_genes	100.0	10		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0006_ML	clade_0_0006_ML	131268	host_genes	99.46	5		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0007_ML	clade_0_0007_ML	91877	host_genes	100.0	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0008_ML	clade_0_0008_ML	102392	host_genes	98.57	9		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0009_ML	clade_0_0009_ML	85632	host_genes	96.38	2		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0010_ML	clade_0_0010_ML	187603	host_genes	100.0	19		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0011_ML	clade_0_0011_ML	112348	host_genes	98.13	1		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0012_ML	clade_0_0012_ML	109563	host_genes	98.24	6		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0013_ML	clade_0_0013_ML	120718	host_genes	100.0	12		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0014_ML	clade_0_0014_ML	102563	ok	100.0	0		15105	269	3	1.0000	SRR8871838	SRA_screen_hit (3 bait(s); see confirm classifications)
ecoli_ml|clade_0_0015_ML	clade_0_0015_ML	135769	host_genes	100.0	10		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0016_ML	clade_0_0016_ML	95049	host_genes	100.0	7		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0017_ML	clade_0_0017_ML	108038	ok	100.0	0		15105	0	0	0.0000		no hit (not detected in screened subset)
ecoli_ml|clade_0_0018_ML	clade_0_0018_ML	103939	host_genes	100.0	6		15105	0	0	0.0000		no hit (not detected in screened subset)
