host	n_clades
GCF_000194335.1	25
GCF_001039215.2	23
GCF_000172015.1	21
GCF_001039155.2	21
GCF_000171935.1	20
GCF_000703225.1	20
GCF_000181735.1	19
GCF_000181755.1	19
GCF_000194535.1	19
GCF_000220005.1	19
GCF_000513035.1	19
GCF_000978845.2	19
GCF_001039075.2	19
GCF_000172035.1	18
GCF_000181775.1	18
GCF_000188835.1	18
GCF_000520035.1	18
GCF_000671295.1	18
GCF_000703325.1	18
GCF_000936475.1	18
GCF_000986635.1	18
GCF_001039135.2	18
GCF_000010765.1	17
GCF_000021125.1	17
GCF_000022225.1	17
GCF_000091005.1	17
GCF_000155125.1	17
GCF_000171915.1	17
GCF_000703245.1	17
GCF_000803705.1	17
GCF_000940355.1	17
GCF_000978815.2	17
GCF_001039125.2	17
GCF_001039145.2	17
GCF_001420935.1	17
GCF_001558995.2	17
GCF_000171995.1	16
GCF_000194215.1	16
GCF_000194495.1	16
GCF_000730345.1	16
GCF_000939255.1	16
GCF_000945955.1	16
GCF_001516935.2	16
GCF_000171955.1	15
GCF_000172055.1	15
GCF_000192685.1	15
GCF_000193955.1	15
GCF_000215165.1	15
GCF_000260475.1	15
GCF_000703205.1	15
GCF_000752115.1	15
GCF_000951855.1	15
GCF_000951875.1	15
GCF_001264215.1	15
GCF_001284285.1	15
GCF_001563715.2	15
GCF_000008865.2	14
GCF_000171975.1	14
GCF_000194175.1	14
GCF_000194395.1	14
GCF_000194725.1	14
GCF_000215205.1	14
GCF_000225185.2	14
GCF_000227625.1	14
GCF_000249955.1	14
GCF_000267165.1	14
GCF_000267185.1	14
GCF_000617085.1	14
GCF_000703305.1	14
GCF_000732965.1	14
GCF_000936225.1	14
GCF_000951835.2	14
GCF_001005685.1	14
GCF_001039205.2	14
GCF_001266005.1	14
GCF_000006665.1	13
GCF_000167915.2	13
GCF_000249115.1	13
GCF_000249275.1	13
GCF_000249535.1	13
GCF_000267145.1	13
GCF_000407805.1	13
GCF_000462085.2	13
GCF_000462465.2	13
GCF_000618905.3	13
GCF_000695115.1	13
GCF_000752755.1	13
GCF_000946475.1	13
GCF_001283405.1	13
GCF_001285845.1	13
GCF_000010745.1	12
GCF_000026345.1	12
GCF_000176555.2	12
GCF_000249875.1	12
GCF_000250095.1	12
GCF_000250135.1	12
GCF_000250275.1	12
GCF_000261385.1	12
GCF_000267105.1	12
GCF_000302715.1	12
GCF_000351025.1	12
GCF_000354735.2	12
GCF_000456365.1	12
GCF_000457005.1	12
GCF_000461915.2	12
GCF_000461935.2	12
GCF_000462425.2	12
GCF_000703285.1	12
GCF_000951935.1	12
GCF_001039225.2	12
GCF_001263065.1	12
GCF_001284625.1	12
GCF_001307215.1	12
GCF_001440045.1	12
GCF_001471815.2	12
GCF_000025165.1	11
GCF_000025745.1	11
GCF_000026545.1	11
GCF_000166535.2	11
GCF_000167855.1	11
GCF_000167875.2	11
GCF_000168095.1	11
GCF_000183005.1	11
GCF_000188875.1	11
GCF_000190895.1	11
GCF_000194355.1	11
GCF_000194575.1	11
GCF_000194645.1	11
GCF_000212715.2	11
GCF_000223015.1	11
GCF_000249095.1	11
GCF_000249335.1	11
GCF_000249575.1	11
GCF_000249595.1	11
GCF_000249915.1	11
GCF_000249935.1	11
GCF_000250115.1	11
GCF_000262125.1	11
GCF_000267065.1	11
GCF_000302735.1	11
GCF_000407845.1	11
GCF_000407965.1	11
GCF_000407985.1	11
GCF_000408105.1	11
GCF_000408425.1	11
GCF_000408645.1	11
GCF_000456385.1	11
GCF_000457655.1	11
GCF_000459795.1	11
GCF_000462025.2	11
GCF_000488135.1	11
GCF_000520055.1	11
GCF_000619025.1	11
GCF_000695135.1	11
GCF_000752135.1	11
GCF_000752595.1	11
GCF_000752695.1	11
GCF_000753135.1	11
GCF_000782195.1	11
GCF_000814525.1	11
GCF_000816865.1	11
GCF_000935905.1	11
GCF_000937095.2	11
GCF_000940655.1	11
GCF_000943355.2	11
GCF_000948055.1	11
GCF_001007915.1	11
GCF_001030675.1	11
GCF_001262965.1	11
GCF_001264175.1	11
GCF_001265155.1	11
GCF_001265885.1	11
GCF_001266075.1	11
GCF_001285005.1	11
GCF_000026305.1	10
GCF_000166615.1	10
GCF_000167895.3	10
GCF_000190815.1	10
GCF_000194415.1	10
GCF_000194435.1	10
GCF_000194665.1	10
GCF_000225145.1	10
GCF_000225225.1	10
GCF_000245515.1	10
GCF_000249175.1	10
GCF_000249255.1	10
GCF_000249855.1	10
GCF_000249975.1	10
GCF_000250175.1	10
GCF_000250195.1	10
GCF_000250215.1	10
GCF_000267045.1	10
GCF_000299255.1	10
GCF_000350665.1	10
GCF_000350785.1	10
GCF_000350885.1	10
GCF_000351225.1	10
GCF_000351465.1	10
GCF_000351665.1	10
GCF_000355295.1	10
