cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
1	10	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	1	occ-v1-407a3ae4947fad192710d6e6	EXACT_VERSION_RESOLVED	current	stage_b_certainty	1	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_single_or_minimum,assembly_size_minimum,prophage_interval_bounded_sentinel_scope,source_contig_role	3e246273a2566fc0cd1954406fee848dad1abd2cc7170d449119f206fc4ad833	d3fa01a61f89b40847c1c9b890f8fd5a19d89ab40aef198cded98846237d328e
2	10	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	2609	occ-v1-1e689503b0ebab065cf5befe	EXACT_VERSION_RESOLVED	current	stage_b_certainty	2	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope,source_contig_role	e50806635f89f61ee4da59669ac4a9738f87826cc3cb76a3bfce6255edbd3761	237841fc8ab31629ac3d29a572d72410b75e072c9283ca9083b29c8379e98448
3	10	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	6520	occ-v1-b85a853ae914b114e287ece3	EXACT_VERSION_RESOLVED	current	stage_b_certainty	3	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	bae0b9cf8be0452ee9494556284abe92a8f4b5731074741419ae5907daa353ab	403a45cfb22b365c2d04bad39374bb3c960d613200ebb4f9c498c02d6c3acbc6
4	10	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	13039	occ-v1-323585934c2f7be78c5a370d	EXACT_VERSION_RESOLVED	current	stage_b_certainty	4	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	9dfa087e927128511bc0e55717ac36537799e381221b133c25927c34981e6914	073e68ead55cadcaa1bb528733c2654ddefc7b947a79530c7898939b67da1493
5	10	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	19558	occ-v1-b7a5d14de386c381198be442	EXACT_VERSION_RESOLVED	current	stage_b_certainty	5	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	1723803ae21f96d18ddda809d033d8e7374a3c5de88be2d624d62d58dd90f9cf	95505a7f438f8019e7cf7d4eff0bed3282cf2017c36041aef2807e705a168920
6	10	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	23469	occ-v1-5b60784ab03121fe1814c726	EXACT_VERSION_RESOLVED	current	stage_b_certainty	6	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	4a0a479f7a780e82b3b72a3f421aee26085976561ed3dd6ac343c6561f5bf056	81311cef951101834cfb40827327bef32ca493a158cc04ab75a160212d7dd13f
7	10	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	26077	occ-v1-dd3066d7889d096688487ef9	EXACT_VERSION_RESOLVED	current	stage_b_certainty	7	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	b9e8dc3f20d9f5349cde4c09a90df32429c74f3b08a2387336441f158e9e902b	18166090738348bcaa8f37f293bcd151b8e2ef34a1856e05fa39e3ffaef55609
8	10	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	80	occ-v1-b391fbe177a99da3a58b5152	EXACT_VERSION_VALID_METADATA_UNAVAILABLE	METADATA_UNAVAILABLE	stage_b_certainty	8	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_maximum,assembly_size_maximum,prophage_interval_bounded_sentinel_scope	839c210463df3c723e5e5f9c74168507ad952f6f4758fccf2cf4a877cb2bd285	34378deeb8b692aec841b12eba3157feba9058f6c34fe4a461ead9ecfa45e758
9	10	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	4531	occ-v1-bf5407c5824cb46f9619b1cb	EXACT_VERSION_RESOLVED	current	stage_b_certainty	9	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	c73d392ca0003c3909cd829c8ae9f0b586962c10a352aac6f0f4b643f593891f	88ec78a03a2528a446898da3636444653d6383157080cbd967be7597a9dd1231
10	10	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	1506	occ-v1-cd6775a87ea5decc4d7ddde8	EXACT_VERSION_RESOLVED	current	stage_b_certainty	10	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	1edbcbb286f667684caa6e72c8a43265243a29cbec56c9863869b0bc513773e5	30a2230054f5dc3aed5d30ccd6abcad0385241792d96f2ec294295f948dbc801
