clade_id	community	n_members	n_partitions	length_bp	status	n_genomes	source_genomes
0_0000	0	100	2401	106696	ml	100	GCF_000021125.1,GCF_000022225.1,GCF_000148365.1,GCF_000159295.1,GCF_000164295.1,GCF_000164435.1,GCF_000164535.1,GCF_000171915.1,GCF_000171935.1,GCF_000171955.1,GCF_000181735.1,GCF_000181755.1,GCF_000181775.1,GCF_000259695.1,GCF_000326225.1,GCF_000331615.1,GCF_000350745.1,GCF_000350845.1,GCF_000350865.1,GCF_000351205.1,GCF_000351305.1,GCF_000352385.1,GCF_000353105.1,GCF_000456185.1,GCF_000456785.1,GCF_000456905.1,GCF_000456965.1,GCF_000457045.1,GCF_000457325.1,GCF_000457385.1,GCF_000457435.1,GCF_000457575.1,GCF_000458015.1,GCF_000458115.1,GCF_000458335.1,GCF_000458355.1,GCF_000458605.1,GCF_000458765.1,GCF_000459415.1,GCF_000459515.1,GCF_000459615.1,GCF_000459755.1,GCF_000460175.1,GCF_000460215.1,GCF_000460415.1,GCF_000460535.1,GCF_000460575.1,GCF_000460615.1,GCF_000460815.1,GCF_000460915.1,GCF_000460955.1,GCF_000460995.1,GCF_000461055.1,GCF_000461275.1,GCF_000461355.1,GCF_000461655.1,GCF_000463605.1,GCF_000488475.1,GCF_000494975.1,GCF_000507625.1,GCF_000703845.1,GCF_000704585.1,GCF_000711435.1,GCF_000711455.1,GCF_000713455.1,GCF_000713495.1,GCF_000713585.1,GCF_000730345.1,GCF_000776455.1,GCF_000777135.1,GCF_000777415.1,GCF_000777435.1,GCF_000777605.1,GCF_000777835.1,GCF_000777845.1,GCF_000777895.1,GCF_000778075.1,GCF_000778095.1,GCF_000778335.1,GCF_000778415.1,GCF_000779025.1,GCF_000779125.1,GCF_000779255.1,GCF_000779545.1,GCF_000779795.1,GCF_000780195.1,GCF_000780675.1,GCF_000780775.1,GCF_000781175.1,GCF_000781355.1,GCF_000803705.1,GCF_000978845.2,GCF_001471755.2,GCF_001519645.1,GCF_001520215.1,GCF_001520815.2,GCF_001520895.1,GCF_001521015.1,GCF_001558995.2,GCF_001562835.1
0_0001	0	100	2551	166012	ml	100	GCF_000006665.1,GCF_000008865.2,GCF_000091005.1,GCF_000164575.1,GCF_000171975.1,GCF_000171995.1,GCF_000194175.1,GCF_000194495.1,GCF_000194685.1,GCF_000194725.1,GCF_000233875.1,GCF_000233895.1,GCF_000249515.1,GCF_000249895.1,GCF_000249915.1,GCF_000249955.1,GCF_000249975.1,GCF_000250095.1,GCF_000317395.1,GCF_000326385.1,GCF_000350965.1,GCF_000351045.1,GCF_000351825.1,GCF_000351905.1,GCF_000353025.1,GCF_000354795.2,GCF_000355175.1,GCF_000408085.1,GCF_000408105.1,GCF_000408125.1,GCF_000414155.2,GCF_000456065.1,GCF_000456405.1,GCF_000456485.1,GCF_000456565.1,GCF_000456625.1,GCF_000456865.1,GCF_000457105.1,GCF_000457265.1,GCF_000457345.1,GCF_000457515.1,GCF_000457555.1,GCF_000457635.1,GCF_000457655.1,GCF_000457675.1,GCF_000457695.1,GCF_000457755.1,GCF_000457915.1,GCF_000458095.1,GCF_000458135.1,GCF_000458235.1,GCF_000458395.1,GCF_000458415.1,GCF_000458435.1,GCF_000458535.1,GCF_000459295.1,GCF_000459395.1,GCF_000459535.1,GCF_000461635.1,GCF_000462465.2,GCF_000616285.1,GCF_000619105.1,GCF_000627075.1,GCF_000627155.1,GCF_000627195.1,GCF_000687025.1,GCF_000700485.1,GCF_000700545.1,GCF_000703205.1,GCF_000703225.1,GCF_000703245.1,GCF_000703325.1,GCF_000732965.1,GCF_000743255.1,GCF_000776915.1,GCF_000778235.1,GCF_000781045.1,GCF_000936125.1,GCF_000936635.1,GCF_000940655.1,GCF_000951835.2,GCF_000951855.1,GCF_001030285.1,GCF_001030435.1,GCF_001030445.1,GCF_001039075.2,GCF_001039125.2,GCF_001039135.2,GCF_001039205.2,GCF_001191315.1,GCF_001264215.1,GCF_001266005.1,GCF_001277395.1,GCF_001277475.1,GCF_001283725.1,GCF_001284205.1,GCF_001285225.1,GCF_001285325.1,GCF_001516935.2,GCF_001521315.1
0_0002	0	100	2132	102688	ml	99	GCF_000006665.1,GCF_000025165.1,GCF_000026305.1,GCF_000091005.1,GCF_000157115.2,GCF_000163235.1,GCF_000167875.2,GCF_000176695.2,GCF_000193995.1,GCF_000215205.1,GCF_000215225.1,GCF_000242035.1,GCF_000245515.1,GCF_000250175.1,GCF_000285375.1,GCF_000304035.2,GCF_000305175.1,GCF_000305355.1,GCF_000350645.1,GCF_000350825.1,GCF_000350845.1,GCF_000351105.1,GCF_000351245.1,GCF_000351505.1,GCF_000351745.1,GCF_000352365.1,GCF_000352465.1,GCF_000352605.1,GCF_000353125.1,GCF_000355195.2,GCF_000355215.2,GCF_000358795.2,GCF_000446605.2,GCF_000456085.1,GCF_000456205.1,GCF_000456265.1,GCF_000456425.1,GCF_000456505.1,GCF_000457025.1,GCF_000457205.1,GCF_000457715.1,GCF_000457835.1,GCF_000457935.1,GCF_000458845.1,GCF_000459035.1,GCF_000459075.1,GCF_000459255.1,GCF_000459275.1,GCF_000459375.1,GCF_000459475.1,GCF_000460195.1,GCF_000460775.1,GCF_000460795.1,GCF_000461495.1,GCF_000461775.1,GCF_000465155.1,GCF_000492655.1,GCF_000495055.1,GCF_000503595.1,GCF_000503655.1,GCF_000617325.1,GCF_000618905.3,GCF_000622875.2,GCF_000627795.1,GCF_000627855.1,GCF_000687045.1,GCF_000692475.1,GCF_000711525.1,GCF_000752495.1,GCF_000753155.1,GCF_000776045.1,GCF_000776235.1,GCF_000776315.1,GCF_000777265.1,GCF_000778035.1,GCF_000778465.1,GCF_000817345.1,GCF_000831715.2,GCF_000936475.1,GCF_000936635.1,GCF_000951835.2,GCF_000965545.1,GCF_000965575.1,GCF_001039075.2,GCF_001039125.2,GCF_001039135.2,GCF_001262455.1,GCF_001265795.1,GCF_001266115.1,GCF_001266435.1,GCF_001268645.1,GCF_001269125.1,GCF_001283185.1,GCF_001283265.1,GCF_001283365.1,GCF_001419895.1,GCF_001462925.1,GCF_001519675.1,GCF_001520195.1
0_0003	0	100	2260	97059	ml	99	GCF_000013265.1,GCF_000014845.1,GCF_000025745.1,GCF_000026285.1,GCF_000148605.1,GCF_000163215.1,GCF_000171995.1,GCF_000172035.1,GCF_000190895.1,GCF_000194295.2,GCF_000194725.1,GCF_000241975.1,GCF_000249855.1,GCF_000250275.1,GCF_000307205.1,GCF_000313425.1,GCF_000332755.1,GCF_000350665.1,GCF_000351145.1,GCF_000352265.1,GCF_000352405.1,GCF_000352545.1,GCF_000353145.1,GCF_000353165.1,GCF_000356065.2,GCF_000356585.2,GCF_000408285.1,GCF_000408305.1,GCF_000446945.2,GCF_000456005.1,GCF_000456045.1,GCF_000456465.1,GCF_000456665.1,GCF_000456725.1,GCF_000456765.1,GCF_000457065.1,GCF_000457145.1,GCF_000457455.1,GCF_000458155.1,GCF_000458575.1,GCF_000458685.1,GCF_000458895.1,GCF_000458975.1,GCF_000459215.1,GCF_000460655.1,GCF_000461035.1,GCF_000461155.1,GCF_000461255.1,GCF_000461435.1,GCF_000461455.1,GCF_000461595.1,GCF_000461835.1,GCF_000462025.2,GCF_000488095.1,GCF_000493595.2,GCF_000503255.1,GCF_000512625.1,GCF_000522385.1,GCF_000633655.1,GCF_000690815.1,GCF_000700145.1,GCF_000704425.1,GCF_000714915.1,GCF_000776655.1,GCF_000777025.1,GCF_000778315.1,GCF_000778355.1,GCF_000779425.1,GCF_000798495.1,GCF_000806265.1,GCF_000812325.1,GCF_000812345.1,GCF_000812365.1,GCF_000946475.1,GCF_000965665.1,GCF_001012535.1,GCF_001021595.1,GCF_001021615.1,GCF_001030665.1,GCF_001182885.1,GCF_001191295.1,GCF_001266075.1,GCF_001266255.1,GCF_001266305.1,GCF_001266405.1,GCF_001268305.1,GCF_001277435.1,GCF_001280325.1,GCF_001280345.1,GCF_001286465.1,GCF_001448025.1,GCF_001515725.1,GCF_001519135.1,GCF_001519195.1,GCF_001519555.1,GCF_001519735.1,GCF_001519755.1,GCF_001520775.2,GCF_001521155.1
0_0004	0	100	1888	107441	ml	100	GCF_000017745.1,GCF_000026325.1,GCF_000172015.1,GCF_000179115.1,GCF_000215285.1,GCF_000233675.1,GCF_000250295.1,GCF_000250515.1,GCF_000250535.1,GCF_000250555.1,GCF_000250575.1,GCF_000268205.1,GCF_000313405.1,GCF_000351885.1,GCF_000352825.1,GCF_000354875.1,GCF_000355115.2,GCF_000355495.2,GCF_000356105.2,GCF_000356645.2,GCF_000356745.2,GCF_000357185.2,GCF_000357305.2,GCF_000357605.2,GCF_000408105.1,GCF_000408265.1,GCF_000408605.1,GCF_000408825.1,GCF_000456165.1,GCF_000456325.1,GCF_000456445.1,GCF_000456925.1,GCF_000457475.1,GCF_000457535.1,GCF_000457795.1,GCF_000457955.1,GCF_000457975.1,GCF_000458055.1,GCF_000458215.1,GCF_000458255.1,GCF_000458315.1,GCF_000458475.1,GCF_000458515.1,GCF_000458625.1,GCF_000458725.1,GCF_000459175.1,GCF_000459335.1,GCF_000459795.1,GCF_000459815.1,GCF_000460515.1,GCF_000462465.2,GCF_000506845.1,GCF_000522365.1,GCF_000617125.2,GCF_000617805.2,GCF_000619265.2,GCF_000700725.1,GCF_000703325.1,GCF_000704065.1,GCF_000704585.1,GCF_000714015.1,GCF_000752495.1,GCF_000776175.1,GCF_000776195.1,GCF_000776375.1,GCF_000778375.1,GCF_000778395.1,GCF_000780115.1,GCF_000780335.1,GCF_000780755.1,GCF_000780875.1,GCF_000781035.1,GCF_000781555.1,GCF_000813165.1,GCF_000940355.1,GCF_000948475.1,GCF_000965705.1,GCF_001012405.1,GCF_001021635.2,GCF_001056665.1,GCF_001245225.1,GCF_001263035.1,GCF_001264175.1,GCF_001277515.1,GCF_001277655.1,GCF_001284105.1,GCF_001284725.1,GCF_001285085.1,GCF_001285185.1,GCF_001285205.1,GCF_001285365.1,GCF_001285505.1,GCF_001285605.1,GCF_001285925.1,GCF_001286225.1,GCF_001297725.1,GCF_001405275.1,GCF_001524885.1,GCF_001561635.1,GCF_001561835.1
0_0005	0	100	1835	100656	ml	98	GCF_000171935.1,GCF_000172035.1,GCF_000188775.1,GCF_000194335.1,GCF_000194495.1,GCF_000194705.1,GCF_000210475.1,GCF_000215145.1,GCF_000215285.1,GCF_000221885.1,GCF_000223015.1,GCF_000223035.1,GCF_000249235.1,GCF_000250115.1,GCF_000250135.1,GCF_000250215.1,GCF_000267185.1,GCF_000326145.1,GCF_000326525.1,GCF_000351565.1,GCF_000352165.1,GCF_000352285.1,GCF_000353085.1,GCF_000354595.1,GCF_000354735.2,GCF_000355435.2,GCF_000356725.1,GCF_000357765.2,GCF_000357785.2,GCF_000357825.2,GCF_000357925.2,GCF_000357945.2,GCF_000358005.2,GCF_000358875.1,GCF_000358935.2,GCF_000387785.2,GCF_000407805.1,GCF_000446645.2,GCF_000446685.2,GCF_000456985.1,GCF_000457735.1,GCF_000459775.1,GCF_000494935.1,GCF_000520055.1,GCF_000599825.1,GCF_000601275.1,GCF_000618205.2,GCF_000662395.1,GCF_000690985.1,GCF_000691105.1,GCF_000692775.1,GCF_000692815.1,GCF_000700185.1,GCF_000700205.1,GCF_000700385.1,GCF_000703225.1,GCF_000703965.1,GCF_000704085.1,GCF_000704125.1,GCF_000704285.1,GCF_000752555.1,GCF_000752895.1,GCF_000753215.1,GCF_000779915.1,GCF_000780215.1,GCF_000782075.1,GCF_000782115.1,GCF_000798415.1,GCF_000937095.2,GCF_000940035.2,GCF_000947935.1,GCF_000947975.1,GCF_000947985.1,GCF_000948055.1,GCF_000978845.2,GCF_000987875.1,GCF_001078015.1,GCF_001191465.1,GCF_001265655.1,GCF_001265885.1,GCF_001265995.1,GCF_001269145.1,GCF_001277575.1,GCF_001283405.1,GCF_001283585.1,GCF_001283965.1,GCF_001284085.1,GCF_001284125.1,GCF_001284325.1,GCF_001284385.1,GCF_001285005.1,GCF_001285765.1,GCF_001285845.1,GCF_001286105.1,GCF_001440525.1,GCF_001442495.1,GCF_001519615.1,GCF_001520375.1
0_0006	0	100	2111	131268	ml	100	GCF_000010765.1,GCF_000026545.1,GCF_000091005.1,GCF_000163155.1,GCF_000171955.1,GCF_000171975.1,GCF_000172015.1,GCF_000188835.1,GCF_000192685.1,GCF_000193955.1,GCF_000194215.1,GCF_000194335.1,GCF_000227625.1,GCF_000249115.1,GCF_000249255.1,GCF_000249535.1,GCF_000267145.1,GCF_000267625.2,GCF_000351605.1,GCF_000352065.1,GCF_000355515.2,GCF_000357025.2,GCF_000357325.1,GCF_000357585.2,GCF_000358695.2,GCF_000359055.2,GCF_000407785.1,GCF_000407805.1,GCF_000456285.1,GCF_000456505.1,GCF_000457285.1,GCF_000457895.1,GCF_000458035.1,GCF_000458315.1,GCF_000458625.1,GCF_000461115.1,GCF_000461375.1,GCF_000461915.2,GCF_000461935.2,GCF_000462425.2,GCF_000462445.2,GCF_000462465.2,GCF_000488055.1,GCF_000492275.1,GCF_000616625.1,GCF_000703565.1,GCF_000703725.1,GCF_000708145.1,GCF_000708165.1,GCF_000713615.1,GCF_000713825.1,GCF_000753195.1,GCF_000781215.1,GCF_000934865.1,GCF_000940355.1,GCF_000965705.1,GCF_000978815.2,GCF_001012475.1,GCF_001030625.1,GCF_001030675.1,GCF_001182805.1,GCF_001263015.1,GCF_001265515.1,GCF_001265575.1,GCF_001266005.1,GCF_001268365.1,GCF_001268425.1,GCF_001268905.1,GCF_001269085.1,GCF_001277495.1,GCF_001277755.1,GCF_001280405.1,GCF_001283245.1,GCF_001283465.1,GCF_001283685.1,GCF_001284125.1,GCF_001285065.1,GCF_001285085.1,GCF_001285565.1,GCF_001285665.1,GCF_001285725.1,GCF_001285805.1,GCF_001286265.1,GCF_001420955.1,GCF_001441345.1,GCF_001448025.1,GCF_001506145.1,GCF_001520035.1,GCF_001520095.1,GCF_001520115.1,GCF_001520295.1,GCF_001520815.2,GCF_001521375.1,GCF_001561045.1,GCF_001561135.1,GCF_001561375.1,GCF_001561445.1,GCF_001561455.1,GCF_001563715.2,GCF_001566615.1
0_0007	0	100	1528	91877	ml	100	GCF_000008865.2,GCF_000021125.1,GCF_000022225.1,GCF_000155125.1,GCF_000171915.1,GCF_000171935.1,GCF_000171955.1,GCF_000171975.1,GCF_000171995.1,GCF_000172015.1,GCF_000172035.1,GCF_000172055.1,GCF_000181735.1,GCF_000181755.1,GCF_000181775.1,GCF_000192685.1,GCF_000193955.1,GCF_000215165.1,GCF_000217975.1,GCF_000222505.1,GCF_000235045.1,GCF_000235065.1,GCF_000235085.1,GCF_000235105.1,GCF_000235125.1,GCF_000235145.1,GCF_000235165.1,GCF_000235185.1,GCF_000235205.1,GCF_000235265.1,GCF_000235285.1,GCF_000258615.1,GCF_000260475.1,GCF_000262125.1,GCF_000267025.1,GCF_000267045.1,GCF_000267085.1,GCF_000276865.1,GCF_000299255.1,GCF_000299455.1,GCF_000299475.1,GCF_000302715.1,GCF_000303395.2,GCF_000304095.2,GCF_000319835.1,GCF_000319855.1,GCF_000319875.1,GCF_000319915.1,GCF_000319935.1,GCF_000319955.1,GCF_000319975.1,GCF_000320155.1,GCF_000320195.1,GCF_000320215.1,GCF_000320235.1,GCF_000320255.1,GCF_000320275.1,GCF_000352145.1,GCF_000356985.2,GCF_000357005.2,GCF_000357045.2,GCF_000357225.2,GCF_000357245.1,GCF_000357265.2,GCF_000407745.1,GCF_000408645.1,GCF_000456345.1,GCF_000457475.1,GCF_000459995.1,GCF_000460075.1,GCF_000460375.1,GCF_000461915.2,GCF_000461995.2,GCF_000462085.2,GCF_000462425.2,GCF_000513035.1,GCF_000622855.2,GCF_000627835.1,GCF_000627925.1,GCF_000627985.1,GCF_000687085.1,GCF_000703425.1,GCF_000703685.1,GCF_000732965.1,GCF_000785865.1,GCF_000803705.1,GCF_000936495.1,GCF_000967155.2,GCF_000978815.2,GCF_000986635.1,GCF_000986765.1,GCF_001007915.1,GCF_001039215.2,GCF_001284885.1,GCF_001306585.1,GCF_001307215.1,GCF_001440495.1,GCF_001516935.2,GCF_001520395.1,GCF_001558995.2
0_0008	0	100	1740	102392	ml	99	GCF_000006665.1,GCF_000026245.1,GCF_000163215.1,GCF_000163235.1,GCF_000164335.1,GCF_000166555.1,GCF_000166615.1,GCF_000171935.1,GCF_000235225.1,GCF_000235245.1,GCF_000249275.1,GCF_000258635.1,GCF_000267125.1,GCF_000267145.1,GCF_000267165.1,GCF_000284495.1,GCF_000316445.2,GCF_000316905.2,GCF_000320045.1,GCF_000350805.1,GCF_000351125.1,GCF_000351705.1,GCF_000351805.1,GCF_000352905.1,GCF_000354775.2,GCF_000354995.2,GCF_000355075.2,GCF_000355575.2,GCF_000356505.2,GCF_000356605.2,GCF_000356665.2,GCF_000357145.2,GCF_000357485.2,GCF_000358575.2,GCF_000358595.2,GCF_000358615.2,GCF_000358635.2,GCF_000358655.2,GCF_000358675.2,GCF_000358715.2,GCF_000359075.1,GCF_000359095.2,GCF_000407665.1,GCF_000407945.1,GCF_000408185.1,GCF_000414155.2,GCF_000415485.1,GCF_000446325.2,GCF_000456325.1,GCF_000457855.1,GCF_000457895.1,GCF_000458725.1,GCF_000459475.1,GCF_000459875.1,GCF_000460495.1,GCF_000461215.1,GCF_000461675.1,GCF_000614885.2,GCF_000617745.1,GCF_000618865.1,GCF_000619325.2,GCF_000619385.1,GCF_000619405.1,GCF_000622445.2,GCF_000622485.2,GCF_000622575.2,GCF_000622595.2,GCF_000622795.2,GCF_000622835.1,GCF_000692875.1,GCF_000696545.1,GCF_000700425.1,GCF_000703325.1,GCF_000703625.1,GCF_000713015.1,GCF_000713335.1,GCF_000730345.1,GCF_000752635.1,GCF_000753215.1,GCF_000777195.1,GCF_000781115.1,GCF_000782035.1,GCF_000806255.1,GCF_000819105.1,GCF_000936225.1,GCF_000940355.1,GCF_000951875.1,GCF_001056845.1,GCF_001058225.1,GCF_001191345.1,GCF_001265455.1,GCF_001283145.1,GCF_001284505.1,GCF_001286125.1,GCF_001297725.1,GCF_001413415.1,GCF_001455035.2,GCF_001520015.1,GCF_001520145.1
0_0009	0	100	1962	85632	ml	99	GCF_000026325.1,GCF_000171915.1,GCF_000171995.1,GCF_000263895.1,GCF_000267405.2,GCF_000267605.2,GCF_000302715.1,GCF_000303635.2,GCF_000316845.2,GCF_000351385.1,GCF_000351465.1,GCF_000351885.1,GCF_000357165.1,GCF_000357505.2,GCF_000408185.1,GCF_000408385.1,GCF_000408765.1,GCF_000418595.1,GCF_000418715.1,GCF_000418735.2,GCF_000418755.2,GCF_000456165.1,GCF_000456225.1,GCF_000456445.1,GCF_000456585.1,GCF_000456925.1,GCF_000457535.1,GCF_000457735.1,GCF_000457795.1,GCF_000457955.1,GCF_000457975.1,GCF_000458055.1,GCF_000458075.1,GCF_000458155.1,GCF_000458475.1,GCF_000458515.1,GCF_000458845.1,GCF_000459095.1,GCF_000459175.1,GCF_000459215.1,GCF_000459335.1,GCF_000459555.1,GCF_000459795.1,GCF_000461915.2,GCF_000462085.2,GCF_000462405.2,GCF_000474825.1,GCF_000488575.1,GCF_000522085.1,GCF_000522105.1,GCF_000522165.1,GCF_000522185.2,GCF_000522225.1,GCF_000522245.1,GCF_000522285.1,GCF_000522305.1,GCF_000522405.1,GCF_000599665.1,GCF_000599685.1,GCF_000599705.1,GCF_000601135.1,GCF_000617445.2,GCF_000618025.1,GCF_000619025.1,GCF_000619145.1,GCF_000622505.2,GCF_000633675.2,GCF_000692515.1,GCF_000692675.1,GCF_000692775.1,GCF_000695115.1,GCF_000700265.1,GCF_000700625.1,GCF_000700645.1,GCF_000704705.1,GCF_000704725.1,GCF_000713685.1,GCF_000779055.1,GCF_000779695.1,GCF_000780835.1,GCF_000780995.1,GCF_000784925.1,GCF_000817375.1,GCF_000931565.1,GCF_000952225.1,GCF_000952305.1,GCF_001284845.1,GCF_001286025.1,GCF_001440045.1,GCF_001484405.1,GCF_001485455.1,GCF_001520335.1,GCF_001520675.1,GCF_001520695.2,GCF_001521515.1,GCF_001521535.1,GCF_001521555.1,GCF_001521615.1,GCF_001521675.1
