gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
GCA_000069185.1#1#CU458745_1	144	965	822	1	0.668	11	GGAG/GAGG	GENOMAD.053688.PP	2.053e-27	115	0	0	0	1	NA	NA	NA	PF07638;TIGR02947;K24073;COG1595	RNA polymerase sigma-70 factor, TIGR02947 family
GCA_000069185.1#1#CU458745_2	962	1402	441	1	0.669	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_3	1491	1724	234	1	0.671	11	GGA/GAG/AGG	GENOMAD.091263.PP	2.032e-40	143	0	0	0	1	NA	NA	NA	PF12910;TIGR01552;K18923;COG2161	prevent-host-death family protein
GCA_000069185.1#1#CU458745_4	1724	2020	297	1	0.677	11	None	GENOMAD.223115.PV	3.051e-54	184	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_5	2044	2337	294	-1	0.656	11	GGA/GAG/AGG	GENOMAD.082846.PP	1.406e-22	93	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_6	2371	2967	597	-1	0.707	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_7	2964	3398	435	-1	0.687	11	GGA/GAG/AGG	GENOMAD.066677.PP	1.82e-57	196	0	0	0	1	NA	NA	NA	PF02411;K19058	MerT mercuric transport protein
GCA_000069185.1#1#CU458745_8	3398	3781	384	-1	0.701	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_9	3920	5338	1419	1	0.704	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_10	5458	5883	426	1	0.685	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_11	5930	6586	657	1	0.674	11	AGGA	GENOMAD.081411.PP	1.635e-29	119	0	0	0	1	NA	NA	NA	PF12324;COG4519;TIGR02702	Helix-turn-helix domain of alkylmercury lyase
GCA_000069185.1#1#CU458745_12	6583	7935	1353	1	0.654	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_13	8134	8718	585	1	0.668	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_14	8776	9366	591	1	0.640	11	None	GENOMAD.079462.PP	6.116e-103	330	0	0	0	1	NA	NA	NA	PF08986	NA
GCA_000069185.1#1#CU458745_15	9482	10060	579	1	0.655	11	None	GENOMAD.062472.PP	4.428e-96	310	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_16	10060	12504	2445	1	0.701	11	None	GENOMAD.032768.PP	8.493e-307	953	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_17	12501	13262	762	1	0.664	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_18	13274	16606	3333	-1	0.719	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_19	16923	17999	1077	-1	0.705	11	None	GENOMAD.177354.PV	8.161e-189	587	0	0	0	4599	Fromanvirus	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_20	18434	18685	252	-1	0.635	11	AGGAG	GENOMAD.020355.PP	1.264e-17	78	0	0	0	1	NA	NA	NA	PF09386;COG4877	Antitoxin ParD
GCA_000069185.1#1#CU458745_21	18718	19104	387	1	0.664	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_22	19127	19447	321	-1	0.685	11	None	GENOMAD.061222.PP	6.739e-66	218	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_23	19459	19764	306	-1	0.663	11	None	GENOMAD.076766.PP	2.144e-51	176	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_24	19820	20047	228	1	0.680	11	AGGA	GENOMAD.036634.PP	1.657e-41	146	0	0	0	1	NA	NA	NA	PF03871	NA
GCA_000069185.1#1#CU458745_25	20250	20456	207	-1	0.647	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_26	20933	21325	393	-1	0.692	11	AGxAGG/AGGxGG	GENOMAD.048107.PP	1.427e-61	207	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_27	21322	22128	807	-1	0.670	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
GCA_000069185.1#1#CU458745_28	22250	23020	771	-1	0.647	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
