cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
1	100	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	1	occ-v1-407a3ae4947fad192710d6e6	EXACT_VERSION_RESOLVED	current	stage_b_certainty	1	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_single_or_minimum,assembly_size_minimum,prophage_interval_bounded_sentinel_scope,source_contig_role	3e246273a2566fc0cd1954406fee848dad1abd2cc7170d449119f206fc4ad833	56d9e9be60b1883caaf327dfd902f0df7a41c276ee210483bc6d9307995f5eb4
2	100	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	2609	occ-v1-1e689503b0ebab065cf5befe	EXACT_VERSION_RESOLVED	current	stage_b_certainty	2	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope,source_contig_role	e50806635f89f61ee4da59669ac4a9738f87826cc3cb76a3bfce6255edbd3761	04197952929cf2b97dc705aea1c202635d7e25719c4f7ea69e8a93b81adda247
3	100	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	6520	occ-v1-b85a853ae914b114e287ece3	EXACT_VERSION_RESOLVED	current	stage_b_certainty	3	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	bae0b9cf8be0452ee9494556284abe92a8f4b5731074741419ae5907daa353ab	6206d615034a74f891565c85a9761e1ea81b4359bc2e96d1805a4ce4e7be6a2c
4	100	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	13039	occ-v1-323585934c2f7be78c5a370d	EXACT_VERSION_RESOLVED	current	stage_b_certainty	4	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	9dfa087e927128511bc0e55717ac36537799e381221b133c25927c34981e6914	38398f6f3a4372416f8f570848ed3421ea6e2efb85d52bf7f0a6542812266aa6
5	100	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	19558	occ-v1-b7a5d14de386c381198be442	EXACT_VERSION_RESOLVED	current	stage_b_certainty	5	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	1723803ae21f96d18ddda809d033d8e7374a3c5de88be2d624d62d58dd90f9cf	d447c19cf7d058237bf2756987548d19bc984c4a54f2da0940f4aff7ae5aeb39
6	100	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	23469	occ-v1-5b60784ab03121fe1814c726	EXACT_VERSION_RESOLVED	current	stage_b_certainty	6	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	4a0a479f7a780e82b3b72a3f421aee26085976561ed3dd6ac343c6561f5bf056	380c28073ac033bef92b9a51a14e34acc5298c2517732bf3b55212feda093d39
7	100	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	26077	occ-v1-dd3066d7889d096688487ef9	EXACT_VERSION_RESOLVED	current	stage_b_certainty	7	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	b9e8dc3f20d9f5349cde4c09a90df32429c74f3b08a2387336441f158e9e902b	97e3a517736fadd0b69d3a6e2a6b68355fab636c24f2d9700aa892a87d1177eb
8	100	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	80	occ-v1-b391fbe177a99da3a58b5152	EXACT_VERSION_VALID_METADATA_UNAVAILABLE	METADATA_UNAVAILABLE	stage_b_certainty	8	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_maximum,assembly_size_maximum,prophage_interval_bounded_sentinel_scope	839c210463df3c723e5e5f9c74168507ad952f6f4758fccf2cf4a877cb2bd285	170f1be67b4d1372eeaff270962bfeae98087652ce4246f8fcfe55a1a27a8351
9	100	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	4531	occ-v1-bf5407c5824cb46f9619b1cb	EXACT_VERSION_RESOLVED	current	stage_b_certainty	9	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	c73d392ca0003c3909cd829c8ae9f0b586962c10a352aac6f0f4b643f593891f	5fa57bc5123c0c0a5cbad19551582fae2362676405dfe96cdc9901aac10f0186
10	100	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	1506	occ-v1-cd6775a87ea5decc4d7ddde8	EXACT_VERSION_RESOLVED	current	stage_b_certainty	10	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	1edbcbb286f667684caa6e72c8a43265243a29cbec56c9863869b0bc513773e5	17656238f5616bf01b28b26cefbc92057a505a6e417fec81a544229324a8c0d1
11	100	asm-v1-32657c3828727c905b63ff98	GCF_015548345.1	19468	occ-v1-d0c9aa25085e954fe0b4e5d5	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000c1a73e6d1d3dea19b9241476283348897c7852eadc430b7c2e5288e29173	90/25353	25353/90	.	c7ca5bff242aa9842a61d09ce6892794e4e80ce9922268b224f83b2e672b7ece	9fc4edf8ffdafc05520b5e2f7d7132b4a95cc750899223e131be733bec630df7
12	100	asm-v1-4ece359b58a18776b323b359	GCF_019926545.1	22597	occ-v1-b42edf0b36328f865ffde44a	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000deb14c5ec29607387a5b389b3a9408062b9d9d0fa1a418621a2acefd582b	90/25353	25353/90	.	6e540f4c6503eb493655cf220c6e624bacd625a71d9cff1d64006a88b83d8318	47a49847b7058f714055671fa493e62ab2cb421ffba02487379c30e3f884db68
13	100	asm-v1-3747cc3492718981db97affc	GCF_001614385.1	4013	occ-v1-12e2151873e26c89fdcffaa0	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000f9a5c830842f635152cbf40e8017428cda7479b2230fb56ae8204c5e1a14	90/25353	25353/90	.	95f73f989c68c2fce3f92c400cb80cf1432bb1ceb3128a144bc83cbb6fe55205	deb081feb7f4e87d1cffa0c0a6010aa9cbd9fef9099f97077bdaaf1444714ca5
14	100	asm-v1-719530b887dfd205060a628f	GCF_015551035.1	19473	occ-v1-733cdab402c1dd03f6319c23	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000854e13ff7d7e1b6de3038dec65113d713f9ce4f130e117db24e1ca52ec07c	90/25353	25353/90	.	7729d75dc7e7987075ef36e4437bb05e17ea7a1e0993b6a73a47c3cb6dd1be9d	9e9627970e307d75c0da768f1625a66cf5f6bce6ddf517ae79d13924bcc0d962
15	100	asm-v1-c27bf914b89e27d0dc27992c	GCF_021354235.1	23939	occ-v1-1438d052a5f71b4e17eff7ea	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0009103ff11ad1149bc2ad61f5372778b45d22150b6d677b57022696e2bcf43f	90/25353	25353/90	.	f6e5b0aeed8d9981720fa1b572c260aa6375696e33281d18a8159957f5073480	1706adb19e522baf06e73b8c7215ee23f54d89f401c5aa5b479cc5c360b30ded
16	100	asm-v1-929d3c84ca2e4a11e790b999	GCF_002485085.1	7465	occ-v1-800294f674e4944a7c37bf66	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000e6235258c087c744da86341a34ecb21e213d6775e5f2485c4884826a8e99d	90/25353	25353/90	.	e85306c7d40349fe0eb80a71a74c8c8c40f1f1f86293ab5190c1de80c4b928d0	5128eda86fd6dc451e026b0f28c3fe65c1640da88caec91bd5389eba851340ab
17	100	asm-v1-331be33613f5ee0144844f5c	GCF_014712315.1	18876	occ-v1-d6e6274742dbf6d23040e1d9	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000ebf05358c01dabd7b19145ffe23ccd94d454eed6d3d634a5c8b69113f16d4	90/25353	25353/90	.	c777f3dba6e4676812184ed18a35ae8a93559797a59761a3f772bb8a10441791	14f94d97e7ca5c52a647f0fb4e94c51ffcb6f6eab2d136e2fd86a90c84c4ed08
