sampling_partition	lineage_id	medoid_tip	member_count	selected_tip	selection_roles	cohort_order	row_sha256
host_genetic_k16	L001	GCF_009899475.1	2	GCF_009899475.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,QC_FRAGMENTATION_EXTREME,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	70	1588e84e9b0219bb264e3b4065e7d5d9fa0f7d834163d8cd08d585beb565996e
host_genetic_k16	L001	GCF_009899475.1	2	GCF_013073585.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	806	c7441e7c788c360923f2a503d003394f179730d531b34f2d3d5123e625bfaa67
host_genetic_k16	L002	GCF_001651605.1	2	GCF_001651605.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,QC_FRAGMENTATION_EXTREME,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	131	49a352031423ef79ed6ec0254fab9a4ba3ba6e016ea3644cad18c43c1d59fd14
host_genetic_k16	L002	GCF_001651605.1	2	GCF_000408485.1	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,SPARSE_BOUNDARY_AMBIGUOUS_NO_TREE,HOST_GENETIC_DIVERSE_CASE	508	4c4d050b5d7fef6505688c4a30e4d0f4fb8207804f605012ac2d458a4d564fed
host_genetic_k16	L003	GCF_013391275.1	592	GCF_013391275.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	142	fdd23a1053a6ba119762cd4033fca9f38160673ca9654e1d83acb14195e42491
host_genetic_k16	L003	GCF_013391275.1	592	GCF_005384845.1	HOST_GENETIC_DIVERSE_CASE	108	73fd2f160a4af45343fd67c250d9213c353c0079e9b5bdbd25df8b312baac5ed
host_genetic_k16	L003	GCF_013391275.1	592	GCF_000355215.2	LOCAL_DIVERSE_BOUNDARY_ALTERNATIVE_REFERENCE,HOST_GENETIC_DIVERSE_CASE	139	46528c462bac8aeb251c73fd219974b38f983958624fb991f099f07c31862c18
host_genetic_k16	L003	GCF_013391275.1	592	GCF_002511115.1	HOST_GENETIC_DIVERSE_CASE	71	89f9984b9a73aabd67634dd638682b86419c1f6f094e7dcb35aaf4c02f597d52
host_genetic_k16	L003	GCF_013391275.1	592	GCF_009795315.1	HOST_GENETIC_DIVERSE_CASE	714	483182e475ff224086f86cb2a5d2d6f2606e4ec479896d2f232322aaed7395d2
host_genetic_k16	L003	GCF_013391275.1	592	GCF_003357405.1	HOST_GENETIC_DIVERSE_CASE	792	3065adcb68cca7938e377c90defb8efdedf2c09eab20db6d64f9799b4aa64468
host_genetic_k16	L003	GCF_013391275.1	592	GCF_000358715.2	HOST_GENETIC_DIVERSE_CASE	647	d56cd75a94c04a9068d62305dc676ad3ca909c355b1304ea4f259dc49f16bf86
host_genetic_k16	L003	GCF_013391275.1	592	GCF_000781435.1	HOST_GENETIC_DIVERSE_CASE	884	05e9f9a17e5607b1a9ceb39e70ea4b885c2908a1b3115047282b7601982a4d33
host_genetic_k16	L004	GCF_015163255.1	39	GCF_015163255.1	HOST_GENETIC_MEDOID_PRIMARY_REFERENCE,HOST_GENETIC_DIVERSE_CASE	215	6f90af69315c0b2c1f1ac7f409152e7d4ba74a447ea3697854dcb30159a1a2a6
