selection_rank	clade_id	genome_id	tier	n_members	length_bp	release_flags	medoid_member	member_reps	source_accessions	host_clade_ids_provenance_not_used	species_provenance_not_used	selection_basis
1	0_0000	ntm2_0_0000_ML	A_strong_candidate	100	149997		GCA_900138355.1_11893_7_48_genomic_prophage2	GCA_900138355.1_11893_7_48_genomic_prophage2;GCA_900141045.1_10702_1_66_genomic_prophage6	GCA_900138355.1;GCA_900141045.1	host_clade_0002	Mycobacteroides abscessus subsp. massiliense	greedy_farthest_point_prophage_mash_space_host_blind
2	0_0006	ntm2_0_0006_ML	A_strong_candidate	9	57637		GCA_900132875.1_11861_7_83_genomic_prophage1	GCA_900132875.1_11861_7_83_genomic_prophage1;GCA_900141075.1_10702_1_72_genomic_prophage1	GCA_900132875.1;GCA_900141075.1	host_clade_0002	Mycobacteroides abscessus subsp. abscessus	greedy_farthest_point_prophage_mash_space_host_blind
3	0_0019	ntm2_0_0019_ML	A_strong_candidate	6	77086		GCA_035967875.1_ASM3596787v1_genomic_prophage4	GCA_035967875.1_ASM3596787v1_genomic_prophage4;GCA_001853965.1_ASM185396v1_genomic_prophage1	GCA_001853965.1;GCA_035967875.1	host_clade_0617;host_clade_0990	Mycobacteroides chelonae	greedy_farthest_point_prophage_mash_space_host_blind
4	0_0021	ntm2_0_0021_ML	A_strong_candidate	13	75092		GCA_900140805.1_10702_1_42_genomic_prophage3	GCA_900140805.1_10702_1_42_genomic_prophage3;GCA_900136475.1_10208_3_69_genomic_prophage3	GCA_900136475.1;GCA_900140805.1	host_clade_0002	Mycobacteroides abscessus subsp. abscessus	greedy_farthest_point_prophage_mash_space_host_blind
5	0_0023	ntm2_0_0023_ML	A_strong_candidate	2	48386		GCA_001853945.1_ASM185394v1_genomic_prophage3	GCA_001853945.1_ASM185394v1_genomic_prophage3;GCA_016446375.1_ASM1644637v1_genomic_prophage1	GCA_001853945.1;GCA_016446375.1	host_clade_0593;host_clade_0634	Mycobacteroides chelonae	greedy_farthest_point_prophage_mash_space_host_blind
6	0_0038	ntm2_0_0038_ML	A_strong_candidate	4	78376		GCA_002013895.1_ASM201389v1_genomic_prophage3	GCA_002013895.1_ASM201389v1_genomic_prophage3;GCA_002013895.1_ASM201389v1_genomic_prophage1	GCA_002013895.1	host_clade_0929	Mycobacteroides franklinii	greedy_farthest_point_prophage_mash_space_host_blind
7	0_0049	ntm2_0_0049_ML	A_strong_candidate	6	39722		GCF_000270965.1_ASM27096v1_genomic_prophage2	GCF_000270965.1_ASM27096v1_genomic_prophage2;GCF_000271005.1_ASM27100v1_genomic_prophage2	GCF_000270965.1;GCF_000271005.1	host_clade_0002	Mycobacteroides abscessus	greedy_farthest_point_prophage_mash_space_host_blind
8	0_0063	ntm2_0_0063_ML	A_strong_candidate	5	40845		GCA_900131525.1_11893_6_44_genomic_prophage2	GCA_900131525.1_11893_6_44_genomic_prophage2;GCA_900131535.1_11893_6_45_genomic_prophage2	GCA_900131525.1;GCA_900131535.1	host_clade_0002	Mycobacteroides abscessus subsp. massiliense	greedy_farthest_point_prophage_mash_space_host_blind
9	0_0066	ntm2_0_0066_ML	A_strong_candidate	2	81609		GCA_046269265.1_ASM4626926v1_genomic_prophage4	GCA_046269265.1_ASM4626926v1_genomic_prophage4;GCA_049241375.1_Jessa_Mwolja_1.0_genomic_prophage1	GCA_046269265.1;GCA_049241375.1	host_clade_0264;host_clade_0884	Mycolicibacterium wolinskyi	greedy_farthest_point_prophage_mash_space_host_blind
10	0_0073	ntm2_0_0073_ML	A_strong_candidate	9	40110		GCA_001296325.1_ASM129632v1_genomic_prophage1	GCA_001296325.1_ASM129632v1_genomic_prophage1;GCA_001677135.1_ASM167713v1_genomic_prophage3	GCA_001296325.1;GCA_001677135.1	host_clade_0011	Mycobacteroides immunogenum	greedy_farthest_point_prophage_mash_space_host_blind
11	0_0077	ntm2_0_0077_ML	A_strong_candidate	2	34531		GCA_002013385.1_ASM201338v1_genomic_prophage2	GCA_002013385.1_ASM201338v1_genomic_prophage2;GCA_002013425.1_ASM201342v1_genomic_prophage1	GCA_002013385.1;GCA_002013425.1	host_clade_0045;host_clade_0769	Mycobacteroides sp.	greedy_farthest_point_prophage_mash_space_host_blind
12	0_0085	ntm2_0_0085_ML	A_strong_candidate	5	48153		GCA_900133475.1_10625_4_76_genomic_prophage5	GCA_900133475.1_10625_4_76_genomic_prophage5;GCA_900133725.1_12163_1_17_genomic_prophage2	GCA_900133475.1;GCA_900133725.1	host_clade_0002	Mycobacteroides abscessus subsp. massiliense	greedy_farthest_point_prophage_mash_space_host_blind
