bait_id	bait_class	clade_id	genome_id	member_prophage_id	contig	start	end	length_bp	n_kmers_total	n_ambiguous	n_low_complexity	n_host_like	n_internal_dup	n_usable_kmers	seq_sha256	status	reason
NTMBAIT_0_0000_INTERIOR_MODULE_01	interior_module	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	38093	39292	1200	1170	0	0	501	0		690bc38dc1bd5180429e0e51cc80e7b93ad7d44b8b82629867a19e43aa1a3d28	rejected	host_like_frac>0.1:0.428
NTMBAIT_0_0000_INTERIOR_MODULE_03	interior_module	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	6893	8092	1200	1170	0	0	471	0		a47b89b6f6da0d31c84dde1da87d85697c3fb28082f6828bd08e38621ea8cfc1	rejected	host_like_frac>0.1:0.403
NTMBAIT_0_0000_JUNCTION_01	junction	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	144594	145593	1000	970	0	0	162	0		dab721b35c0446647fde8deb2b37ba23e3bb2cd2c1be8190a3493bb8a55ae959	rejected	host_like_frac>0.1:0.167
NTMBAIT_0_0000_JUNCTION_03	junction	0_0000	ntm2_0_0000_ML		ntm2_0_0000_ML	128460	129459	1000	970	0	0	410	12		2783a5356b0e7bedc11bb6d3c4abf3a1065fd80b4d95a3b0e4cdd4b011e77c1f	rejected	host_like_frac>0.1:0.423
NTMBAIT_0_0001_JUNCTION_03	junction	0_0001	ntm2_0_0001_ML		ntm2_0_0001_ML	4407	5406	1000	970	0	0	0	0	970	a81239ed74696c39d694e3721c91733cff8e25f081e37adb4902252aa49d0b58	rejected	cross_bait_kmer_dup:0.765
NTMBAIT_0_0004_INTERIOR_MODULE_01	interior_module	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	41464	42663	1200	1170	0	0	745	0		99987e4ad98e175fe09b77da7d76f13861f3f49126927e54974955675ac8fe1e	rejected	host_like_frac>0.1:0.637
NTMBAIT_0_0004_INTERIOR_MODULE_02	interior_module	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	39903	41102	1200	1170	0	0	764	0		22ff9a09c6e6068f06569ffca0307b8191f93d869331d20803fdf831c140513a	rejected	host_like_frac>0.1:0.653
NTMBAIT_0_0004_INTERIOR_MODULE_03	interior_module	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	5085	6284	1200	1170	0	0	742	0		ec2123c259e1351ec4114765858f653789ee3eff76639465c7c078d019a1022d	rejected	host_like_frac>0.1:0.634
NTMBAIT_0_0004_JUNCTION_01	junction	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	24409	25408	1000	970	0	37	870	0		ab46683a190556f602e21f31601e449352645e59d13c32c285c18f50882eabe5	rejected	host_like_frac>0.1:0.897
NTMBAIT_0_0004_JUNCTION_02	junction	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	23849	24848	1000	970	0	0	675	0		4cb9b54926ff5d888d2592988fc8039c8eb70f410b34a4b63a12dfe0613c21d7	rejected	host_like_frac>0.1:0.696
NTMBAIT_0_0004_JUNCTION_03	junction	0_0004	ntm2_0_0004_ML		ntm2_0_0004_ML	5946	6945	1000	970	0	0	940	0		dbfe1ec78848433533afe98af93a8d456c7b18e34cabdfe14c60f928e62014ef	rejected	host_like_frac>0.1:0.969
NTMBAIT_0_0004_MEMBER_INTERIOR_01	member_interior	0_0004	ntm2_0_0004_ML	GCA_900453225.1_46941_C01_genomic_prophage2	GCA_900453225.1_46941_C01_genomic_prophage2	16722	17921	1200	1170	0	0	805	0		30436d6756a1751873bdafff4a3c7183ceedfea551fcc82d8f636a8dbb1b45a0	rejected	host_like_frac>0.1:0.688
NTMBAIT_0_0004_MEMBER_INTERIOR_02	member_interior	0_0004	ntm2_0_0004_ML	GCF_047738595.1_ASM4773859v1_genomic_prophage1	GCF_047738595.1_ASM4773859v1_genomic_prophage1	999	2198	1200	1170	0	0	1170	0		fb6d91a8646d5cb2866939c675657260f5974cc22bad979441a70e5d47a3a59a	rejected	host_like_frac>0.1:1.000
NTMBAIT_0_0006_INTERIOR_MODULE_03	interior_module	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	2991	4190	1200	1170	0	0	225	0		44f02b8fe2622e4986fadc9e86ff770194eafbd73c4b729cf398ce071d86ccd6	rejected	host_like_frac>0.1:0.192
NTMBAIT_0_0006_JUNCTION_02	junction	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	12950	13949	1000	970	0	0	243	0		65eb4449b78869007e23368a3a48a74c453b1698fb9ca803c3661be700beaed9	rejected	host_like_frac>0.1:0.251
NTMBAIT_0_0006_JUNCTION_03	junction	0_0006	ntm2_0_0006_ML		ntm2_0_0006_ML	12453	13452	1000	970	0	0	216	0		c7567dea76e056bb1bd47ab726c9a2329d273ceacd6a8cff72132802624f4e6e	rejected	host_like_frac>0.1:0.223
NTMBAIT_0_0019_INTERIOR_MODULE_03	interior_module	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	4565	5764	1200	1170	0	0	667	0		71cc6c4f14094639d027f614ae8a502d4adb7a1fd2d8e97ad21a9bd25c2517a6	rejected	host_like_frac>0.1:0.570
NTMBAIT_0_0019_JUNCTION_01	junction	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	16002	17001	1000	970	0	0	467	0		cfc7dab7abdb5d7011c285330f8b978087f9ee2cbbe8bbc3a70aae2d2159ad86	rejected	host_like_frac>0.1:0.481
NTMBAIT_0_0019_JUNCTION_02	junction	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	29378	30377	1000	970	0	0	296	0		fb0226e356fcac91c9170c216135cef6e1bd3c974f2a5b8fa00d3fc992838381	rejected	host_like_frac>0.1:0.305
NTMBAIT_0_0019_JUNCTION_03	junction	0_0019	ntm2_0_0019_ML		ntm2_0_0019_ML	25983	26982	1000	970	0	0	434	0		cd5e73f03f139ffa1ec56c2ea86c33be6dbae37da7aea8b10d97cf85d29c5bfe	rejected	host_like_frac>0.1:0.447
NTMBAIT_0_0019_MEMBER_INTERIOR_01	member_interior	0_0019	ntm2_0_0019_ML	GCA_035967875.1_ASM3596787v1_genomic_prophage4	GCA_035967875.1_ASM3596787v1_genomic_prophage4	7914	9113	1200	1170	0	0	1170	0		d51ac98f412c48211aeaaf838e883f6b1cd86f5f3917bf995eb9f85e690a0361	rejected	host_like_frac>0.1:1.000
NTMBAIT_0_0019_MEMBER_INTERIOR_02	member_interior	0_0019	ntm2_0_0019_ML	GCA_001853965.1_ASM185396v1_genomic_prophage1	GCA_001853965.1_ASM185396v1_genomic_prophage1	17604	18803	1200	1170	0	0	0	0	1170	35b919c12a59781b8b1b671aa04579a16ec22735a889694b357a8b91da03845a	rejected	cross_bait_kmer_dup:0.568
NTMBAIT_0_0021_INTERIOR_MODULE_01	interior_module	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	13186	14385	1200	1170	0	0	358	0		51b4362a67f03654ce5cf1314bc5dd805a52cf942611425dac7a393023839e18	rejected	host_like_frac>0.1:0.306
NTMBAIT_0_0021_INTERIOR_MODULE_02	interior_module	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	20747	21946	1200	1170	0	0	451	0		f6a0154554c97b609f6b62e649ccba62715e3adf2f1eedaf32e86a1eb81e274d	rejected	host_like_frac>0.1:0.385
NTMBAIT_0_0021_INTERIOR_MODULE_03	interior_module	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	47456	48655	1200	1170	0	0	329	0		892a504168f9a3e8437fdeedc1a7da86eb82eb9a1d98c78455fafe860a23f261	rejected	host_like_frac>0.1:0.281
NTMBAIT_0_0021_JUNCTION_01	junction	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	5071	6070	1000	970	0	0	207	0		2316ef9cc30064d2e59c2ca8d869165a3dbbfe292bef6cde6421d4c0639cfba0	rejected	host_like_frac>0.1:0.213
NTMBAIT_0_0021_JUNCTION_02	junction	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	22288	23287	1000	970	0	0	415	0		cd2fd416c17b009adee9c83fb1ac0be2fdbffc5fb7c3b5925a97e3f713c37686	rejected	host_like_frac>0.1:0.428
NTMBAIT_0_0021_JUNCTION_03	junction	0_0021	ntm2_0_0021_ML		ntm2_0_0021_ML	6221	7220	1000	970	0	0	272	0		e0defcd310b5442326b05140956d6a295790c945245f7b2af848032f11e3a491	rejected	host_like_frac>0.1:0.280
NTMBAIT_0_0021_MEMBER_INTERIOR_01	member_interior	0_0021	ntm2_0_0021_ML	GCA_900140805.1_10702_1_42_genomic_prophage3	GCA_900140805.1_10702_1_42_genomic_prophage3	17524	18723	1200	1170	0	0	405	0		b722a1b72cda308cc1bc8684f0eb24aa4cf81b69b6719f754e00d2c5a8261a5f	rejected	host_like_frac>0.1:0.346
NTMBAIT_0_0023_JUNCTION_01	junction	0_0023	ntm2_0_0023_ML		ntm2_0_0023_ML	734	1733	1000	970	0	0	17	0	953	d4238250c0069102088578e2c948bfd491507c37ca2f818ff0fffbd0df9329a3	rejected	cross_bait_kmer_dup:0.742
NTMBAIT_0_0024_JUNCTION_01	junction	0_0024	ntm2_0_0024_ML		ntm2_0_0024_ML	58339	59338	1000	970	0	0	130	0		730f19f420b7b40721572f74fd0428ae64c1b9f4084edb02e5d43507d4e45477	rejected	host_like_frac>0.1:0.134
NTMBAIT_0_0024_JUNCTION_03	junction	0_0024	ntm2_0_0024_ML		ntm2_0_0024_ML	37556	38555	1000	970	0	0	495	0		9c88fd5e338d2824db5cc667f11efacae5052801205d1677fb6b253e63799170	rejected	host_like_frac>0.1:0.510
NTMBAIT_0_0024_MEMBER_INTERIOR_01	member_interior	0_0024	ntm2_0_0024_ML	GCA_001296425.1_ASM129642v1_genomic_prophage4	GCA_001296425.1_ASM129642v1_genomic_prophage4	17813	19012	1200	1170	0	0	199	0		712da258ae31b1ade897a7e9157e1a388d0bbb59fd8d0b86e247bd6ccd60c3c5	rejected	host_like_frac>0.1:0.170
