seq_name	chromosome_score	plasmid_score	virus_score
GCA_001213305.1#1#CSUC01000001	0.7535	0.1937	0.0527
GCA_001213305.1#1#CSUC01000002	0.7664	0.1799	0.0537
GCA_001213305.1#1#CSUC01000003	0.6772	0.2537	0.0691
GCA_001213305.1#1#CSUC01000004	0.7545	0.1940	0.0515
GCA_001213305.1#1#CSUC01000005	0.7222	0.2225	0.0553
GCA_001213305.1#1#CSUC01000006	0.2749	0.1959	0.5293
GCA_001213305.1#1#CSUC01000007	0.0052	0.9914	0.0034
GCA_001213305.1#1#CSUC01000008	0.4977	0.4059	0.0963
GCA_001213305.1#1#CSUC01000009	0.4734	0.2286	0.2980
GCA_001213305.1#1#CSUC01000010	0.4379	0.2006	0.3614
GCA_001213305.1#1#CSUC01000011	0.1916	0.2561	0.5522
GCA_001213305.1#1#CSUC01000012	0.3237	0.1569	0.5194
GCA_001213305.1#1#CSUC01000013	0.4569	0.1560	0.3871
