accession	tier	scientific_name	bioproject	s3_url	zst_sha256	bait	kmer_cov	qcov	identity	contig	contig_len	target_span	strand	cigar	classification	ntm_strict_rule
DRR050994	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050994/DRR050994.contigs.fa.zst	92fe4619697c15f79bfa923c8ea9442e971b64cc63cbbe17cf9afe300df56f74	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR050994_0	13169	7774-8275	-	142=1X269=1X5=1X2=1X2=1X76=	near-complete analogue	False
DRR050994	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050994/DRR050994.contigs.fa.zst	92fe4619697c15f79bfa923c8ea9442e971b64cc63cbbe17cf9afe300df56f74	ECBAIT_10_0002_JUNCTION_02	0.7588	0.993	0.99	DRR050994_0	13169	7775-8276	-	141=1X269=1X5=1X2=1X2=1X77=	near-complete analogue	False
DRR050994	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050994/DRR050994.contigs.fa.zst	92fe4619697c15f79bfa923c8ea9442e971b64cc63cbbe17cf9afe300df56f74	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR050994_38	7536	5560-6760	-	1200=	near-complete analogue	False
DRR050994	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050994/DRR050994.contigs.fa.zst	92fe4619697c15f79bfa923c8ea9442e971b64cc63cbbe17cf9afe300df56f74	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR050994_178	12182	8889-10089	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
DRR050995	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050995/DRR050995.contigs.fa.zst	007baa1cab44b5e18b59ab2108e7b8390f7472eb5aba5816d75978082ee8b03c	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR050995_335	7536	5560-6760	-	1200=	near-complete analogue	False
DRR050995	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050995/DRR050995.contigs.fa.zst	007baa1cab44b5e18b59ab2108e7b8390f7472eb5aba5816d75978082ee8b03c	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8915	0.99	0.9958	DRR050995_573	1619	431-1619	-	71=1X112=1X2=1X79=1X758=1X161=	near-complete analogue	False
DRR050997	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050997/DRR050997.contigs.fa.zst	031f10b26ab8fdda10c895660eb3a5189d9aabd0fc54295bc2e553461d14e8b4	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR050997_304	7536	5560-6760	-	1200=	near-complete analogue	False
DRR050997	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR050997/DRR050997.contigs.fa.zst	031f10b26ab8fdda10c895660eb3a5189d9aabd0fc54295bc2e553461d14e8b4	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.9735	0.99	0.9992	DRR050997_163	1619	431-1619	-	71=1X1116=	near-complete analogue	False
DRR051000	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051000/DRR051000.contigs.fa.zst	f5379c9a8bf04be7815c7458f48841000adad05cc18e3b61a3f8387d7447ef0d	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051000_364	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051000	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051000/DRR051000.contigs.fa.zst	f5379c9a8bf04be7815c7458f48841000adad05cc18e3b61a3f8387d7447ef0d	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051000_230	12182	2093-3293	-	71=1X112=1X2=1X79=1X758=1X100=1X60=1X11=	near-complete analogue	False
DRR051002	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051002/DRR051002.contigs.fa.zst	0f5efe76973a770fc4d63522c9aba18ae8fdf8b6ae9d0d9a5f85ed907aa24efe	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051002_454	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051002	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051002/DRR051002.contigs.fa.zst	0f5efe76973a770fc4d63522c9aba18ae8fdf8b6ae9d0d9a5f85ed907aa24efe	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.865	0.99	0.9949	DRR051002_268	1844	656-1844	-	71=1X112=1X2=1X79=1X758=1X100=1X60=	near-complete analogue	False
DRR051003	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051003/DRR051003.contigs.fa.zst	83228593dc438b5f459a63f4b4018f54b18234d0172af5c0c7d6a0d4b4217f16	ECBAIT_10_0002_JUNCTION_01	0.7268	1.0	0.99	DRR051003_156	13281	5006-5507	+	76=1X2=1X2=1X5=1X269=1X142=	near-complete analogue	False
DRR051003	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051003/DRR051003.contigs.fa.zst	83228593dc438b5f459a63f4b4018f54b18234d0172af5c0c7d6a0d4b4217f16	ECBAIT_10_0002_JUNCTION_02	0.8289	0.993	0.99	DRR051003_156	13281	5005-5506	+	77=1X2=1X2=1X5=1X269=1X141=	near-complete analogue	False
DRR051003	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051003/DRR051003.contigs.fa.zst	83228593dc438b5f459a63f4b4018f54b18234d0172af5c0c7d6a0d4b4217f16	ECBAIT_10_0002_MEMBER_INTERIOR_01	1.0	1.0	1.0	DRR051003_137	7536	5560-6760	-	1200=	near-complete analogue	False
DRR051003	E2	Escherichia coli	DRP003215	https://s3.amazonaws.com/logan-pub/c/DRR051003/DRR051003.contigs.fa.zst	83228593dc438b5f459a63f4b4018f54b18234d0172af5c0c7d6a0d4b4217f16	ECBAIT_10_0057_MEMBER_INTERIOR_01	0.8547	1.0	0.9942	DRR051003_233	12182	8889-10089	+	11=1X60=1X100=1X758=1X79=1X2=1X112=1X71=	near-complete analogue	False
