run	sample_accession	pivot_ok	n_analysis	n_hits	analysis_accessions	submitted_ftp	error	has_prophage	assembly_contigs	assembly_length_bp
ERR2759527	SAMEA104138914	True	1	1	ERZ3064160	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ306/ERZ3064160/SAMEA104138914.contigs.fa.gz		True	23	5193530
ERR3177943	SAMEA104411826	True	1	1	ERZ25096977	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ250/ERZ25096977/SAMEA104411826.fa.gz		True	9	5098843
ERR3178009	SAMEA104411885	True	1	1	ERZ25097428	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ250/ERZ25097428/SAMEA104411885.fa.gz		True	12	5093376
ERR3198400	SAMEA5396692	True	1	1	ERZ25164193	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ251/ERZ25164193/SAMEA5396692.fa.gz		True	30	5124247
ERR3198441	SAMEA5396733	True	1	1	ERZ25164655	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ251/ERZ25164655/SAMEA5396733.fa.gz		True	24	4824744
ERR3198446	SAMEA5396738	True	1	1	ERZ25164714	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ251/ERZ25164714/SAMEA5396738.fa.gz		True	23	4862869
ERR330884	SAMEA1971196	True	1	1	ERZ3133304	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ313/ERZ3133304/SAMEA1971196.contigs.fa.gz		True	12	5209116
ERR3337404	SAMEA1059400	True	1	1	ERZ25103403	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ251/ERZ25103403/SAMEA1059400.fa.gz		True	277	5588426
ERR3337600	SAMEA1059557	True	1	1	ERZ25104941	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ251/ERZ25104941/SAMEA1059557.fa.gz		True	105	6065459
ERR337844	SAMEA2071364	True	1	1	ERZ3150004	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ315/ERZ3150004/SAMEA2071364.contigs.fa.gz		False	43	5040145
ERR340492	SAMEA2069133	True	1	1	ERZ3149433	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ314/ERZ3149433/SAMEA2069133.contigs.fa.gz		True	24	5208844
ERR340525	SAMEA2069144	True	1	1	ERZ3149451	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ314/ERZ3149451/SAMEA2069144.contigs.fa.gz		True	128	5153089
ERR3468808	SAMEA4730452	True	1	1	ERZ25221542	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25221542/SAMEA4730452.fa.gz		True	121	5864707
ERR3468825	SAMEA4730469	True	1	1	ERZ25221710	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25221710/SAMEA4730469.fa.gz		False	161	5324368
ERR3468954	SAMEA4730598	True	1	1	ERZ25223086	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25223086/SAMEA4730598.fa.gz		True	102	6273353
ERR350139	SAMEA2081552	True	1	1	ERZ3153200	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ315/ERZ3153200/SAMEA2081552.contigs.fa.gz		False	267	5308467
ERR350185	SAMEA2079661	True	1	1	ERZ3152413	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ315/ERZ3152413/SAMEA2079661.contigs.fa.gz		False	267	5309126
ERR350236	SAMEA2079889	True	1	1	ERZ3152485	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ315/ERZ3152485/SAMEA2079889.contigs.fa.gz		False	270	5311731
ERR3524842	SAMEA4823271	True	1	1	ERZ25223903	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25223903/SAMEA4823271.fa.gz		True	85	5738075
ERR3566236	SAMEA4823224	True	1	1	ERZ25223391	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25223391/SAMEA4823224.fa.gz		False	153	5747145
ERR3566243	SAMEA4823092	True	1	1	ERZ25221997	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25221997/SAMEA4823092.fa.gz		True	98	6109636
ERR3566406	SAMEA4889280	True	1	1	ERZ25226366	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25226366/SAMEA4889280.fa.gz		True	215	6282491
ERR369247	SAMEA1964382	True	1	1	ERZ3132687	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ313/ERZ3132687/SAMEA1964382.contigs.fa.gz		True	16	5066086
ERR374163	SAMEA2070903	True	1	1	ERZ3149891	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ314/ERZ3149891/SAMEA2070903.contigs.fa.gz		True	58	5413822
ERR374164	SAMEA2069147	True	1	1	ERZ3149449	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ314/ERZ3149449/SAMEA2069147.contigs.fa.gz		True	29	5041503
ERR376915	SAMEA2081536	True	1	1	ERZ3153178	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ315/ERZ3153178/SAMEA2081536.contigs.fa.gz		False	269	5286180
ERR4020091	SAMEA6675026	True	1	1	ERZ25359800	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ253/ERZ25359800/SAMEA6675026.fa.gz		False	52	4977445
ERR4022321	SAMEA5164890	True	1	1	ERZ25264859	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25264859/SAMEA5164890.fa.gz		True	99	6586946
ERR4022377	SAMEA5164990	True	1	1	ERZ25265989	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25265989/SAMEA5164990.fa.gz		False	131	5260623
ERR4022390	SAMEA5164846	True	1	1	ERZ25264376	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ252/ERZ25264376/SAMEA5164846.fa.gz		False	145	5484338
ERR4326533	SAMEA7027486	True	1	1	ERZ25367632	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ253/ERZ25367632/SAMEA7027486.fa.gz		False	87	5006910
ERR459912	SAMEA2266633	True	1	1	ERZ3174514	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3174514/SAMEA2266633.contigs.fa.gz		False	60	5057074
ERR460023	SAMEA2266517	True	1	1	ERZ3174348	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3174348/SAMEA2266517.contigs.fa.gz		False	58	5077506
ERR494832	SAMEA2275649	True	1	1	ERZ3179062	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3179062/SAMEA2275649.contigs.fa.gz		False	332	5384904
ERR494856	SAMEA2275718	True	1	1	ERZ3179150	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ317/ERZ3179150/SAMEA2275718.contigs.fa.gz		False	39	5105241
